Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,-3522,3
5.00,-3524,2
10.00,-3529,4
15.00,-3527,2
20.00,-3518,2
25.00,-3527,2
30.00,-3530,2
35.00,-3525,2
40.00,-3522,5
45.00,-3530,4
50.00,-3528,4
55.00,-3532,3
60.00,-3526,3
65.00,-3523,2
70.00,-3529,2
75.00,-3530,2
80.00,-3523,4
85.00,-3528,2
90.00,-3526,3
95.00,-3529,5
100.00,-3535,0
105.00,-3529,4
110.00,-3530,4
115.00,-3532,3
120.00,-3540,4
125.00,-3532,2
130.00,-3537,4
135.00,-3531,3
140.00,-3535,2
145.00,-3535,2
150.00,-3531,4
155.00,-3533,2
160.00,-3529,3
165.00,-3534,4
170.00,-3532,3
175.00,-3529,3
180.00,-3535,2
185.00,-3530,4
190.00,-3535,3
195.00,-3537,1
200.00,-3532,3
205.00,-3532,6
210.00,-3533,4
215.00,-3534,2
220.00,-3535,4
225.00,-3529,4
230.00,-3535,3
235.00,-3535,2
240.00,-3534,3
245.00,-3532,3
250.00,-3532,3
255.00,-3536,3
260.00,-3529,1
265.00,-3538,3
270.00,-3536,4
275.00,-3538,2
280.00,-3539,4
285.00,-3533,3
290.00,-3532,3
295.00,-3532,1
300.00,-3525,3
305.00,-3540,3
310.00,-3537,4
315.00,-3535,3
320.00,-3538,2
325.00,-3538,3
330.00,-3537,1
335.00,-3546,3
340.00,-3537,3
345.00,-3541,4
350.00,-3540,0
355.00,-3545,4
360.00,-3542,6
365.00,-3535,2
370.00,-3542,4
375.00,-3542,3
380.00,-3542,2
385.00,-3544,3
390.00,-3538,3
395.00,-3535,3
400.00,-3538,1
405.00,-3543,4
410.00,-3544,4
415.00,-3541,3
420.00,-3541,3
425.00,-3536,3
430.00,-3535,5
435.00,-3542,2
440.00,-3535,1
445.00,-3540,4
450.00,-3543,2
455.00,-3537,2
460.00,-3541,4
465.00,-3544,3
470.00,-3538,4
475.00,-3540,4
480.00,-3542,2
485.00,-3541,5
490.00,-3533,3
495.00,-3538,3
500.00,-3538,4
