SourceFile,True,Pred,TrueIndex,PredIndex
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\idw4\100ml\VET6_8chips_raw_stream_20260528_205438.csv,100ml,50ml,2,1
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\idw4\200ml\VET6_8chips_raw_stream_20260527_221427.csv,200ml,50ml,3,1
