Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,-229,3
5.00,-227,5
10.00,-230,4
15.00,-227,4
20.00,-229,5
25.00,-227,6
30.00,-227,4
35.00,-231,5
40.00,-229,2
45.00,-229,2
50.00,-227,3
55.00,-227,4
60.00,-229,3
65.00,-230,5
70.00,-230,3
75.00,-228,5
80.00,-228,3
85.00,-232,5
90.00,-227,4
95.00,-226,2
100.00,-226,3
105.00,-229,3
110.00,-230,3
115.00,-229,2
120.00,-230,4
125.00,-233,6
130.00,-228,5
135.00,-226,3
140.00,-227,3
145.00,-231,5
150.00,-227,5
155.00,-226,2
160.00,-232,4
165.00,-229,4
170.00,-228,4
175.00,-232,5
180.00,-229,1
185.00,-230,4
190.00,-230,2
195.00,-232,3
200.00,-227,4
205.00,-228,5
210.00,-229,3
215.00,-232,3
220.00,-230,3
225.00,-228,3
230.00,-227,5
235.00,-229,3
240.00,-227,6
245.00,-228,1
250.00,-231,3
255.00,-228,3
260.00,-230,5
265.00,-227,3
270.00,-228,4
275.00,-229,2
280.00,-229,4
285.00,-233,5
290.00,-230,3
295.00,-230,4
300.00,-233,3
305.00,-230,4
310.00,-231,4
315.00,-227,1
320.00,-229,2
325.00,-228,6
330.00,-230,3
335.00,-227,5
340.00,-229,3
345.00,-228,5
350.00,-230,4
355.00,-233,2
360.00,-231,3
365.00,-231,3
370.00,-233,4
375.00,-231,2
380.00,-233,4
385.00,-229,5
390.00,-232,2
395.00,-232,5
400.00,-230,2
405.00,-232,5
410.00,-227,2
415.00,-230,5
420.00,-231,5
425.00,-230,6
430.00,-227,5
435.00,-230,5
440.00,-228,3
445.00,-233,2
450.00,-227,5
455.00,-229,5
460.00,-230,4
465.00,-229,4
470.00,-228,2
475.00,-229,3
480.00,-229,3
485.00,-228,2
490.00,-230,2
495.00,-231,4
500.00,-230,3
505.00,-228,2
510.00,-227,3
515.00,-230,3
520.00,-229,3
525.00,-228,4
530.00,-228,3
535.00,-227,2
540.00,-227,5
545.00,-228,3
550.00,-227,3
555.00,-230,1
560.00,-227,2
565.00,-229,4
570.00,-230,3
575.00,-231,4
580.00,-228,2
585.00,-229,3
590.00,-228,2
595.00,-229,3
600.00,-227,3
605.00,-225,2
610.00,-232,6
615.00,-230,2
620.00,-230,4
625.00,-230,4
630.00,-228,4
635.00,-230,2
640.00,-228,2
645.00,-229,5
650.00,-228,5
655.00,-231,3
