Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
15ml,VET6_8chips_raw_stream_20260527_223830.bin,1,4.566078,14.944470,1.639032,-14.071704,-10.873444,-3.434755,1.643614,-0.692032,0.525753,1.335027,-0.365993,0.093109,-0.662219,-1.009845,-0.745429,-0.123066,0.845992,0.360759,-0.685654,0.049409,0.245950,0.445278,1.310361,1.046179,0.922670,-0.246936,0.664394,-0.514525,-0.011913,0.694373,0.701860,0.909846,0.639241,0.263713,-0.943741,-0.674402,-0.939522,-1.121660,936,142.822266,1674,255.432129,1903,290.374756,2182,332.946777,-28492,-4347.534180,144,21.972656,-28132,-4292.602539,-28410,-4335.021973
15ml,VET6_8chips_raw_stream_20260527_223830.bin,2,5.874720,14.135829,1.941501,-14.972938,-11.472209,-3.132286,1.055394,0.585591,1.178894,-0.086875,0.236952,-0.384619,0.337781,-0.176512,-0.078762,0.376934,0.179325,0.027426,0.314346,-0.450591,-0.254050,0.846512,0.211596,-0.355055,-0.978564,0.185355,-0.613229,1.291758,0.372468,0.410965,1.615402,-0.294125,-0.194093,0.097046,0.222925,0.825598,1.060478,1.045007,935,142.669678,1680,256.347656,1904,290.527344,2188,333.862305,-28483,-4346.160889,149,22.735596,-28126,-4291.687012,-28401,-4333.648682
15ml,VET6_8chips_raw_stream_20260527_223830.bin,3,4.072251,12.938298,1.639032,-13.966766,-11.978382,-3.731052,0.452449,0.206785,0.641372,-0.086875,-0.279535,-1.145755,-0.142363,0.656821,0.587904,-0.289733,-1.320675,-0.972574,0.147679,1.753112,1.042246,0.642809,1.711596,1.144945,0.120201,-0.384616,-1.407339,0.407377,-0.705630,-0.311412,-0.489305,-0.998096,-0.860759,-0.236287,0.222925,-0.174402,-0.439522,-0.621660,930,141.906738,1677,255.889893,1910,291.442871,2185,333.404541,-28483,-4346.160889,145,22.125244,-28122,-4291.076660,-28400,-4333.496094
15ml,VET6_8chips_raw_stream_20260527_223830.bin,4,3.269782,12.740767,-0.360968,-14.269235,-11.675913,-4.033521,-0.428119,-0.136786,-0.089867,-0.740017,-0.001912,-0.954590,0.041752,-0.343179,-0.412096,0.543601,1.012658,0.694093,0.481013,1.549409,1.745950,0.642809,0.106657,0.749883,0.922670,-0.643991,0.664394,-0.630144,-0.243152,0.383776,-0.092250,0.797933,-0.027426,-0.069620,-0.443741,-0.841069,-0.772855,0.045007,936,142.822266,1679,256.195068,1906,290.832520,2186,333.557129,-28486,-4346.618652,152,23.193359,-28123,-4291.229248,-28403,-4333.953857
15ml,VET6_8chips_raw_stream_20260527_223830.bin,5,4.269782,13.740767,0.441501,-15.176642,-10.768505,-4.138459,-0.183470,-0.327951,-0.474247,0.297505,0.341659,-0.232213,-0.050305,0.323488,0.421238,0.376934,-0.320675,0.027426,-0.185654,0.253112,-0.457754,-0.357191,1.310361,1.046179,2.527608,0.065923,1.610910,0.676138,0.103707,0.186826,0.238858,0.705875,0.472574,0.430380,-0.110408,-0.174402,0.060478,-0.288326,929,141.754150,1680,256.347656,1899,289.764404,2184,333.251953,-28486,-4346.618652,134,20.446777,-28125,-4291.534424,-28406,-4334.411621
15ml,VET6_8chips_raw_stream_20260527_223830.bin,6,4.671016,13.839532,1.546440,-15.775408,-11.669740,-2.731052,0.207800,0.015620,0.794514,-0.240017,-0.882480,0.687114,-0.550305,-0.009845,0.254571,-0.123066,0.179325,0.027426,-0.018987,0.253112,-0.457754,1.247747,1.112830,0.243710,0.323905,1.078386,0.506203,1.522997,0.372468,0.846779,-0.832875,0.613817,0.472574,-0.069620,0.222925,-0.174402,0.060478,0.711674,931,142.059326,1678,256.042480,1897,289.459229,2184,333.251953,-28486,-4346.618652,137,20.904541,-28126,-4291.687012,-28406,-4334.411621
15ml,VET6_8chips_raw_stream_20260527_223830.bin,7,2.467313,12.543236,0.540267,-14.269235,-11.675913,-4.434755,0.001909,-0.533841,0.025753,-0.355636,-0.294260,-0.041048,-0.346334,0.156821,0.087904,0.710267,0.345992,0.360759,0.147679,-1.055530,0.350888,0.642809,1.007892,1.348648,0.620201,0.860033,0.386771,0.907377,-0.511913,0.808020,-1.038765,0.409846,-0.027426,-0.569620,-0.610408,-0.674402,-0.439522,0.211674,936,142.822266,1685,257.110596,1895,289.154053,2184,333.251953,-28491,-4347.381592,147,22.430420,-28129,-4292.144775,-28409,-4334.869385
15ml,VET6_8chips_raw_stream_20260527_223830.bin,8,2.967313,13.043236,0.237798,-14.571704,-11.373444,-3.132286,0.452449,0.657324,0.410133,-0.355636,-0.279535,-0.438103,0.245723,0.323488,0.421238,1.210267,-0.320675,-0.972574,-0.518987,0.851878,0.443481,-0.357191,0.409126,0.447414,1.626374,0.528925,-0.938551,0.791758,-0.896293,-1.105522,0.528944,-1.090154,-0.527426,-0.069620,-0.277075,-0.174402,0.060478,-0.621660,931,142.059326,1679,256.195068,1904,290.527344,2182,332.946777,-28487,-4346.771240,139,21.209717,-28126,-4291.687012,-28405,-4334.259033
15ml,VET6_8chips_raw_stream_20260527_223830.bin,9,3.461140,15.049409,2.139032,-15.071704,-11.873444,-4.033521,-0.341661,0.412675,0.410133,0.528744,-0.676590,0.528923,-0.254277,-0.176512,-0.078762,-0.456399,-0.987342,-0.805907,-0.518987,-0.450591,-0.254050,1.753920,-0.189639,-0.453821,0.225139,1.117145,-0.407339,0.485475,0.141229,0.846779,-0.005792,0.205875,0.139241,0.263713,0.222925,-0.007736,-0.106188,-0.121660,938,143.127441,1679,256.195068,1901,290.069580,2184,333.251953,-28485,-4346.466064,141,21.514893,-28125,-4291.534424,-28406,-4334.411621
15ml,VET6_8chips_raw_stream_20260527_223830.bin,10,3.066078,13.444470,1.342736,-13.368000,-11.077147,-4.335990,-0.428119,0.690298,-0.205486,-0.624397,-0.709563,0.203601,0.041752,-0.509845,-0.745429,0.210267,0.512658,0.694093,-0.352321,-0.351826,0.147184,-0.054722,0.409126,0.447414,1.225139,0.561899,0.506203,0.907377,0.756848,0.449724,0.080667,0.409846,0.139241,-0.236287,-0.443741,-0.507736,-0.106188,0.045007,926,141.296387,1684,256.958008,1903,290.374756,2186,333.557129,-28483,-4346.160889,147,22.430420,-28123,-4291.229248,-28400,-4333.496094
