Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
15ml,VET6_8chips_raw_stream_20260527_223947.bin,1,-417.736391,-529.253060,-483.632573,-93.892692,-36.552456,-19.058212,-0.547551,-0.056113,-0.358628,1.181886,-0.001912,0.701840,-0.162219,-0.343179,0.087904,-0.456399,-0.487342,-0.305907,-0.685654,-1150.203678,-1259.500964,-1266.776944,-1438.708158,-2267.435302,-2134.034120,0.409493,0.366261,0.638616,-0.127532,-0.224954,-0.588226,-0.274269,1.139241,1.263713,0.056259,-1.507736,-0.606188,-0.621660,967,147.552490,1694,258.483887,1914,292.053223,2163,330.047607,-28488,-4346.923828,174,26.550293,-28225,-4306.793213,-28405,-4334.259033
15ml,VET6_8chips_raw_stream_20260527_223947.bin,2,-416.440095,-527.049357,-481.539980,-91.590222,-34.854925,-18.761916,-0.183470,0.036130,-0.243008,-0.893158,0.825172,0.514198,0.541752,0.323488,0.421238,0.543601,-0.987342,-1.305907,-0.185654,-1147.598739,-1258.105902,-1266.776944,-1438.016799,-2264.626660,-2134.145231,-0.127504,0.577936,-0.245764,0.219326,-0.272653,0.701860,0.225731,1.305907,1.097046,-0.110408,-0.341069,-0.772855,-0.788326,954,145.568848,1680,256.347656,1917,292.510986,2174,331.726074,-28494,-4347.839355,167,25.482178,-28234,-4308.166504,-28415,-4335.784912
15ml,VET6_8chips_raw_stream_20260527_223947.bin,3,-413.526515,-527.462937,-483.644918,-91.590222,-34.854925,-18.360681,-0.135771,0.949672,1.294514,0.028744,1.117520,-0.351645,1.133810,0.490155,0.754571,1.543601,-0.487342,-0.805907,-2.018987,-1141.271579,-1258.433062,-1264.863364,-1439.405688,-2268.737772,-2135.935354,0.117145,0.783826,-0.861384,-0.127532,-0.290902,0.271831,0.389991,-0.694093,-0.402954,0.722925,0.492264,0.393812,-0.288326,958,146.179199,1685,257.110596,1910,291.442871,2167,330.657959,-28482,-4346.008301,169,25.787354,-28221,-4306.182861,-28398,-4333.190918
15ml,VET6_8chips_raw_stream_20260527_223947.bin,4,-413.637626,-524.851826,-484.657264,-91.892692,-34.552456,-19.064385,0.676587,0.499133,-0.127389,0.528744,-0.121344,0.528923,0.245723,0.323488,0.421238,-0.789733,-0.820675,-0.472574,0.647679,-1144.580221,-1259.624420,-1266.474475,-1437.109392,-2265.534068,-2134.441527,0.925980,0.783826,0.907377,0.603707,0.482698,0.391263,0.521760,1.139241,0.763713,0.722925,-0.341069,-0.272855,-0.454993,955,145.721436,1679,256.195068,1908,291.137695,2162,329.895020,-28480,-4345.703125,169,25.787354,-28218,-4305.725098,-28397,-4333.038330
15ml,VET6_8chips_raw_stream_20260527_223947.bin,5,-414.032687,-526.456764,-486.052326,-92.787753,-36.657394,-19.558212,0.174826,0.274994,0.678894,0.681886,0.428117,-0.145755,0.337781,-0.176512,-0.078762,-0.123066,-0.320675,-0.472574,-0.518987,-1140.475283,-1256.729359,-1266.573241,-1438.714330,-2265.929130,-2134.842762,0.753064,-0.043258,0.138616,-1.165054,0.640889,-0.053491,0.409846,0.305907,0.097046,0.389592,-1.007736,-1.106188,-0.788326,950,144.958496,1684,256.958008,1907,290.985107,2182,332.946777,-28487,-4346.771240,173,26.397705,-28227,-4307.098389,-28405,-4334.259033
15ml,VET6_8chips_raw_stream_20260527_223947.bin,6,-413.328984,-526.660468,-483.243684,-92.090222,-35.354925,-18.860681,-1.102797,0.188536,0.063275,0.297505,-0.312508,0.528923,0.021897,-1.009845,-0.245429,0.376934,-1.154008,-1.639241,-0.018987,-1142.771579,-1259.933062,-1269.067068,-1439.220503,-2264.922957,-2134.947700,-0.279910,0.783826,-0.745764,0.488087,0.019695,1.185373,0.501904,-0.194093,-0.402954,-0.277075,-1.174402,-0.939522,-0.954993,955,145.721436,1677,255.889893,1919,292.816162,2165,330.352783,-28494,-4347.839355,161,24.566650,-28233,-4308.013916,-28412,-4335.327148
15ml,VET6_8chips_raw_stream_20260527_223947.bin,7,-415.532687,-527.956764,-484.243684,-91.287753,-35.157394,-19.663150,0.419475,0.499133,0.756992,0.413125,0.547549,-0.265187,0.357637,0.990155,0.754571,0.543601,-0.654008,-0.139241,-0.518987,-1142.469110,-1260.235532,-1268.462129,-1439.325441,-2263.818018,-2137.058811,-0.193452,-0.216174,-0.130144,-0.011913,-0.033789,1.098915,-0.182211,0.139241,-0.236287,0.889592,-0.841069,-0.272855,0.378340,963,146.942139,1686,257.263184,1908,291.137695,2177,332.183838,-28486,-4346.618652,175,26.702881,-28225,-4306.793213,-28403,-4333.953857
15ml,VET6_8chips_raw_stream_20260527_223947.bin,8,-417.347502,-526.141949,-485.657264,-91.287753,-35.157394,-19.261916,0.294258,0.949672,1.294514,-0.471256,0.998088,-1.265187,1.133810,-0.176512,-0.578762,0.376934,-0.320675,-0.472574,-0.518987,-1144.271579,-1261.433062,-1270.462129,-1442.522972,-2267.620488,-2135.441527,-0.106993,-1.010284,0.138616,-0.474391,0.172101,0.304805,-0.498096,-0.527426,-0.069620,-0.610408,0.492264,1.393812,-0.621660,958,146.179199,1676,255.737305,1913,291.900635,2171,331.268311,-28483,-4346.160889,165,25.177002,-28223,-4306.488037,-28400,-4333.496094
15ml,VET6_8chips_raw_stream_20260527_223947.bin,9,-415.131453,-527.857999,-486.848622,-92.991457,-35.953691,-18.959447,-0.374635,-1.274467,0.410133,-1.624397,1.255201,-0.763425,0.041752,-0.343179,-0.412096,0.376934,-0.654008,-0.639241,0.147679,-1140.172813,-1257.031828,-1269.875710,-1440.313096,-2267.830364,-2140.855108,-0.590507,0.300313,-0.245764,0.256848,0.139127,0.788318,0.205875,-0.194093,-0.402954,-1.110408,-0.007736,-0.606188,0.545007,961,146.636963,1677,255.889893,1916,292.358398,2165,330.352783,-28478,-4345.397949,176,26.855469,-28217,-4305.572510,-28397,-4333.038330
15ml,VET6_8chips_raw_stream_20260527_223947.bin,10,-411.730218,-524.759233,-484.354795,-91.188988,-34.756160,-19.163150,-0.547551,-0.447383,-0.011769,0.528744,0.619282,0.594871,0.153666,0.156821,-0.412096,-0.789733,-1.154008,-1.139241,-1.352321,-1139.870344,-1257.334297,-1269.665833,-1441.627911,-2265.515549,-2139.361280,-1.423376,0.147907,0.444899,-0.511913,-0.344386,-0.972818,0.001904,-0.194093,0.097046,-0.443741,-1.341069,-1.272855,-0.121660,955,145.721436,1684,256.958008,1915,292.205811,2167,330.657959,-28490,-4347.229004,170,25.939941,-28228,-4307.250977,-28406,-4334.411621
