Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
15ml,VET6_8chips_raw_stream_20260528_210653.bin,1,-6.613394,2.947427,-90.776714,-32.853875,-0.610411,-3.103512,0.938828,-1.637775,-0.104736,0.689715,-1.038991,0.767433,-1.540659,-2.875350,-2.870448,-5.575630,-4.717787,-4.719188,-2.142157,-170.309757,-326.448646,-483.382120,-957.429272,-1784.390056,-1960.404425,-0.138647,0.482030,-1.061661,-0.169308,-2.913700,-0.536504,-1.256060,-3.056022,-2.368347,-5.225490,-3.051120,-2.324930,0.796218,982,149.841309,1712,261.230469,1915,292.205811,2156,328.979492,-28531,-4353.485107,184,28.076172,-28307,-4319.305420,-28453,-4341.583252
15ml,VET6_8chips_raw_stream_20260528_210653.bin,2,-8.724505,3.558538,-91.579184,-33.958813,-0.505473,-3.405981,1.177692,-1.049555,0.895264,-1.079045,-0.866075,0.719733,-1.040659,-2.708683,-3.037115,-6.242297,-7.217787,-7.219188,-3.308824,-170.612226,-326.146177,-484.388292,-956.632975,-1782.686352,-1955.997017,-0.177406,-1.622677,-0.370998,-0.784928,-3.880726,-0.622962,-2.867973,-4.389356,-2.535014,-6.058824,-4.217787,-3.158263,-1.370448,964,147.094727,1719,262.298584,1915,292.205811,2152,328.369141,-28540,-4354.858398,179,27.313232,-28315,-4320.526123,-28460,-4342.651367
15ml,VET6_8chips_raw_stream_20260528_210653.bin,3,-8.823270,3.157304,-90.171776,-33.662517,0.698231,-3.109685,1.025286,-1.599016,0.510884,-0.579045,-0.833101,-0.683107,-1.244630,-3.042017,-3.203782,-5.408964,-6.717787,-6.719188,-3.475490,-169.106054,-326.152350,-482.684589,-957.126803,-1784.692525,-1955.688375,-0.622160,0.084975,-1.561661,-0.284928,-2.636077,-0.933559,-1.256060,-2.889356,-2.035014,-5.725490,-3.717787,-2.658263,0.462885,973,148.468018,1710,260.925293,1906,290.832520,2163,330.047607,-28537,-4354.400635,184,28.076172,-28313,-4320.220947,-28456,-4342.041016
15ml,VET6_8chips_raw_stream_20260528_210653.bin,4,-6.218332,4.552365,-91.177949,-33.261282,0.796997,-3.109685,1.422341,-0.685474,0.279645,-0.963426,-1.057240,-0.041403,-0.856544,-3.542017,-3.703782,-6.575630,-6.051120,-6.385854,-3.142157,-170.606054,-327.652350,-485.480885,-957.750259,-1779.569068,-1957.114301,0.482546,0.084975,-1.714803,0.330692,-2.928425,-0.020017,-1.440175,-1.889356,-1.035014,-6.058824,-2.717787,-1.658263,-0.537115,957,146.026611,1702,259.704590,1911,291.595459,2163,330.047607,-28546,-4355.773926,180,27.465820,-28326,-4322.204590,-28469,-4344.024658
15ml,VET6_8chips_raw_stream_20260528_210653.bin,5,-7.317097,3.151131,-90.276714,-32.958813,0.494527,-4.010919,2.216451,-0.963097,0.510884,-0.425904,-1.057240,-0.232567,-1.060515,-3.875350,-3.870448,-5.908964,-6.384454,-6.552521,-3.142157,-169.710992,-325.547412,-484.487058,-956.453963,-1777.365365,-1956.620474,0.258408,-0.900300,-1.408520,0.752594,-3.086616,-0.608237,-2.164002,-3.722689,-2.201681,-5.392157,-3.384454,-2.491597,0.129552,969,147.857666,1714,261.535645,1915,292.205811,2156,328.979492,-28548,-4356.079102,185,28.228760,-28322,-4321.594238,-28469,-4344.024658
15ml,VET6_8chips_raw_stream_20260528_210653.bin,6,-6.718332,4.052365,-90.875480,-33.057579,0.093293,-4.109685,1.025286,-0.566042,0.510884,1.342857,-0.660185,-0.548950,-0.652573,-3.042017,-3.203782,-5.408964,-5.551120,-5.885854,-2.975490,-170.513461,-325.744942,-482.888292,-955.941617,-1779.877710,-1960.521709,1.052517,1.329624,-1.408520,0.215072,-2.430187,-0.781153,-0.367973,-2.889356,-2.035014,-5.225490,-4.217787,-3.158263,-1.037115,965,147.247314,1708,260.620117,1916,292.358398,2153,328.521729,-28538,-4354.553223,182,27.770996,-28314,-4320.373535,-28458,-4342.346191
15ml,VET6_8chips_raw_stream_20260528_210653.bin,7,-7.718332,3.052365,-91.474245,-33.958813,-0.505473,-3.405981,0.541773,-1.168987,0.010884,-0.347806,-1.263130,0.475084,-1.244630,-3.708683,-4.537115,-6.742297,-5.717787,-5.719188,-2.808824,-169.606054,-326.652350,-483.783354,-957.447790,-1779.871538,-1951.997017,0.464298,0.482030,-0.524139,-0.169308,-2.794268,-0.933559,-1.256060,-2.556022,-1.368347,-5.225490,-3.717787,-3.158263,-0.203782,980,149.536133,1709,260.772705,1916,292.358398,2156,328.979492,-28536,-4354.248047,188,28.686523,-28310,-4319.763184,-28456,-4342.041016
15ml,VET6_8chips_raw_stream_20260528_210653.bin,8,-7.922035,3.756069,-89.770542,-33.958813,-0.505473,-4.208450,1.025286,-1.374877,0.164025,-1.079045,-1.851349,-0.008429,-1.652573,-3.708683,-3.537115,-5.242297,-6.051120,-5.885854,-3.142157,-170.710992,-326.547412,-481.974712,-957.441617,-1781.377710,-1957.206894,1.377840,-0.742109,-0.024139,-1.553689,-2.483671,-1.258881,-1.664002,-3.556022,-2.368347,-4.558824,-3.384454,-1.991597,0.462885,970,148.010254,1714,261.535645,1915,292.205811,2152,328.369141,-28543,-4355.316162,180,27.465820,-28321,-4321.441650,-28465,-4343.414307
15ml,VET6_8chips_raw_stream_20260528_210653.bin,9,-6.514628,3.348662,-89.573011,-32.755109,-0.209176,-3.807215,1.580532,-1.288419,-0.604736,-0.847806,-2.334863,-0.405484,-1.856544,-4.042017,-3.703782,-6.075630,-5.884454,-5.552521,-3.975490,-168.606054,-325.652350,-484.480885,-958.836679,-1783.982649,-1956.194548,-0.416270,-0.153889,-0.908520,-1.706830,-3.000158,-0.154174,-1.552089,-2.556022,-1.368347,-5.725490,-2.551120,-1.324930,-0.037115,972,148.315430,1701,259.552002,1918,292.663574,2159,329.437256,-28538,-4354.553223,188,28.686523,-28313,-4320.220947,-28456,-4342.041016
15ml,VET6_8chips_raw_stream_20260528_210653.bin,10,-7.823270,4.157304,-91.776714,-34.662517,-0.301769,-3.708450,0.852370,-0.010796,-0.257877,-0.963426,-0.812590,-0.405484,-0.152573,-2.708683,-3.037115,-6.575630,-6.051120,-6.385854,-2.475490,-169.717165,-324.041239,-485.382120,-962.645321,-1785.674007,-1957.194548,-0.693893,0.535514,-0.870998,-0.284928,-3.707810,-0.900585,-1.479887,-4.389356,-3.035014,-5.725490,-3.884454,-1.491597,0.629552,961,146.636963,1707,260.467529,1919,292.816162,2161,329.742432,-28546,-4355.773926,186,28.381348,-28324,-4321.899414,-28468,-4343.872070
