Force_N,Loading_LSB,Unloading_LSB,Error_LSB,Error_percentFS
0.0,-2.345648604269294,-2.3743760399334444,-0.02872743566415048,0.00038310518592861664
1.0,-1091.5652173913043,-1068.192426584235,23.37279080706935,0.3116963683252498
2.0,-1956.6433470507545,-1937.792921686747,18.850425364007606,0.251386716111377
3.0,-2813.1224970553594,-2810.4341926729985,2.6883043823609114,0.03585086264843082
4.0,-3560.2372583479787,-3527.4459665144595,32.79129183351915,0.43730022065272206
5.0,-4271.18038237739,-4245.717156105101,25.46322627228892,0.3395741321791994
6.0,-4954.46875,-4940.578600823045,13.890149176954765,0.18523714560621707
7.0,-5552.127233738384,-5535.189555125726,16.9376786126586,0.2258785848470062
8.0,-6086.355500821018,-6055.790716612378,30.56478420864005,0.4076078169320081
9.0,-6713.3621399176955,-6691.6577540106955,21.70438590699996,0.2894467468512754
10.0,-7500.922206506365,-7509.596078431373,-8.673871925007916,0.11567357961915158
