Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
100ml,VET6_8chips_raw_stream_20260525_230536.bin,1,-22.697917,-132.610417,-402.791667,-615.318750,-259.641667,-202.841667,0.264583,0.622917,0.168750,-0.475000,0.650000,0.627083,0.636458,0.787500,-25.583333,-4.554167,-1.235417,0.283333,-160.595833,-1899.464583,-1832.577083,-1490.018750,-657.031250,-345.554167,-1003.416667,-1.139583,0.441667,-0.189583,0.852083,-0.622917,-0.110417,-0.090625,-0.247917,0.050000,-0.431250,-0.777083,-1.297917,0.197917,1099,167.694092,1770,270.080566,2053,313.262939,2332,355.834961,-28160,-4296.875000,292,44.555664,-27922,-4260.559082,1073,163.726807
100ml,VET6_8chips_raw_stream_20260525_230536.bin,2,-23.697917,-131.610417,-410.291667,-587.818750,-259.641667,-201.841667,-0.235417,-0.377083,0.668750,-0.475000,-0.850000,0.127083,-0.613542,-1.212500,-30.083333,-3.554167,0.764583,1.783333,-156.095833,-1898.464583,-1827.577083,-1494.518750,-678.531250,-349.554167,-1004.916667,-1.139583,0.441667,-0.189583,-0.647917,1.377083,1.389583,0.909375,0.252083,0.550000,0.068750,-0.777083,-0.297917,0.197917,1105,168.609619,1779,271.453857,2054,313.415527,2340,357.055664,-28155,-4296.112061,304,46.386719,-27918,-4259.948730,1078,164.489746
100ml,VET6_8chips_raw_stream_20260525_230536.bin,3,-18.197917,-122.610417,-398.291667,-594.318750,-228.641667,-202.841667,0.764583,0.622917,-0.331250,0.525000,-0.350000,0.127083,0.136458,0.287500,-50.083333,-3.054167,0.764583,-0.216667,-143.595833,-1899.464583,-1850.077083,-1505.018750,-681.031250,-356.554167,-1027.916667,-1.139583,-1.058333,-0.189583,0.852083,-0.622917,0.889583,-0.840625,-2.247917,-0.450000,1.068750,1.222917,0.702083,-0.802083,1098,167.541504,1774,270.690918,2051,312.957764,2331,355.682373,-28162,-4297.180176,301,45.928955,-27925,-4261.016846,1077,164.337158
100ml,VET6_8chips_raw_stream_20260525_230536.bin,4,-19.697917,-123.610417,-399.791667,-600.318750,-235.641667,-204.341667,0.264583,-0.377083,0.168750,0.025000,0.150000,-1.372917,-0.113542,-0.212500,-54.083333,-1.554167,0.764583,-0.216667,-126.595833,-1910.464583,-1865.577083,-1514.518750,-683.031250,-369.054167,-1049.416667,0.360417,-0.558333,0.310417,0.852083,0.877083,0.389583,0.159375,-0.247917,1.050000,0.568750,0.222917,-0.297917,-0.802083,1101,167.999268,1776,270.996094,2053,313.262939,2338,356.750488,-28164,-4297.485352,303,46.234131,-27926,-4261.169434,1078,164.489746
100ml,VET6_8chips_raw_stream_20260525_230536.bin,5,-22.197917,-124.610417,-392.791667,-615.818750,-232.141667,-211.341667,-0.235417,-1.377083,-1.831250,0.525000,1.150000,-0.372917,-0.113542,-0.712500,-32.583333,-3.054167,-0.235417,1.283333,-137.595833,-1910.964583,-1865.577083,-1513.518750,-686.531250,-365.054167,-1054.916667,-0.139583,0.941667,0.310417,0.852083,0.377083,-0.110417,0.659375,0.252083,0.050000,-0.431250,0.222917,-0.297917,0.197917,1098,167.541504,1779,271.453857,2047,312.347412,2340,357.055664,-28163,-4297.332764,301,45.928955,-27925,-4261.016846,1080,164.794922
100ml,VET6_8chips_raw_stream_20260525_230536.bin,6,-20.197917,-125.610417,-390.791667,-610.818750,-238.641667,-201.841667,-0.735417,-0.377083,0.168750,0.525000,-0.350000,0.627083,-0.363542,-1.212500,-31.083333,-5.554167,0.764583,0.283333,-135.095833,-1916.964583,-1868.577083,-1522.518750,-691.031250,-370.054167,-1061.916667,-0.639583,1.941667,0.310417,-0.647917,0.877083,0.889583,1.409375,2.252083,1.550000,0.068750,0.722917,0.202083,0.197917,1102,168.151855,1771,270.233154,2048,312.500000,2335,356.292725,-28166,-4297.790527,300,45.776367,-27929,-4261.627197,1075,164.031982
100ml,VET6_8chips_raw_stream_20260525_230536.bin,7,-19.197917,-129.110417,-377.791667,-606.318750,-242.641667,-208.841667,0.764583,-0.877083,1.168750,-0.475000,0.650000,0.627083,-0.113542,-0.212500,-47.083333,-6.554167,-0.235417,-0.716667,-129.595833,-1912.464583,-1879.577083,-1521.018750,-693.031250,-368.054167,-1059.416667,-1.139583,0.941667,-0.189583,-0.647917,0.877083,0.889583,0.909375,1.252083,0.550000,0.068750,0.722917,0.202083,0.697917,1102,168.151855,1778,271.301270,2051,312.957764,2340,357.055664,-28161,-4297.027588,306,46.691895,-27927,-4261.322021,1088,166.015625
100ml,VET6_8chips_raw_stream_20260525_230536.bin,8,-16.697917,-129.110417,-380.791667,-616.318750,-247.641667,-209.341667,-0.735417,0.122917,1.168750,0.025000,0.150000,-0.372917,0.136458,-0.212500,-54.583333,-7.554167,-0.735417,-0.716667,-127.595833,-1911.964583,-1873.577083,-1522.518750,-690.031250,-368.054167,-1059.416667,0.360417,0.941667,-0.689583,0.852083,-1.622917,0.889583,-0.340625,0.252083,0.550000,-0.431250,1.722917,0.702083,-0.802083,1099,167.694092,1776,270.996094,2047,312.347412,2335,356.292725,-28162,-4297.180176,296,45.166016,-27928,-4261.474609,1076,164.184570
100ml,VET6_8chips_raw_stream_20260525_230536.bin,9,-15.697917,-127.610417,-393.291667,-623.818750,-253.641667,-215.341667,-0.735417,-0.377083,-0.331250,1.525000,-0.850000,1.127083,-0.613542,-0.712500,-57.083333,-7.554167,-0.235417,-0.716667,-130.595833,-1910.464583,-1869.577083,-1523.018750,-696.531250,-367.554167,-1060.416667,-0.639583,0.441667,-0.689583,-0.147917,-0.122917,-1.110417,0.159375,0.752083,0.050000,0.068750,-0.277083,0.702083,0.697917,1099,167.694092,1773,270.538330,2048,312.500000,2339,356.903076,-28163,-4297.332764,299,45.623779,-27926,-4261.169434,1086,165.710449
100ml,VET6_8chips_raw_stream_20260525_230536.bin,10,-16.697917,-127.110417,-390.291667,-635.318750,-255.141667,-220.341667,1.764583,0.122917,-0.331250,-0.975000,1.150000,-1.372917,0.636458,-0.212500,-56.083333,-8.554167,1.764583,0.283333,-127.595833,-1908.464583,-1877.077083,-1529.018750,-699.031250,-369.054167,-1061.916667,-0.139583,-0.558333,0.810417,0.852083,-0.122917,0.889583,-0.340625,-1.747917,0.050000,-0.931250,-0.277083,-0.297917,-0.802083,1095,167.083740,1776,270.996094,2057,313.873291,2337,356.597900,-28167,-4297.943115,291,44.403076,-27932,-4262.084961,1071,163.421631
