Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
100ml,VET6_8chips_raw_stream_20260525_230605.bin,1,-2.197917,30.389583,-0.791667,-1.318750,0.358333,-0.341667,-269.235417,-1572.377083,-820.831250,-1062.975000,-1359.850000,-2003.372917,-1466.113542,-1.212500,-58.583333,-0.554167,0.764583,-0.716667,-174.095833,0.035417,-1.077083,-0.518750,-0.531250,-0.554167,1.083333,-1934.139583,-1018.558333,-1796.689583,-371.647917,-1597.622917,-385.110417,-1308.090625,0.252083,1.050000,0.068750,1.222917,0.202083,0.197917,1112,169.677734,1801,274.810791,2071,316.009521,2353,359.039307,-28164,-4297.485352,300,45.776367,-27930,-4261.779785,1103,168.304443
100ml,VET6_8chips_raw_stream_20260525_230605.bin,2,-1.697917,31.889583,-0.791667,-1.318750,-0.141667,-0.341667,-272.235417,-1572.877083,-821.331250,-1058.975000,-1366.850000,-2005.872917,-1469.863542,-1.712500,-50.083333,-1.054167,-0.735417,1.283333,-180.095833,1.035417,0.922917,0.481250,-0.531250,-1.054167,1.083333,-1935.639583,-1019.558333,-1791.189583,-372.147917,-1599.622917,-372.110417,-1309.590625,1.252083,-0.950000,0.568750,0.222917,0.202083,-0.302083,1125,171.661377,1796,274.047852,2069,315.704346,2347,358.123779,-28167,-4297.943115,306,46.691895,-27930,-4261.779785,1117,170.440674
100ml,VET6_8chips_raw_stream_20260525_230605.bin,3,-1.697917,30.889583,-1.291667,0.181250,-1.641667,0.158333,-272.235417,-1574.377083,-819.831250,-1049.475000,-1362.850000,-2008.872917,-1468.613542,-2.712500,-63.583333,-1.054167,0.764583,0.783333,-195.595833,0.035417,-0.577083,-1.018750,-1.031250,-1.554167,-0.416667,-1931.139583,-1008.558333,-1782.689583,-403.647917,-1596.622917,-365.610417,-1302.590625,0.252083,-1.950000,0.568750,-1.777083,0.202083,-1.302083,1116,170.288086,1804,275.268555,2067,315.399170,2348,358.276367,-28164,-4297.485352,300,45.776367,-27929,-4261.627197,1111,169.525146
100ml,VET6_8chips_raw_stream_20260525_230605.bin,4,-1.197917,32.389583,-0.291667,-0.318750,-1.141667,-0.841667,-268.735417,-1573.377083,-820.831250,-1050.475000,-1352.350000,-1998.872917,-1462.863542,-2.212500,-62.583333,-0.054167,0.264583,0.283333,-196.095833,0.035417,0.922917,-0.518750,0.968750,0.445833,-0.416667,-1921.639583,-1011.558333,-1780.189583,-404.147917,-1601.622917,-372.110417,-1306.590625,0.252083,0.550000,0.068750,0.222917,0.202083,-0.302083,1112,169.677734,1799,274.505615,2065,315.093994,2344,357.666016,-28168,-4298.095703,304,46.386719,-27932,-4262.084961,1113,169.830322
100ml,VET6_8chips_raw_stream_20260525_230605.bin,5,-1.697917,32.389583,-0.291667,-3.818750,0.858333,0.658333,-272.735417,-1579.377083,-822.331250,-1061.975000,-1351.850000,-2004.872917,-1465.613542,-2.212500,-66.583333,-0.554167,-0.235417,-1.216667,-197.095833,0.035417,-0.077083,0.481250,-0.531250,0.945833,0.583333,-1935.139583,-1010.558333,-1788.689583,-407.647917,-1599.622917,-375.110417,-1305.090625,0.252083,-1.450000,0.068750,0.222917,1.202083,-0.802083,1119,170.745850,1802,274.963379,2070,315.856934,2350,358.581543,-28163,-4297.332764,307,46.844482,-27929,-4261.627197,1117,170.440674
100ml,VET6_8chips_raw_stream_20260525_230605.bin,6,-1.697917,32.889583,-0.791667,-0.818750,-0.641667,-0.841667,-270.735417,-1580.877083,-825.331250,-1056.975000,-1358.850000,-2006.872917,-1469.863542,-1.212500,-64.083333,-1.554167,0.264583,-0.216667,-194.095833,0.035417,-0.577083,-0.518750,-0.531250,-0.054167,1.083333,-1930.139583,-1012.558333,-1785.689583,-387.647917,-1597.622917,-365.610417,-1305.090625,0.252083,0.550000,0.068750,0.222917,-1.297917,0.197917,1121,171.051025,1800,274.658203,2068,315.551758,2347,358.123779,-28163,-4297.332764,305,46.539307,-27930,-4261.779785,1103,168.304443
100ml,VET6_8chips_raw_stream_20260525_230605.bin,7,-0.697917,32.389583,-0.791667,-0.818750,0.358333,1.158333,-274.235417,-1578.377083,-820.831250,-1060.475000,-1354.350000,-2005.372917,-1466.363542,-2.212500,-65.083333,-1.054167,-0.235417,0.283333,-194.095833,0.035417,-1.077083,0.481250,-0.031250,-0.054167,1.083333,-1935.139583,-1012.558333,-1785.689583,-375.647917,-1594.622917,-375.610417,-1303.590625,0.752083,0.550000,1.568750,-0.777083,-0.297917,0.197917,1113,169.830322,1794,273.742676,2073,316.314697,2346,357.971191,-28170,-4298.400879,303,46.234131,-27935,-4262.542725,1121,171.051025
100ml,VET6_8chips_raw_stream_20260525_230605.bin,8,-3.197917,32.389583,-1.291667,-0.818750,0.858333,1.658333,-277.235417,-1585.377083,-819.831250,-1058.975000,-1358.850000,-2006.372917,-1472.113542,-2.212500,-64.583333,-0.554167,-0.735417,-0.216667,-194.095833,-0.964583,-0.577083,-0.518750,-0.031250,0.445833,-0.416667,-1929.139583,-1015.058333,-1784.189583,-381.147917,-1596.122917,-373.110417,-1305.590625,-0.747917,-1.450000,-0.431250,0.222917,1.202083,0.697917,1122,171.203613,1803,275.115967,2063,314.788818,2348,358.276367,-28166,-4297.790527,301,45.928955,-27931,-4261.932373,1104,168.457031
100ml,VET6_8chips_raw_stream_20260525_230605.bin,9,-3.197917,31.889583,0.708333,-1.318750,-0.141667,0.158333,-271.735417,-1583.877083,-825.331250,-1050.975000,-1366.350000,-1998.872917,-1475.113542,-3.712500,-53.583333,-0.054167,-1.235417,0.783333,-198.595833,-0.464583,-0.577083,-0.018750,-0.531250,1.945833,-0.416667,-1930.639583,-1014.558333,-1783.189583,-398.147917,-1598.122917,-369.610417,-1306.340625,0.752083,0.050000,-0.931250,0.222917,-0.297917,0.197917,1115,170.135498,1806,275.573730,2063,314.788818,2347,358.123779,-28161,-4297.027588,305,46.539307,-27926,-4261.169434,1108,169.067383
100ml,VET6_8chips_raw_stream_20260525_230605.bin,10,-2.197917,32.389583,0.208333,-0.818750,0.858333,0.158333,-273.235417,-1571.377083,-824.331250,-1040.975000,-1353.850000,-1993.872917,-1462.613542,-2.712500,-58.583333,-1.054167,-0.735417,0.283333,-204.095833,-0.964583,0.422917,-1.018750,0.468750,0.945833,0.083333,-1935.139583,-1009.558333,-1781.189583,-382.647917,-1597.122917,-371.110417,-1303.340625,0.252083,-0.950000,0.568750,-1.277083,-0.797917,-0.302083,1113,169.830322,1794,273.742676,2059,314.178467,2344,357.666016,-28161,-4297.027588,306,46.691895,-27924,-4260.864258,1110,169.372559
