Force_N,Loading_LSB,Unloading_LSB,Error_LSB,Error_percentFS
0.0,-2.037766830870279,-2.1788685524126454,-0.14110172154236622,0.001881842390331045
1.0,-1090.9375494071146,-1065.7681607418856,25.169388665229008,0.33567855878161085
2.0,-1957.2976680384088,-1936.875,20.4226680384088,0.27237259771346767
3.0,-2812.5565371024736,-2809.892130257802,2.664406844671703,0.03553460362201128
4.0,-3561.628295254833,-3525.8264840182646,35.80181123656848,0.47748082233976036
5.0,-4271.044056525353,-4244.424265842349,26.619790683003885,0.3550222490657221
6.0,-4954.469494047619,-4939.999176954732,14.470317092886944,0.1929874122673294
7.0,-5552.039313795568,-5533.999355254675,18.039958540893167,0.240594929182875
8.0,-6085.579638752052,-6053.241856677524,32.33778207452815,0.4312818330771584
9.0,-6713.391769547325,-6691.138273491215,22.253496056109725,0.2967899452515052
10.0,-7500.100424328147,-7509.37725490196,-9.27683057381364,0.12372303350303138
