Force_N,Loading_LSB,Unloading_LSB,Error_LSB,Error_percentFS
0.0,-0.5862068965517241,-0.6039933444259568,-0.01778644787423267,0.0002371729427546807
1.0,-1089.2316205533598,-1066.8655332302937,22.36608732306604,0.2982400300402072
2.0,-1955.7496570644719,-1936.128765060241,19.620892004230882,0.2616342919631997
3.0,-2812.7131919905773,-2809.9742198100407,2.7389721805366207,0.036522755795561
4.0,-3558.038664323374,-3525.9109589041095,32.12770541926466,0.4284060815358969
5.0,-4268.302576891106,-4244.937403400309,23.365173490796224,0.311562319467617
6.0,-4953.828125,-4940.303703703704,13.524421296296168,0.18034105632432337
7.0,-5550.100786275912,-5533.862024500322,16.23876177558941,0.21653536131788867
8.0,-6083.717569786535,-6052.89332247557,30.824247310964893,0.4110251521064315
9.0,-6711.860082304527,-6691.117647058823,20.742435245703746,0.27658948216686585
10.0,-7499.944130127298,-7508.161568627451,-8.217438500152639,0.10957522742977095
