Index,Raw16,Visual_mV
0,3424,522.4609375
1,3392,517.578125
2,3408,520.01953125
3,3424,522.4609375
4,3392,517.578125
5,3424,522.4609375
6,3424,522.4609375
7,3392,517.578125
8,3424,522.4609375
9,3424,522.4609375
10,3408,520.01953125
11,3408,520.01953125
12,3424,522.4609375
13,3392,517.578125
14,3424,522.4609375
15,3424,522.4609375
16,3392,517.578125
17,3424,522.4609375
18,3424,522.4609375
19,3392,517.578125
20,3424,522.4609375
21,3424,522.4609375
22,3392,517.578125
23,3424,522.4609375
24,3424,522.4609375
25,3392,517.578125
26,3424,522.4609375
27,3424,522.4609375
28,3392,517.578125
29,3424,522.4609375
30,3424,522.4609375
31,3392,517.578125
32,3424,522.4609375
33,3424,522.4609375
34,3392,517.578125
35,3408,520.01953125
36,3424,522.4609375
37,3392,517.578125
38,3408,520.01953125
39,3424,522.4609375
40,3392,517.578125
41,3408,520.01953125
42,3424,522.4609375
43,3392,517.578125
44,3424,522.4609375
45,3424,522.4609375
46,3392,517.578125
47,3408,520.01953125
48,3424,522.4609375
49,3392,517.578125
50,3424,522.4609375
51,3424,522.4609375
52,3392,517.578125
53,3408,520.01953125
54,3424,522.4609375
55,3392,517.578125
56,3424,522.4609375
57,3424,522.4609375
58,3392,517.578125
59,3424,522.4609375
60,3424,522.4609375
61,3392,517.578125
62,3408,520.01953125
63,3424,522.4609375
64,3392,517.578125
65,3408,520.01953125
66,3424,522.4609375
67,3376,515.13671875
68,3408,520.01953125
69,3424,522.4609375
70,3392,517.578125
71,3408,520.01953125
72,3424,522.4609375
73,3392,517.578125
74,3408,520.01953125
75,3424,522.4609375
76,3392,517.578125
77,3408,520.01953125
78,3424,522.4609375
79,3392,517.578125
80,3408,520.01953125
81,3424,522.4609375
82,3408,520.01953125
83,3408,520.01953125
84,3424,522.4609375
85,3408,520.01953125
86,3408,520.01953125
87,3424,522.4609375
88,3392,517.578125
89,3408,520.01953125
90,3424,522.4609375
91,3392,517.578125
92,3408,520.01953125
93,3424,522.4609375
94,3392,517.578125
95,3408,520.01953125
96,3424,522.4609375
97,3408,520.01953125
98,3408,520.01953125
99,3424,522.4609375
100,3408,520.01953125
101,3408,520.01953125
102,3424,522.4609375
103,3392,517.578125
104,3392,517.578125
105,3424,522.4609375
106,3408,520.01953125
107,3408,520.01953125
108,3408,520.01953125
109,3392,517.578125
110,3408,520.01953125
111,3424,522.4609375
112,3408,520.01953125
113,3408,520.01953125
114,3424,522.4609375
115,3392,517.578125
116,3392,517.578125
117,3424,522.4609375
118,3408,520.01953125
119,3408,520.01953125
120,3424,522.4609375
121,3392,517.578125
122,3392,517.578125
123,3424,522.4609375
124,3392,517.578125
125,3408,520.01953125
126,3424,522.4609375
127,3392,517.578125
128,3408,520.01953125
129,3424,522.4609375
130,3392,517.578125
131,3408,520.01953125
132,3424,522.4609375
133,3408,520.01953125
134,3408,520.01953125
135,3424,522.4609375
136,3392,517.578125
137,3408,520.01953125
138,3424,522.4609375
139,3408,520.01953125
140,3408,520.01953125
141,3424,522.4609375
142,3408,520.01953125
143,3408,520.01953125
144,3424,522.4609375
145,3408,520.01953125
146,3408,520.01953125
147,3424,522.4609375
148,3408,520.01953125
149,3408,520.01953125
150,3424,522.4609375
151,3408,520.01953125
152,3408,520.01953125
153,3424,522.4609375
154,3408,520.01953125
155,3392,517.578125
156,3424,522.4609375
157,3392,517.578125
158,3408,520.01953125
159,3424,522.4609375
160,3408,520.01953125
161,3392,517.578125
162,3424,522.4609375
163,3408,520.01953125
164,3392,517.578125
165,3424,522.4609375
166,3408,520.01953125
167,3392,517.578125
168,3424,522.4609375
169,3408,520.01953125
170,3408,520.01953125
171,3424,522.4609375
172,3408,520.01953125
173,3392,517.578125
174,3424,522.4609375
175,3408,520.01953125
176,3408,520.01953125
177,3424,522.4609375
178,3408,520.01953125
179,3392,517.578125
180,3424,522.4609375
181,3408,520.01953125
182,3392,517.578125
183,3424,522.4609375
184,3408,520.01953125
185,3392,517.578125
186,3424,522.4609375
187,3408,520.01953125
188,3392,517.578125
189,3424,522.4609375
190,3408,520.01953125
191,3408,520.01953125
192,3408,520.01953125
193,3408,520.01953125
194,3392,517.578125
195,3408,520.01953125
196,3408,520.01953125
197,3408,520.01953125
198,3408,520.01953125
199,3408,520.01953125
200,3392,517.578125
201,3408,520.01953125
202,3408,520.01953125
203,3392,517.578125
204,3408,520.01953125
205,3424,522.4609375
206,3392,517.578125
207,3424,522.4609375
208,3408,520.01953125
209,3408,520.01953125
210,3424,522.4609375
211,3408,520.01953125
212,3392,517.578125
213,3424,522.4609375
214,3408,520.01953125
215,3408,520.01953125
216,3408,520.01953125
217,3424,522.4609375
218,3376,515.13671875
219,3424,522.4609375
220,3408,520.01953125
221,3392,517.578125
222,3424,522.4609375
223,3424,522.4609375
224,3392,517.578125
225,3408,520.01953125
226,3408,520.01953125
227,3392,517.578125
228,3408,520.01953125
229,3408,520.01953125
230,3392,517.578125
231,3408,520.01953125
232,3424,522.4609375
233,3392,517.578125
234,3408,520.01953125
235,3408,520.01953125
236,3392,517.578125
237,3408,520.01953125
238,3408,520.01953125
239,3392,517.578125
240,3424,522.4609375
241,3408,520.01953125
242,3376,515.13671875
243,3408,520.01953125
244,3424,522.4609375
245,3376,515.13671875
