Force_N,Loading_LSB,Unloading_LSB,Error_LSB,Error_percentFS
0.0,-1.7594417077175697,-1.7803660565723793,-0.02092434885480965,0.00027905725637495044
1.0,-1091.4363636363637,-1066.3253477588871,25.111015877476575,0.3348926766696358
2.0,-1958.5500685871057,-1937.8471385542168,20.702930032888844,0.27610430766511324
3.0,-2812.7438162544167,-2810.029172320217,2.7146439341995574,0.036203807036915385
4.0,-3559.5518453427067,-3526.103500761035,33.44834458167179,0.44608333258120786
5.0,-4271.142975893599,-4245.044822256569,26.09815363703001,0.3480576242030821
6.0,-4955.659226190476,-4940.8427983539095,14.816427836566618,0.19759906174568204
7.0,-5552.316654753396,-5534.834945196647,17.481709556748683,0.23314455037527707
8.0,-6087.625615763547,-6054.350977198697,33.27463856484974,0.4437667049620387
9.0,-6713.4493827160495,-6690.88922841864,22.5601542974091,0.3008731504771981
10.0,-7499.987270155587,-7508.964705882353,-8.977435726766089,0.11972743336373676
