Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-6,2,3,1,-7,1,-5,3,0,1,-6,4,-7,5,0,0,-6,1,-10,-27,3,-2,-6,1,-5,3,2,-3,-7,4,-7,1,1,0,-7,3,0
1,-7,3,3,-1,-6,3,-7,3,2,0,-7,2,-7,2,3,0,-6,4,-6,-29,0,-2,-6,4,-7,4,2,-1,-6,2,-7,5,3,1,-6,4,1
2,-7,4,1,-2,-6,4,-7,3,0,-1,-6,3,-7,3,2,-2,-7,3,-5,-27,0,-1,-6,4,-8,3,1,-2,-4,4,-7,3,2,-2,-9,3,-2
3,-7,4,2,-4,-8,4,-6,4,1,-1,-6,3,-8,5,3,-2,-5,3,-7,-30,2,-2,-6,4,-5,4,3,1,-7,3,-7,3,2,-1,-5,2,0
4,-8,4,3,-1,-9,6,-7,2,0,0,-7,2,-6,4,3,-1,-6,2,-7,-29,3,1,-6,4,-7,1,0,-2,-8,5,-8,1,0,-2,-7,5,-1
5,-8,3,0,-2,-6,3,-7,4,2,1,-7,5,-7,4,-1,0,-7,4,-6,-29,0,1,-8,5,-6,6,2,-2,-6,4,-7,3,0,-1,-6,2,-2
6,-6,3,0,1,-6,4,-8,4,0,0,-6,5,-7,3,1,0,-7,4,-9,-28,3,-1,-6,4,-6,2,-1,1,-6,1,-7,4,2,0,-7,3,-1
7,-5,3,-1,-2,-6,4,-7,3,0,0,-5,4,-6,5,1,0,-8,4,-7,-30,2,-2,-5,3,-7,6,1,-2,-6,5,-5,1,0,-2,-6,2,-1
8,-5,3,3,-1,-6,3,-7,2,3,-2,-6,2,-4,6,3,1,-6,4,-8,-29,0,-1,-5,1,-9,3,1,-1,-6,4,-7,3,1,-1,-7,4,-1
9,-5,3,1,0,-7,4,-6,3,0,-1,-6,4,-5,3,2,-2,-7,4,-4,-25,3,2,-5,6,-5,5,1,-2,-8,4,-8,2,0,-1,-7,4,0
10,-7,3,0,-2,-8,4,-4,3,1,0,-7,3,-5,2,0,-2,-7,3,-6,-27,1,-1,-7,2,-5,4,2,-2,-7,1,-7,3,2,-1,-6,4,1
11,-5,4,3,-2,-6,4,-8,3,3,-2,-6,2,-7,4,3,1,-6,4,-5,-27,1,-1,-6,3,-7,3,2,-2,-6,2,-7,3,2,-1,-9,4,0
12,-7,3,3,-2,-6,4,-6,3,1,-1,-7,4,-7,4,1,-2,-7,4,-5,-29,3,-1,-5,4,-4,3,1,-2,-6,1,-7,2,0,-1,-9,4,-1
13,-5,2,3,-1,-7,3,-5,1,-2,-2,-6,4,-6,1,3,-3,-7,4,-7,-28,0,-1,-6,3,-6,4,2,0,-6,4,-5,3,2,1,-6,4,-2
14,-7,5,2,-1,-6,4,-5,5,2,-2,-6,4,-7,3,2,-1,-6,3,-5,-26,2,1,-6,4,-7,3,3,-2,-5,4,-7,2,1,-1,-6,3,-3
15,-5,6,3,1,-9,4,-6,2,3,0,-4,2,-7,3,3,2,-6,5,-6,-28,3,-1,-5,1,-8,2,0,-2,-7,3,-5,3,1,-1,-8,2,0
16,-5,5,2,0,-5,4,-7,3,3,0,-6,2,-7,5,0,-2,-7,4,-6,-28,2,0,-6,2,-4,3,1,1,-7,4,-7,3,0,-2,-5,2,-2
17,-7,3,1,0,-9,4,-6,6,1,-1,-7,4,-7,3,0,-2,-8,4,-10,-31,3,-2,-9,1,-7,2,2,1,-7,5,-5,5,2,-1,-6,5,-1
18,-5,3,3,-2,-6,5,-6,1,2,1,-9,3,-7,5,2,-2,-6,5,-5,-28,-1,2,-6,2,-8,3,0,-1,-4,2,-7,3,0,-1,-7,3,0
19,-5,1,2,-1,-7,4,-6,3,1,1,-7,3,-7,1,3,-3,-8,4,-5,-28,3,0,-5,3,-7,3,1,-2,-6,3,-7,4,0,-2,-5,2,-1
20,-6,3,0,-1,-6,4,-5,4,3,0,-7,5,-8,4,-1,-2,-5,4,-7,-29,1,-2,-7,1,-4,5,3,-1,-6,5,-7,5,2,-1,-5,3,-2
21,-7,3,1,-2,-6,1,-6,5,0,-1,-9,4,-5,4,3,-1,-5,4,-6,-29,3,1,-5,3,-6,1,0,-2,-6,1,-7,2,3,-2,-6,2,-2
22,-5,4,1,-1,-7,4,-7,2,3,-1,-7,1,-7,3,1,-2,-9,4,-5,-30,2,0,-6,4,-4,5,2,-2,-6,7,-7,1,1,-2,-6,4,-2
23,-6,2,2,-2,-6,5,-6,2,1,0,-6,4,-7,3,2,1,-6,4,-5,-29,2,-2,-6,2,-5,3,2,0,-7,4,-5,4,3,1,-6,4,-2
24,-7,3,1,-2,-6,1,-8,5,1,-2,-6,3,-8,6,1,0,-6,1,-5,-28,0,-2,-3,4,-6,3,2,0,-7,2,-7,1,1,1,-5,4,-2
