Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,-4256,3
5.00,-4266,3
10.00,-4265,4
15.00,-4259,0
20.00,-4259,4
25.00,-4265,2
30.00,-4263,2
35.00,-4261,4
40.00,-4261,4
45.00,-4264,1
50.00,-4260,2
55.00,-4269,2
60.00,-4259,2
65.00,-4260,2
70.00,-4260,3
75.00,-4262,2
80.00,-4264,2
85.00,-4265,3
90.00,-4262,1
95.00,-4275,3
100.00,-4267,3
105.00,-4261,2
110.00,-4266,2
115.00,-4270,2
120.00,-4271,3
125.00,-4263,1
130.00,-4260,2
135.00,-4264,3
140.00,-4268,5
145.00,-4263,3
150.00,-4278,3
155.00,-4266,2
160.00,-4266,2
165.00,-4266,2
170.00,-4275,2
175.00,-4261,2
180.00,-4269,4
185.00,-4270,2
190.00,-4267,2
195.00,-4263,2
200.00,-4278,4
205.00,-4268,2
210.00,-4274,4
215.00,-4259,2
220.00,-4262,2
225.00,-4262,5
230.00,-4264,5
235.00,-4266,2
240.00,-4267,3
245.00,-4270,4
250.00,-4260,3
255.00,-4263,0
260.00,-4271,3
265.00,-4267,3
270.00,-4266,5
275.00,-4264,3
280.00,-4271,4
285.00,-4266,1
290.00,-4269,3
295.00,-4253,2
300.00,-4263,4
305.00,-4263,4
310.00,-4264,2
315.00,-4266,2
320.00,-4269,3
325.00,-4269,2
330.00,-4268,2
335.00,-4261,2
340.00,-4263,5
345.00,-4268,2
350.00,-4260,3
355.00,-4269,5
360.00,-4266,2
365.00,-4264,3
370.00,-4264,4
375.00,-4264,3
380.00,-4270,3
385.00,-4267,4
390.00,-4262,3
395.00,-4269,2
400.00,-4257,4
405.00,-4266,2
410.00,-4266,3
415.00,-4269,4
420.00,-4266,2
425.00,-4264,3
430.00,-4256,1
435.00,-4264,4
440.00,-4266,2
445.00,-4254,3
450.00,-4263,1
455.00,-4265,4
460.00,-4263,2
465.00,-4265,3
470.00,-4263,5
475.00,-4263,2
480.00,-4260,3
485.00,-4269,2
490.00,-4269,2
495.00,-4274,3
500.00,-4266,3
505.00,-4263,2
510.00,-4265,2
515.00,-4263,3
520.00,-4263,2
525.00,-4265,5
530.00,-4257,4
535.00,-4269,3
540.00,-4275,4
545.00,-4275,2
550.00,-4266,2
555.00,-4264,2
560.00,-4259,5
565.00,-4263,2
570.00,-4266,2
575.00,-4262,3
580.00,-4267,3
585.00,-4270,1
590.00,-4264,3
595.00,-4269,2
600.00,-4270,3
605.00,-4262,5
610.00,-4272,5
615.00,-4259,4
620.00,-4263,2
625.00,-4269,2
630.00,-4268,4
635.00,-4263,4
640.00,-4272,5
645.00,-4265,2
650.00,-4269,2
655.00,-4270,3
660.00,-4267,5
665.00,-4262,2
670.00,-4258,2
675.00,-4263,4
680.00,-4267,5
685.00,-4259,2
690.00,-4262,2
695.00,-4263,2
700.00,-4259,3
705.00,-4260,2
710.00,-4265,4
715.00,-4266,5
720.00,-4273,1
725.00,-4260,3
