point,file,target_temperature_c,T_liquid_c,T_jaw0_c,T_env_c,diff_model,c1,c2,c3
3_cold,TempFit_Tenv22C_Tliquid3C_Tgripper24C_Temp_AD2_20260511_163055.csv,3.0,3.0,24.0,22.0,x(1-x)(c1+c2*x+c3*x^2),0.10197339338535102,-0.9006177813181022,1.1392481305982727
3_cold,TempFit_Tenv22C_Tliquid6C_Tgripper24C_Temp_AD2_20260511_163807.csv,6.0,6.0,24.0,22.0,x(1-x)(c1+c2*x+c3*x^2),0.10146309771430398,-0.8741511498636553,1.1057800683661343
3_cold,TempFit_Tenv22C_Tliquid9C_Tgripper24C_Temp_AD2_20260511_164750.csv,9.0,9.0,24.0,22.0,x(1-x)(c1+c2*x+c3*x^2),0.1921420434884486,-1.2177399691400368,1.4063668052511984
3_cold,TempFit_Tenv22C_Tliquid55C_Tgripper24C_Temp_AD2_20260511_162236.csv,55.0,55.0,24.0,22.0,x(1-x)(c1+c2*x+c3*x^2),0.21007961567219144,-0.8582281102111219,0.8552790397165553
3_cold,TempFit_Tenv22C_Tliquid65C_Tgripper24C_Temp_AD2_20260511_161624.csv,65.0,65.0,24.0,22.0,x(1-x)(c1+c2*x+c3*x^2),0.08436365460490758,-0.4198358209869266,0.46399261300485645
3_cold,TempFit_Tenv22C_Tliquid75C_Tgripper24C_Temp_AD2_20260511_160901.csv,75.0,75.0,24.0,22.0,x(1-x)(c1+c2*x+c3*x^2),0.027108010186801288,-0.45038421389694644,0.6172969243923668
