Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
410,-5,9,-75,-253,-55,4,-3,8,-477,-2337,-280,1,-5,3,-5281,-18002,-2556,1,-6,7,-741,-1517,-477,1,-5,8,0,7,0,3,-7,6,3,5,0,1,-1
411,-5,6,-74,-256,-53,1,-6,9,-473,-2302,-280,0,-4,7,-5280,-17947,-2536,3,-2,9,-739,-1511,-471,2,-5,7,2,7,-2,4,-4,8,1,4,-2,2,-4
412,-5,6,-77,-257,-53,3,-3,7,-473,-2308,-275,3,-4,6,-5297,-18017,-2560,3,-6,7,-744,-1504,-470,4,-5,9,2,4,0,3,-5,9,0,5,-3,4,-2
413,-6,8,-75,-253,-52,1,-5,8,-481,-2366,-288,1,-5,7,-5268,-18001,-2520,3,-5,9,-740,-1514,-471,2,-5,6,3,4,-2,4,-5,7,3,7,-1,3,-3
414,-5,10,-76,-255,-55,4,-4,6,-474,-2307,-285,2,-6,9,-5276,-18041,-2553,1,-6,8,-747,-1517,-474,2,-5,5,0,4,-1,3,-5,7,3,4,-1,4,0
415,-5,9,-77,-255,-52,1,-4,9,-480,-2343,-284,3,-5,7,-5284,-18028,-2531,1,-7,9,-756,-1520,-470,4,-5,6,3,5,-1,2,-5,10,2,4,-1,1,-2
416,-5,7,-75,-255,-54,3,-5,7,-477,-2328,-280,1,-5,7,-5271,-18029,-2531,2,-5,9,-760,-1535,-476,3,-7,7,2,3,0,1,-5,8,3,4,0,1,-1
417,-5,9,-77,-256,-55,3,-6,6,-476,-2323,-283,4,-4,8,-5288,-18025,-2568,4,-5,6,-752,-1532,-471,3,-5,7,3,6,0,4,-5,6,1,4,0,2,-2
418,-5,9,-75,-254,-53,2,-2,8,-476,-2326,-278,2,-6,6,-5281,-18014,-2548,2,-6,6,-757,-1534,-482,3,-7,7,0,5,-3,4,-6,8,1,4,-1,1,-1
419,-6,8,-74,-257,-54,1,-8,7,-479,-2329,-284,5,-3,6,-5287,-18042,-2561,2,-5,8,-766,-1533,-479,1,-5,8,3,5,-2,4,-6,7,2,5,0,2,-2
420,-4,7,-75,-254,-53,3,-3,9,-482,-2340,-281,2,-5,8,-5279,-18026,-2532,2,-5,9,-771,-1545,-482,2,-5,8,2,4,0,2,-6,7,1,6,2,1,-1
421,-5,9,-75,-255,-53,1,-5,6,-477,-2336,-279,3,-5,6,-5289,-18053,-2553,2,-5,8,-756,-1537,-474,2,-7,6,3,4,0,2,-6,6,1,3,-2,2,0
422,-3,9,-77,-255,-52,1,-6,7,-482,-2342,-284,1,-5,5,-5285,-18048,-2538,3,-6,6,-760,-1532,-479,4,-5,6,3,6,0,1,-5,8,3,5,1,0,-1
423,-2,8,-75,-254,-53,3,-4,8,-480,-2333,-282,2,-5,8,-5289,-18061,-2533,-1,-4,8,-767,-1546,-474,3,-5,6,1,5,0,1,-4,8,1,3,-3,4,-2
424,-6,9,-75,-258,-52,4,-6,8,-474,-2311,-276,2,-4,6,-5292,-18036,-2538,2,-7,11,-766,-1547,-471,2,-5,6,3,7,-1,3,-3,9,2,4,0,3,-2
425,-4,6,-74,-255,-52,4,-5,8,-478,-2319,-283,3,-7,7,-5304,-18015,-2565,4,-3,9,-764,-1537,-479,2,-5,9,1,5,0,4,-5,6,2,5,0,2,-4
426,-6,9,-76,-255,-54,1,-5,7,-475,-2313,-284,2,-5,7,-5298,-18013,-2559,4,-4,7,-765,-1539,-480,2,-5,9,1,4,-2,2,-4,8,1,5,-2,3,-2
427,-5,7,-78,-261,-52,1,-5,6,-476,-2310,-282,2,-3,7,-5299,-18067,-2539,2,-3,8,-766,-1541,-471,2,-6,7,3,4,0,2,-7,7,1,1,0,3,0
