Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-6,3,0,-2,-6,4,-7,3,3,0,-5,2,-6,4,3,0,-8,2,-7,-20,1,-3,-5,3,-8,3,3,-2,-8,5,-5,3,0,0,-6,5,0
1,-5,4,1,0,-8,1,-7,3,1,-2,-6,2,-8,4,1,1,-6,1,-5,-22,3,-1,-7,3,-7,2,3,-1,-7,4,-6,4,2,1,-6,3,0
2,-5,3,2,-4,-6,0,-5,3,1,1,-9,3,-6,5,0,-2,-7,4,-5,-23,1,0,-6,4,-7,3,2,1,-6,6,-6,5,0,-1,-7,3,-2
3,-6,3,1,-2,-9,2,-6,1,2,-4,-9,1,-7,3,2,-1,-8,4,-6,-20,3,0,-5,4,-7,3,1,1,-6,4,-5,6,3,0,-6,4,-2
4,-6,2,1,-1,-6,4,-7,3,3,-2,-5,2,-5,3,1,-1,-9,4,-6,-23,0,-1,-6,3,-8,3,0,-3,-5,2,-10,3,3,-1,-4,1,-1
5,-8,3,3,-1,-7,6,-7,3,1,0,-6,4,-5,5,1,1,-7,6,-5,-22,0,0,-6,2,-5,3,2,-1,-6,4,-7,3,1,0,-6,4,-2
6,-6,5,0,0,-6,3,-6,3,2,0,-7,1,-7,4,0,-2,-9,1,-5,-23,0,0,-6,4,-7,3,3,-2,-6,3,-6,3,0,0,-6,5,-1
7,-7,3,2,-2,-6,3,-4,4,2,-1,-6,5,-5,3,1,-1,-8,1,-8,-21,-1,-2,-9,3,-7,3,2,-2,-8,7,-6,4,2,-1,-8,3,-1
8,-6,2,4,-2,-6,4,-6,1,0,1,-6,0,-5,4,3,-1,-5,4,-6,-21,0,0,-5,3,-7,1,0,-1,-6,2,-7,3,2,-1,-7,4,-1
9,-6,4,3,-1,-7,4,-8,5,0,0,-6,4,-10,1,3,-2,-7,3,-5,-21,1,0,-7,2,-5,3,-1,1,-6,6,-7,3,2,-2,-7,5,-1
10,-6,3,3,-1,-7,6,-6,1,2,1,-9,4,-4,5,1,-1,-8,4,-6,-20,3,-1,-6,4,-7,3,0,-4,-6,4,-7,1,0,0,-7,3,0
11,-5,3,2,-2,-6,3,-5,3,3,0,-8,4,-7,3,3,-1,-9,3,-9,-22,1,-1,-6,4,-6,4,0,-1,-6,3,-7,3,2,-2,-9,2,1
12,-6,2,1,0,-8,4,-9,3,2,-3,-7,4,-5,4,1,-1,-7,4,-6,-24,3,-2,-6,5,-6,3,1,0,-8,3,-6,4,3,0,-5,2,-1
13,-4,3,4,-1,-6,2,-6,3,0,1,-6,3,-7,3,2,-2,-9,4,-7,-21,0,-2,-6,3,-6,6,1,0,-6,4,-4,0,2,1,-8,5,-2
14,-6,3,3,-3,-6,1,-5,4,4,1,-6,4,-5,1,0,-1,-6,5,-9,-24,1,-3,-8,4,-6,2,3,-1,-7,4,-7,0,1,-1,-7,4,-2
15,-5,3,2,-2,-5,6,-7,3,1,0,-9,4,-7,3,1,-1,-6,3,-5,-19,0,0,-5,2,-7,4,2,0,-8,1,-7,1,2,-1,-6,2,-2
