Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-5,5,1,1,-6,4,-9,1,2,-2,-8,1,-7,5,2,0,-6,3,-5,-82,3,0,-6,4,-8,3,2,-1,-7,3,-7,0,1,-2,-9,2,0
1,-4,3,1,-1,-6,4,-5,6,3,-1,-5,4,-8,3,2,-4,-6,4,-7,-85,2,-1,-9,2,-7,5,0,1,-7,5,-5,3,3,0,-9,4,-2
2,-7,2,1,-2,-8,1,-5,6,3,1,-6,3,-7,7,3,1,-3,3,-6,-82,1,-1,-6,5,-8,3,1,-2,-8,2,-7,3,2,1,-6,4,-1
3,-5,3,3,-1,-5,3,-8,1,1,-1,-9,4,-8,3,0,-1,-9,1,-5,-78,3,1,-6,6,-6,4,2,0,-6,4,-7,3,3,1,-6,3,0
4,-7,3,0,-1,-7,3,-5,3,3,3,-6,2,-6,3,1,-2,-5,3,-6,-81,3,-2,-6,3,-6,3,1,0,-6,3,-6,5,2,1,-6,4,-2
5,-7,3,3,-1,-7,1,-5,4,0,-1,-7,4,-5,5,3,-1,-8,4,-5,-79,1,0,-5,4,-7,3,2,-2,-6,3,-7,1,0,1,-6,2,0
6,-7,3,0,0,-6,4,-6,3,0,-2,-6,4,-7,3,1,0,-7,5,-6,-80,1,-1,-7,3,-7,3,3,-3,-5,4,-7,5,2,0,-6,1,-1
7,-4,3,0,0,-6,4,-7,3,1,-2,-6,3,-5,5,2,0,-6,2,-8,-83,2,-2,-5,4,-7,4,0,1,-6,3,-7,3,1,-4,-6,4,-1
8,-6,3,1,0,-6,4,-7,6,1,1,-6,2,-6,3,1,1,-6,2,-5,-83,3,-2,-7,3,-6,5,0,-2,-5,5,-4,3,1,-3,-6,3,0
9,-5,3,1,-2,-4,3,-5,4,1,1,-7,4,-6,5,1,-2,-5,2,-6,-82,0,1,-5,3,-7,5,2,-2,-7,1,-7,4,1,1,-6,2,0
10,-5,3,1,-3,-4,4,-7,4,1,-2,-9,5,-7,4,2,1,-6,5,-7,-84,2,0,-6,2,-6,2,1,-1,-5,4,-7,5,3,-1,-5,4,-1
11,-5,3,1,0,-4,4,-2,3,2,0,-6,4,-5,4,1,-2,-5,3,-6,-82,3,-1,-6,4,-6,1,1,-1,-7,4,-6,2,0,0,-8,4,-1
12,-9,0,2,-2,-6,2,-9,3,1,-1,-6,7,-5,4,3,1,-6,3,-9,-85,3,-1,-8,3,-4,3,1,-1,-6,5,-5,6,2,-2,-6,4,0
13,-7,3,2,-2,-6,4,-7,3,0,0,-6,1,-7,4,1,-2,-7,2,-5,-82,3,1,-5,4,-8,2,0,-1,-6,2,-4,4,3,0,-7,5,-2
14,-7,3,1,-1,-7,4,-5,5,0,-1,-6,1,-6,3,1,0,-7,2,-5,-84,1,-2,-8,3,-5,6,2,-1,-9,5,-7,3,3,-1,-7,1,1
15,-8,3,1,-1,-7,3,-6,3,0,-2,-6,-1,-7,4,1,-1,-6,1,-6,-83,1,0,-4,5,-6,4,0,-2,-7,3,-5,4,3,1,-6,5,-2
16,-5,6,3,-2,-6,3,-5,2,0,-2,-7,4,-6,3,1,0,-9,3,-5,-83,1,-2,-6,4,-6,4,0,1,-6,3,-7,3,3,-1,-7,1,-2
17,-9,3,0,-3,-9,0,-7,3,3,-2,-8,4,-6,5,3,0,-6,5,-7,-83,0,1,-7,4,-9,2,0,-2,-8,5,-6,3,2,1,-9,4,0
18,-6,4,2,0,-7,2,-7,3,0,0,-6,2,-8,3,2,-2,-6,3,-7,-86,1,0,-7,4,-5,3,0,0,-7,4,-6,0,1,0,-6,3,1
19,-6,6,3,-1,-6,3,-5,3,0,1,-7,3,-7,4,3,-2,-6,4,-7,-82,0,-1,-7,1,-6,4,1,0,-7,4,-6,5,3,0,-6,4,-5
20,-5,1,1,-1,-7,2,-7,5,1,-2,-6,4,-7,2,0,-1,-6,5,-7,-79,0,-2,-6,4,-8,3,0,-2,-8,4,-7,4,3,-2,-6,6,-2
21,-7,3,2,1,-9,4,-8,3,2,-2,-6,2,-7,3,0,1,-8,5,-7,-81,3,0,-7,3,-5,3,1,-2,-6,3,-6,3,1,-1,-7,4,-2
