Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260525_234334.bin,1,-179.697917,-689.110417,-1152.791667,-1482.818750,-861.141667,-467.341667,1.764583,-0.377083,1.168750,0.525000,0.650000,0.127083,0.136458,0.287500,-1.583333,-1.054167,0.764583,1.283333,-1.095833,-14.964583,-54.077083,-93.018750,-317.531250,-402.554167,-464.416667,-0.139583,-0.558333,-0.189583,-0.647917,-0.122917,-0.110417,-0.340625,-0.247917,0.550000,0.568750,-0.777083,-1.297917,-0.302083,1035,157.928467,1644,250.854492,1861,283.966064,2151,328.216553,-28145,-4294.586182,156,23.803711,-27826,-4245.910645,1034,157.775879
50ml,VET6_8chips_raw_stream_20260525_234334.bin,2,-178.697917,-692.610417,-1154.791667,-1474.818750,-859.141667,-470.841667,0.764583,-0.877083,1.668750,-1.475000,-0.350000,-0.872917,-0.613542,-0.212500,-1.583333,1.445833,-0.235417,-0.216667,-0.095833,-13.964583,-53.577083,-90.018750,-320.531250,-405.554167,-395.916667,0.360417,-0.558333,-0.189583,0.352083,-0.122917,-0.110417,-0.340625,0.252083,0.550000,2.568750,0.722917,0.702083,-0.302083,1043,159.149170,1644,250.854492,1861,283.966064,2154,328.674316,-28148,-4295.043945,162,24.719238,-27828,-4246.215820,1034,157.775879
50ml,VET6_8chips_raw_stream_20260525_234334.bin,3,-177.697917,-688.610417,-1152.291667,-1473.818750,-861.141667,-469.841667,0.264583,1.122917,0.668750,-0.475000,-0.350000,-1.872917,0.386458,1.787500,-0.083333,0.445833,0.764583,0.283333,-1.095833,-12.964583,-51.577083,-94.018750,-319.531250,-402.054167,-399.416667,-1.139583,0.941667,1.310417,-0.147917,-0.122917,-1.110417,0.409375,0.252083,-1.450000,-1.431250,-0.777083,0.202083,0.697917,1049,160.064697,1650,251.770020,1866,284.729004,2157,329.132080,-28150,-4295.349121,164,25.024414,-27831,-4246.673584,1046,159.606934
50ml,VET6_8chips_raw_stream_20260525_234334.bin,4,-182.197917,-694.110417,-1158.291667,-1484.818750,-860.641667,-475.841667,0.764583,-0.377083,0.168750,-0.475000,-0.350000,-0.372917,-0.363542,-0.712500,-1.583333,0.445833,0.764583,-0.716667,-0.095833,-12.964583,-61.577083,-93.518750,-316.031250,-401.554167,-407.416667,0.360417,-2.058333,-2.189583,-2.147917,0.377083,0.389583,-0.840625,-1.247917,0.050000,-0.931250,-0.277083,-0.297917,0.697917,1047,159.759521,1646,251.159668,1857,283.355713,2162,329.895020,-28154,-4295.959473,152,23.193359,-27833,-4246.978760,1032,157.470703
50ml,VET6_8chips_raw_stream_20260525_234334.bin,5,-180.697917,-693.110417,-1159.791667,-1486.318750,-862.141667,-473.841667,-0.735417,0.122917,1.168750,-0.975000,0.650000,-0.872917,0.386458,1.287500,1.416667,0.945833,0.764583,0.283333,0.404167,-15.464583,-77.577083,-93.018750,-314.531250,-399.554167,-407.916667,0.360417,1.441667,-0.189583,-0.147917,-1.122917,-1.610417,0.159375,0.252083,1.050000,0.568750,-0.277083,0.202083,0.697917,1045,159.454346,1643,250.701904,1869,285.186768,2165,330.352783,-28152,-4295.654297,167,25.482178,-27831,-4246.673584,1040,158.691406
50ml,VET6_8chips_raw_stream_20260525_234334.bin,6,-180.697917,-692.110417,-1155.791667,-1482.818750,-863.141667,-477.341667,-0.235417,0.622917,0.168750,-1.475000,0.150000,-0.372917,0.386458,-0.212500,0.416667,0.445833,-0.235417,0.283333,-1.095833,-15.964583,-80.077083,-92.518750,-315.031250,-399.054167,-406.916667,0.360417,0.941667,0.810417,-0.147917,-1.622917,0.389583,-0.340625,-0.247917,0.550000,0.068750,-1.277083,0.202083,0.197917,1050,160.217285,1643,250.701904,1868,285.034180,2158,329.284668,-28155,-4296.112061,160,24.414062,-27833,-4246.978760,1038,158.386230
50ml,VET6_8chips_raw_stream_20260525_234334.bin,7,-180.197917,-692.110417,-1156.791667,-1485.318750,-866.141667,-485.341667,-0.235417,-0.877083,0.668750,-0.975000,0.650000,0.127083,-0.113542,-0.712500,-0.583333,-0.054167,-0.235417,0.783333,-1.595833,-12.964583,-78.077083,-91.518750,-311.031250,-395.554167,-386.416667,-0.639583,0.441667,-1.189583,0.852083,1.377083,0.889583,0.909375,1.252083,0.050000,0.068750,-1.277083,-1.297917,0.697917,1050,160.217285,1641,250.396729,1863,284.271240,2155,328.826904,-28150,-4295.349121,161,24.566650,-27827,-4246.063232,1035,157.928467
50ml,VET6_8chips_raw_stream_20260525_234334.bin,8,-179.197917,-689.110417,-1154.291667,-1483.818750,-866.141667,-479.841667,0.264583,0.122917,0.668750,0.525000,1.650000,-1.372917,0.886458,1.787500,-0.083333,-0.554167,-0.235417,0.283333,0.904167,-14.964583,-71.577083,-94.018750,-314.031250,-398.554167,-390.916667,-0.139583,0.941667,-0.189583,-0.147917,1.377083,0.889583,1.159375,1.252083,-0.950000,0.568750,-0.277083,0.202083,0.697917,1043,159.149170,1640,250.244141,1865,284.576416,2162,329.895020,-28149,-4295.196533,169,25.787354,-27831,-4246.673584,1049,160.064697
50ml,VET6_8chips_raw_stream_20260525_234334.bin,9,-181.697917,-693.110417,-1154.791667,-1471.818750,-862.141667,-475.341667,-0.735417,-0.877083,0.168750,-0.975000,-0.850000,0.627083,-0.863542,-1.712500,-0.083333,-0.054167,-0.235417,0.783333,0.404167,-14.964583,-59.077083,-99.518750,-318.531250,-399.554167,-392.916667,1.360417,0.441667,1.810417,-0.147917,0.877083,0.389583,0.659375,1.252083,1.050000,-1.431250,0.222917,0.702083,-1.802083,1044,159.301758,1645,251.007080,1869,285.186768,2160,329.589844,-28151,-4295.501709,168,25.634766,-27829,-4246.368408,1041,158.843994
50ml,VET6_8chips_raw_stream_20260525_234334.bin,10,-180.697917,-693.110417,-1154.291667,-1481.318750,-866.641667,-478.841667,2.264583,-0.877083,0.168750,-0.475000,0.650000,0.627083,-0.113542,-0.212500,-0.583333,-0.054167,-1.235417,-0.216667,0.904167,-15.964583,-63.577083,-96.018750,-319.031250,-402.554167,-418.916667,0.360417,-1.058333,-1.189583,0.852083,-0.622917,-0.610417,-0.840625,-0.747917,1.550000,0.568750,-1.777083,-0.797917,-0.302083,1044,159.301758,1646,251.159668,1860,283.813477,2151,328.216553,-28148,-4295.043945,151,23.040771,-27825,-4245.758057,1029,157.012939
