Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
120,-8,1,3,-2,-6,5,-5,3,2,-2,-5,1,-1571,-337,-35,-23,-6,5,-2057,-552,-58,-11,-6,4,-7,3,3,-2,-7,1,-7,4,2,1,-7,4,-2
121,-4,3,1,0,-6,5,-10,3,0,1,-9,1,-1779,-405,-68,-35,-5,2,-2736,-618,-100,-57,-5,4,-5,3,0,-1,-6,4,-6,3,5,-3,-7,4,-2
122,-5,1,3,0,-7,4,-3,3,0,1,-5,4,-2062,-510,-98,-37,-7,3,-3283,-724,-147,-58,-6,3,-12,2,2,1,-7,4,-8,1,2,-2,-8,4,-1
123,-8,3,2,-2,-5,6,-9,2,1,-2,-6,1,-2148,-607,-139,-35,-6,4,-3337,-889,-189,-58,-3,4,-162,-30,-5,-8,-8,1,-4,3,1,-1,-7,1,-1
124,-4,3,3,0,-6,1,-18,0,3,-2,-6,1,-2313,-817,-155,-36,-7,1,-3448,-1386,-228,-63,-7,4,-580,-156,-19,-20,-6,5,-5,3,3,-1,-8,4,1
125,-9,2,2,-2,-8,4,-14,-1,0,-2,-8,4,-2749,-1066,-168,-33,-6,4,-3564,-1829,-234,-70,-7,5,-724,-257,-27,-27,-6,4,-7,2,2,-2,-6,4,-2
126,-5,3,0,-1,-6,6,-16,-4,0,-2,-6,2,-2818,-1592,-335,-52,-4,1,-3384,-2011,-337,-75,-6,4,-747,-332,-57,-33,-5,4,-5,2,2,-2,-6,4,-2
127,-6,3,2,-2,-4,4,-16,-4,0,-2,-7,4,-2946,-1991,-559,-86,-6,4,-3433,-2504,-578,-117,-7,4,-773,-407,-115,-49,-6,3,-7,1,0,-2,-6,4,1
128,-6,3,0,0,-5,3,-16,-9,0,-3,-7,3,-2537,-2147,-737,-109,-6,3,-3187,-2659,-693,-151,-8,3,-645,-437,-138,-86,-7,3,-5,3,1,0,-5,7,-1
129,-4,3,2,0,-5,4,-14,-7,0,-3,-7,4,-2405,-2433,-982,-183,-4,2,-3011,-2852,-804,-244,-7,1,-623,-443,-153,-113,-6,2,-7,3,1,0,-7,3,-2
130,-7,3,2,-2,-6,5,-16,-6,0,-5,-6,4,-2248,-2593,-1304,-242,-6,6,-2899,-3108,-1217,-338,-10,5,-544,-431,-213,-124,-7,3,-6,2,0,-1,-5,1,0
131,-7,3,2,-2,-7,2,-15,-9,-5,-2,-6,2,-2107,-2808,-1497,-292,-8,3,-2662,-3374,-1466,-410,-5,4,-517,-465,-279,-155,-6,1,-5,3,3,0,-6,4,-2
132,-5,4,2,-2,-8,4,-16,-10,-7,-5,-7,1,-1746,-2869,-1894,-439,-7,2,-2019,-3494,-1855,-633,-8,4,-338,-485,-327,-199,-6,3,-4,3,1,-2,-7,5,0
133,-6,4,2,0,-4,4,-10,-7,-7,-5,-5,3,-1411,-2943,-2179,-579,-10,5,-1565,-3471,-2217,-810,-7,4,-279,-498,-401,-229,-5,6,-7,2,2,0,-7,3,-2
134,-6,0,-3,-2,-7,4,-10,-9,-9,-6,-8,2,-973,-2914,-2571,-690,-41,4,-1125,-3423,-2595,-914,-41,4,-218,-431,-474,-215,-11,4,-5,4,2,-2,-6,1,-3
135,-7,4,4,1,-6,4,-9,-8,-10,-8,-6,3,-520,-2487,-2710,-813,-55,2,-736,-3304,-2841,-1075,-79,4,-182,-416,-499,-213,-13,3,-7,3,1,-1,-7,2,1
136,-7,1,1,0,-6,4,-7,-5,-5,-4,-6,3,-479,-2505,-2843,-1102,-95,5,-660,-3381,-3305,-1464,-170,3,-178,-437,-531,-257,-26,4,-7,2,0,0,-7,3,-1
137,-6,0,3,-1,-6,5,-7,0,-4,-5,-6,5,-293,-2150,-2885,-1314,-121,3,-533,-3090,-3415,-1694,-263,1,-172,-428,-663,-368,-41,3,-7,5,0,0,-8,6,-1
138,-7,4,2,0,-6,2,-7,-2,-4,-8,-7,2,-230,-1579,-2944,-1694,-185,3,-399,-2694,-3597,-2151,-456,5,-145,-371,-695,-413,-71,6,-7,3,2,1,-4,2,-2
139,-7,5,3,0,-5,4,-8,0,-3,-6,-7,5,-168,-1149,-3089,-1950,-257,2,-339,-2272,-3705,-2638,-582,3,-108,-238,-606,-428,-72,1,-7,4,0,-2,-6,2,-2
140,-7,4,2,-3,-6,4,-7,3,4,1,-6,4,-166,-771,-2952,-2349,-307,1,-307,-1751,-3677,-3369,-721,5,-86,-137,-533,-494,-70,3,-5,5,1,-2,-7,4,-1
141,-5,3,4,-1,-6,4,-6,3,0,-2,-7,1,-166,-315,-2750,-2777,-581,2,-290,-946,-3322,-3832,-1291,3,-48,-47,-296,-350,-74,1,-7,3,3,1,-6,3,-2
142,-7,3,3,1,-5,3,-7,3,0,-2,-7,6,-159,-261,-2696,-3094,-749,-84,-255,-712,-3284,-4185,-1787,-74,-43,-38,-283,-351,-101,1,-7,3,3,-1,-9,6,-2
143,-8,4,0,0,-6,4,-5,3,2,-3,-6,1,-108,-211,-2214,-3342,-885,-99,-82,-510,-2853,-4326,-2072,-87,-7,-26,-236,-314,-94,-2,-6,4,1,-1,-6,3,-1
144,-7,2,2,-1,-6,4,-7,4,3,0,-6,3,-7,-193,-2023,-3410,-1077,-136,-8,-381,-2441,-4248,-2335,-123,-8,-26,-250,-403,-162,-6,-7,4,2,-2,-6,3,-2
145,-7,3,2,0,-6,4,-7,1,2,1,-9,4,-6,-180,-1865,-3610,-1386,-350,-6,-326,-2069,-4293,-2690,-418,-7,-29,-198,-388,-205,-32,-6,3,3,0,-5,4,-1
146,-7,5,1,-2,-8,3,-5,5,0,-2,-6,3,-7,-137,-1268,-3342,-1671,-441,-4,-252,-1616,-4036,-3041,-528,-9,-3,-34,-132,-107,-19,-7,0,2,-2,-6,3,-2
147,-7,3,2,-1,-6,4,-7,2,0,-6,-11,-2,-5,-112,-1005,-3245,-2025,-583,-6,-226,-1100,-4115,-3419,-735,-6,-7,-26,-182,-149,-29,-7,3,3,1,-7,3,0
148,-7,4,1,-1,-4,3,-6,3,1,-6,-14,-1,-7,-97,-777,-3080,-2085,-659,-6,-195,-852,-3887,-3589,-844,-8,-6,-22,-148,-126,-24,-7,4,-1,-1,-6,4,-2
149,-8,3,0,1,-7,3,-7,5,-1,-9,-17,-3,-5,-82,-280,-2502,-2262,-1090,-7,-155,-313,-2722,-3652,-1434,-5,3,3,1,-5,2,-5,2,3,1,-6,1,1
150,-7,4,3,-1,-4,4,-6,-9,-18,-170,-217,-127,-7,-71,-171,-2268,-2300,-1253,-6,-151,-176,-2433,-3715,-1631,-7,2,-1,-22,-38,-18,-7,3,0,0,-8,6,0
151,-7,1,0,-2,-6,4,-5,-8,-15,-159,-222,-143,-7,-45,-149,-1737,-2208,-1364,-7,-141,-171,-2089,-3553,-1744,-5,-6,-3,-76,-135,-75,-6,0,1,-1,-7,2,-2
152,-6,3,2,0,-5,4,-9,-8,-15,-96,-172,-122,-5,-72,-140,-1228,-2130,-1452,-4,-94,-165,-1632,-3614,-1806,-5,-8,-10,-98,-177,-121,-5,6,3,-1,-6,7,1
153,-5,3,1,-2,-6,4,-5,0,-12,-78,-173,-124,-7,-32,-142,-837,-2161,-1638,-7,-73,-142,-1167,-3522,-1916,-6,-2,-9,-90,-184,-128,-8,2,2,-2,-6,0,-2
154,-6,2,0,-3,-7,2,-5,0,-12,-69,-152,-129,-4,-27,-84,-506,-1815,-1665,-6,-82,-133,-942,-3233,-1956,-6,-3,-6,-75,-167,-131,-7,3,4,-2,-6,4,-1
155,-5,4,1,-3,-6,4,-4,1,-4,-50,-137,-121,-7,-27,-55,-353,-1578,-1725,-6,-76,-96,-755,-2613,-2038,-7,-2,-9,-70,-166,-145,-7,4,3,0,-5,3,-1
156,-7,4,4,1,-6,4,-7,-2,-3,-51,-127,-135,-6,-22,-44,-304,-1335,-1672,-7,-44,-83,-652,-2192,-2021,-8,-2,-2,-61,-150,-148,-7,3,0,-2,-7,4,-2
157,-7,4,2,-2,-6,4,-7,3,-7,-46,-76,-191,-5,-9,-47,-199,-632,-1643,-7,-48,-84,-382,-1226,-1997,-7,3,-4,-47,-96,-173,-7,4,0,0,-7,6,0
158,-5,3,0,-1,-6,4,-5,2,3,-2,-11,-2,-5,-10,-35,-187,-590,-1660,-7,-44,-66,-360,-1021,-1912,-5,3,-1,-16,-26,-48,-4,4,0,-2,-7,2,0
159,-8,2,-1,-1,-4,1,-7,3,1,-2,-7,-2,-5,-7,-29,-161,-339,-1428,-5,-50,-66,-341,-656,-1806,-5,3,0,0,-6,5,-7,3,0,-2,-6,4,0
160,-7,3,1,-1,-6,2,-7,3,2,1,-6,2,-6,-9,-32,-155,-210,-1388,-8,-42,-61,-309,-487,-1744,-8,1,2,4,-7,3,-7,4,1,-1,-6,3,-1
161,-6,3,1,-2,-8,4,-5,3,0,-1,-7,5,-6,-6,-23,-113,-108,-1101,-5,-47,-62,-255,-296,-1720,-5,3,2,-2,-9,3,-7,1,1,-2,-7,1,1
162,-8,3,1,-1,-7,4,-7,4,0,-2,-6,3,-5,-1,-20,-57,-50,-669,-6,-52,-65,-187,-243,-1521,-6,4,0,-4,-5,4,-5,3,3,-2,-6,5,-2
163,-7,3,3,0,-8,5,-5,1,2,1,-6,3,-7,-2,2,-49,-32,-515,-7,-44,-60,-182,-190,-1377,-8,3,1,-1,-6,2,-6,2,3,-1,-6,3,-4
164,-7,4,2,-1,-8,5,-6,3,1,-2,-7,1,-4,0,0,-50,-22,-212,-8,-59,0,-185,-178,-1156,-7,3,0,-2,-6,2,-5,3,2,0,-5,7,0
165,-7,5,2,1,-7,4,-5,3,-1,1,-4,1,-7,-4,1,-62,-22,-68,-5,-68,3,-189,-137,-473,-5,3,2,-2,-7,4,-7,3,2,-2,-8,3,1
166,-8,1,1,-3,-8,4,-6,3,0,1,-6,2,-5,3,1,-18,-9,-17,-9,-77,2,-192,-117,-186,-5,4,1,2,-5,4,-6,1,1,-4,-8,7,-2
167,-7,3,2,-1,-7,4,-7,4,0,-1,-8,3,-5,3,2,-10,-6,3,-6,-97,0,-185,-74,-204,-7,3,0,1,-6,1,-4,3,0,-2,-7,1,0
168,-6,3,0,-1,-5,4,-5,3,1,-1,-5,4,-8,3,1,0,-6,4,-7,-100,1,-185,-6,-33,-7,5,0,-1,-6,1,-8,3,2,-3,-7,3,-2
