Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,5,2
5.00,2,5
10.00,4,2
15.00,2,4
20.00,5,5
25.00,3,3
30.00,5,2
35.00,3,2
40.00,5,4
45.00,5,2
50.00,5,4
55.00,3,3
60.00,7,5
65.00,5,5
70.00,3,2
75.00,7,5
80.00,4,3
85.00,4,5
90.00,2,2
95.00,4,3
100.00,5,3
105.00,6,4
110.00,4,4
115.00,4,4
120.00,4,5
125.00,4,2
130.00,2,2
135.00,4,5
140.00,4,2
145.00,5,5
150.00,3,4
155.00,4,5
160.00,4,5
165.00,4,2
170.00,5,3
175.00,5,5
180.00,4,3
185.00,4,2
190.00,1,2
195.00,1,4
200.00,4,5
205.00,5,5
210.00,2,5
215.00,4,4
220.00,4,5
225.00,6,4
230.00,2,2
235.00,5,4
240.00,6,3
245.00,5,4
250.00,5,5
255.00,4,2
260.00,3,3
265.00,4,2
270.00,3,2
275.00,4,2
280.00,4,4
285.00,5,6
290.00,4,5
295.00,6,4
300.00,5,4
305.00,4,4
310.00,4,4
315.00,4,2
320.00,5,2
325.00,4,5
330.00,4,2
335.00,5,4
340.00,3,2
345.00,4,5
350.00,6,5
355.00,5,5
360.00,4,2
365.00,4,4
370.00,5,4
375.00,4,4
380.00,5,5
385.00,4,4
390.00,4,4
395.00,4,4
400.00,1,4
405.00,3,4
410.00,6,3
415.00,5,3
420.00,4,4
425.00,5,4
430.00,4,5
435.00,4,5
440.00,3,5
445.00,6,5
450.00,4,2
455.00,4,5
460.00,1,5
465.00,6,6
470.00,5,4
475.00,4,2
480.00,7,5
485.00,6,2
490.00,3,2
495.00,5,3
500.00,1,2
505.00,3,2
510.00,4,5
515.00,2,3
520.00,5,2
525.00,4,4
530.00,4,2
535.00,2,2
540.00,6,5
545.00,4,5
550.00,5,4
555.00,6,3
560.00,3,3
565.00,4,2
570.00,4,3
575.00,3,5
580.00,3,4
585.00,4,3
590.00,4,2
595.00,3,4
600.00,4,3
605.00,4,4
610.00,4,5
615.00,6,3
620.00,4,3
625.00,4,5
630.00,3,2
635.00,4,5
640.00,4,5
