Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
100ml,VET6_8chips_raw_stream_20260528_205422.bin,1,-14.872653,9.206686,6.476372,-11.236591,-7.727695,-1.949191,-50.858083,-433.516039,-77.086411,-347.601297,-314.277014,-642.382365,-412.540659,-3.708683,-3.537115,-5.242297,-5.217787,-6.219188,-4.308824,-0.346794,-0.411609,0.025288,0.292951,0.887722,-4.009363,-108.009678,-688.733042,-185.966112,-328.989553,-591.049820,-239.926358,-699.292161,-2.556022,-1.368347,-5.392157,-3.717787,-1.658263,1.129552,944,144.042969,1761,268.707275,1906,290.832520,2243,342.254639,-28583,-4361.419678,188,28.686523,-28382,-4330.749512,-28502,-4349.060059
100ml,VET6_8chips_raw_stream_20260528_205422.bin,2,-15.076356,9.910390,7.377607,-10.730418,-8.733868,-2.245487,-51.374570,-434.184932,-77.355172,-347.601297,-313.569363,-642.283444,-412.336688,-3.708683,-4.037115,-6.908964,-5.551120,-5.885854,-3.642157,0.147033,1.594564,1.025288,0.391716,1.288956,-3.509363,-107.976704,-690.148346,-186.081731,-329.567650,-591.031571,-241.514577,-699.996132,-3.222689,-1.701681,-6.725490,-3.884454,-2.991597,0.629552,946,144.348145,1750,267.028809,1899,289.764404,2240,341.796875,-28572,-4359.741211,176,26.855469,-28376,-4329.833984,-28493,-4347.686768
100ml,VET6_8chips_raw_stream_20260528_205422.bin,3,-14.372653,9.706686,6.371434,-10.532887,-7.931398,-0.844253,-53.222164,-431.056191,-78.855172,-346.788906,-313.805965,-636.586994,-410.244630,-2.708683,-3.537115,-5.242297,-5.551120,-5.385854,-2.642157,0.054440,-0.312844,0.228992,0.799123,-0.118451,-4.706894,-106.994953,-687.617133,-183.659829,-326.836411,-588.706249,-239.097012,-697.719959,-3.556022,-2.868347,-5.225490,-3.051120,-1.324930,1.129552,941,143.585205,1758,268.249512,1901,290.069580,2247,342.864990,-28584,-4361.572266,177,27.008057,-28385,-4331.207275,-28503,-4349.212646
100ml,VET6_8chips_raw_stream_20260528_205422.bin,4,-14.675122,10.009156,5.871434,-10.835356,-7.628929,-0.745487,-51.652193,-434.115461,-77.086411,-344.942047,-316.659344,-633.515261,-414.112861,-3.208683,-3.037115,-5.908964,-6.384454,-7.052521,-3.475490,-0.149263,0.390860,-0.875947,-0.608284,0.288956,-4.108128,-106.717330,-685.277086,-183.812970,-324.608226,-586.202226,-238.855886,-695.075554,-3.889356,-2.035014,-5.392157,-3.217787,-1.658263,0.962885,949,144.805908,1755,267.791748,1904,290.527344,2254,343.933105,-28590,-4362.487793,178,27.160645,-28394,-4332.580566,-28512,-4350.585938
100ml,VET6_8chips_raw_stream_20260528_205422.bin,5,-14.070184,9.404217,6.778841,-9.835356,-6.628929,-0.146722,-51.547486,-430.240678,-78.239553,-345.216916,-314.704781,-640.295907,-410.948601,-3.042017,-3.203782,-5.908964,-6.717787,-6.719188,-3.808824,0.653206,0.588391,-0.875947,-0.404580,-0.414747,-4.706894,-105.818513,-681.835487,-184.619253,-326.067650,-583.937066,-239.321151,-691.299381,-2.556022,-1.368347,-6.058824,-3.884454,-1.991597,-1.703782,947,144.500732,1759,268.402100,1897,289.459229,2234,340.881348,-28585,-4361.724854,174,26.550293,-28385,-4331.207275,-28504,-4349.365234
100ml,VET6_8chips_raw_stream_20260528_205422.bin,6,-14.070184,9.404217,7.581310,-10.532887,-7.931398,-2.047956,-51.150431,-432.748225,-78.123933,-344.835590,-315.707043,-644.284705,-413.316833,-2.542017,-2.203782,-5.742297,-5.717787,-6.219188,-2.475490,0.048267,1.193329,0.321584,0.799123,-0.118451,-3.101956,-107.908495,-684.530675,-184.159829,-326.720792,-586.426364,-238.401824,-694.575554,-4.056022,-2.868347,-6.725490,-3.384454,-1.991597,0.462885,947,144.500732,1755,267.791748,1912,291.748047,2255,344.085693,-28588,-4362.182617,182,27.770996,-28389,-4331.817627,-28505,-4349.517822
100ml,VET6_8chips_raw_stream_20260528_205422.bin,7,-13.872653,10.206686,6.272668,-11.236591,-7.727695,-1.146722,-50.977515,-434.361371,-77.586411,-347.835590,-313.345224,-646.391674,-412.448601,-4.542017,-4.703782,-6.075630,-6.551120,-6.885854,-3.308824,0.554440,0.187156,0.124053,0.490481,1.690191,-5.015536,-108.114385,-685.357759,-184.928590,-325.836411,-586.494574,-238.924096,-695.055699,-3.722689,-3.201681,-5.392157,-3.717787,-2.158263,0.462885,943,143.890381,1756,267.944336,1902,290.222168,2240,341.796875,-28586,-4361.877441,182,27.770996,-28385,-4331.207275,-28501,-4348.907471
100ml,VET6_8chips_raw_stream_20260528_205422.bin,8,-14.971418,8.805452,6.778841,-9.934122,-7.030164,-0.245487,-50.771625,-429.880120,-76.355172,-346.991785,-311.429420,-650.446419,-409.244630,-1.542017,-2.203782,-5.408964,-4.884454,-5.052521,-1.975490,0.548267,1.693329,-1.382120,-0.003346,-0.315982,-4.706894,-108.890246,-686.133620,-186.581731,-326.414509,-588.527548,-240.479342,-696.443785,-3.222689,-1.701681,-7.058824,-4.217787,-2.658263,0.629552,942,143.737793,1758,268.249512,1896,289.306641,2242,342.102051,-28583,-4361.419678,179,27.313232,-28383,-4330.902100,-28501,-4348.907471
100ml,VET6_8chips_raw_stream_20260528_205422.bin,9,-13.267714,9.601748,7.180076,-10.236591,-6.727695,-1.751660,-50.872808,-431.661767,-78.739553,-346.069883,-314.653559,-649.359961,-412.040659,-3.542017,-3.703782,-5.575630,-5.717787,-5.219188,-2.142157,0.350737,0.890860,0.321584,0.496654,0.184018,-3.003190,-108.129110,-685.133620,-186.350492,-327.645748,-587.354632,-242.736454,-695.259670,-3.389356,-2.035014,-5.225490,-3.551120,-2.324930,-0.037115,937,142.974854,1758,268.249512,1895,289.154053,2235,341.033936,-28589,-4362.335205,184,28.076172,-28389,-4331.817627,-28506,-4349.670410
100ml,VET6_8chips_raw_stream_20260528_205422.bin,10,-13.872653,10.206686,6.476372,-10.637826,-6.826460,-1.350425,-51.183405,-432.268235,-78.239553,-346.147981,-313.688795,-652.482916,-412.040659,-3.708683,-4.037115,-6.242297,-5.717787,-6.219188,-3.142157,0.153206,0.088391,0.426522,-0.305815,-0.013513,-4.206894,-109.373759,-690.584160,-186.850492,-328.530129,-590.753948,-241.652258,-700.200103,-3.722689,-2.201681,-5.558824,-3.717787,-2.158263,0.462885,942,143.737793,1760,268.554688,1898,289.611816,2244,342.407227,-28585,-4361.724854,180,27.465820,-28384,-4331.054688,-28499,-4348.602295
