Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
100ml,VET6_8chips_raw_stream_20260528_205515.bin,1,-12.551665,6.385699,7.970199,-0.100788,-5.363497,-1.646722,-60.062890,-1314.751561,-134.714247,-911.107841,-412.150095,-1217.842157,-916.463042,-492.375350,-296.370448,-9.575630,-13.551120,-15.885854,-57.975490,0.659379,-0.917782,-0.573478,0.095420,0.085253,-3.805659,-301.630896,-22.821928,-311.140632,-194.246097,-201.441173,-422.406612,-103.221764,-168.722689,-85.201681,-5.725490,-4.051120,-2.324930,1.129552,965,147.247314,1769,269.927979,1913,291.900635,2206,336.608887,-28578,-4360.656738,185,28.228760,-28379,-4330.291748,-28495,-4347.991943
100ml,VET6_8chips_raw_stream_20260528_205515.bin,2,-14.452900,4.786933,7.673903,-0.100788,-5.363497,-0.844253,-60.531677,-1312.587585,-132.983008,-911.489168,-410.080625,-1218.585044,-914.199504,-486.375350,-291.370448,-9.408964,-12.217787,-15.219188,-56.308824,-0.346794,-0.411609,-0.974712,-0.108284,0.788956,-3.206894,-301.191927,-23.165499,-308.681208,-191.624369,-201.924686,-412.963752,-103.537648,-169.056022,-84.368347,-6.058824,-3.884454,-2.991597,0.296218,967,147.552490,1775,270.843506,1913,291.900635,2210,337.219238,-28584,-4361.572266,182,27.770996,-28387,-4331.512451,-28497,-4348.297119
100ml,VET6_8chips_raw_stream_20260528_205515.bin,3,-14.051665,4.885699,7.371434,-1.002023,-5.962263,-2.547956,-61.373486,-1316.231920,-135.214247,-908.457754,-413.376496,-1219.446363,-918.739215,-492.042017,-295.203782,-10.742297,-13.217787,-16.219188,-57.975490,0.054440,-0.312844,0.426522,0.194185,0.486487,-5.713067,-301.994977,-24.801418,-311.140632,-191.471228,-201.163550,-410.760124,-103.741619,-170.056022,-85.868347,-5.892157,-3.551120,-1.824930,-0.370448,964,147.094727,1770,270.080566,1916,292.358398,2202,335.998535,-28581,-4361.114502,182,27.770996,-28384,-4331.054688,-28497,-4348.297119
100ml,VET6_8chips_raw_stream_20260528_205515.bin,4,-13.551665,5.385699,7.673903,-0.199554,-5.764732,-0.943018,-61.717057,-1315.611619,-135.176725,-910.104787,-413.345784,-1218.292696,-917.995533,-486.375350,-287.870448,-8.908964,-14.051120,-17.385854,-55.142157,-0.445560,-0.812844,-0.678416,0.799123,-0.118451,-4.305659,-301.517249,-23.863842,-309.718729,-192.468174,-202.665311,-409.240113,-103.833677,-169.556022,-85.368347,-7.058824,-2.551120,-1.324930,0.629552,960,146.484375,1772,270.385742,1903,290.374756,2208,336.914062,-28585,-4361.724854,191,29.144287,-28387,-4331.512451,-28503,-4349.212646
100ml,VET6_8chips_raw_stream_20260528_205515.bin,5,-13.045492,4.379526,7.371434,-0.594616,-7.369670,-0.936845,-60.301754,-1322.388742,-135.714247,-915.764037,-411.391221,-1219.241473,-919.614666,-493.375350,-291.370448,-9.575630,-13.551120,-16.385854,-57.642157,0.251971,0.489625,-0.777181,0.194185,0.486487,-4.108128,-299.798027,-23.640072,-312.334349,-187.815033,-203.790528,-405.298014,-105.169417,-172.389356,-87.035014,-7.225490,-4.551120,-3.324930,-0.037115,969,147.857666,1773,270.538330,1909,291.290283,2204,336.303711,-28588,-4362.182617,183,27.923584,-28392,-4332.275391,-28504,-4349.365234
100ml,VET6_8chips_raw_stream_20260528_205515.bin,6,-15.459073,5.293106,7.173903,-1.205727,-5.258559,-1.146722,-60.722842,-1329.326686,-132.792345,-912.767091,-410.876996,-1214.955803,-923.950407,-498.375350,-294.370448,-9.242297,-12.717787,-15.719188,-57.808824,-0.846794,-0.911609,-0.678416,0.792951,1.387722,-4.713067,-303.255244,-24.135680,-319.493598,-195.433706,-216.496287,-418.512320,-111.064724,-180.889356,-91.035014,-6.058824,-3.717787,-2.658263,0.129552,967,147.552490,1765,269.317627,1904,290.527344,2204,336.303711,-28582,-4361.267090,180,27.465820,-28388,-4331.665039,-28498,-4348.449707
100ml,VET6_8chips_raw_stream_20260528_205515.bin,7,-13.650431,4.984464,7.673903,0.405384,-6.369670,-1.140549,-61.358761,-1333.756715,-133.676725,-914.651471,-413.365033,-1218.445102,-928.055100,-498.042017,-296.703782,-9.908964,-13.717787,-16.719188,-57.142157,-1.254202,0.495798,-0.277181,0.095420,0.085253,-3.404425,-301.887640,-23.323690,-317.637578,-190.627423,-202.560605,-414.814869,-103.945591,-169.722689,-84.701681,-6.058824,-3.717787,-2.158263,0.129552,956,145.874023,1775,270.843506,1906,290.832520,2210,337.219238,-28582,-4361.267090,175,26.702881,-28388,-4331.665039,-28501,-4348.907471
100ml,VET6_8chips_raw_stream_20260528_205515.bin,8,-12.446727,5.280760,7.976372,-1.002023,-5.962263,-1.344253,-60.206355,-1346.925475,-133.217301,-922.241785,-413.153619,-1217.426853,-933.064125,-523.042017,-311.203782,-9.242297,-13.384454,-16.052521,-58.475490,-0.451733,0.693329,-0.277181,0.799123,-0.118451,-4.706894,-300.648776,-23.350879,-315.753197,-190.352554,-200.369440,-407.703116,-102.445591,-169.222689,-85.201681,-6.225490,-4.384454,-2.991597,0.462885,956,145.874023,1773,270.538330,1922,293.273926,2213,337.677002,-28585,-4361.724854,186,28.381348,-28389,-4331.817627,-28504,-4349.365234
100ml,VET6_8chips_raw_stream_20260528_205515.bin,9,-14.360307,6.694341,7.871434,-0.909430,-4.054855,-1.251660,-59.698808,-1340.829340,-134.714247,-925.273199,-410.769027,-1216.929615,-927.596616,-515.208683,-306.037115,-8.742297,-13.717787,-16.219188,-56.142157,-0.149263,0.390860,0.426522,-0.608284,0.288956,-3.706894,-298.666656,-23.159714,-319.365763,-193.008750,-199.005359,-412.396042,-101.537648,-168.056022,-84.368347,-5.558824,-4.051120,-3.324930,0.462885,964,147.094727,1770,270.080566,1914,292.053223,2201,335.845947,-28586,-4361.877441,178,27.160645,-28389,-4331.817627,-28504,-4349.365234
100ml,VET6_8chips_raw_stream_20260528_205515.bin,10,-14.557838,5.891872,7.371434,0.102915,-6.067201,-0.239314,-60.645324,-1359.392001,-135.214247,-929.901035,-412.221828,-1221.831955,-938.695894,-528.375350,-313.870448,-9.742297,-13.717787,-16.219188,-58.475490,0.659379,-0.917782,-0.474712,-0.207049,0.387722,-3.706894,-300.353429,-24.849117,-327.440806,-191.621315,-205.770018,-407.168380,-105.873388,-173.056022,-87.368347,-5.392157,-4.217787,-2.658263,-0.037115,958,146.179199,1785,272.369385,1913,291.900635,2212,337.524414,-28591,-4362.640381,183,27.923584,-28391,-4332.122803,-28508,-4349.975586
