Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
100ml,VET6_8chips_raw_stream_20260528_205743.bin,1,-408.286233,-895.379733,-1004.344616,-719.872393,-315.591892,-93.887462,1.249425,-1.288419,-0.489116,-0.579045,-1.779617,-0.286052,-1.448601,-3.208683,-3.037115,-6.075630,-6.051120,-6.385854,-2.142157,-2435.075189,-1913.683214,-511.048786,-136.429272,-81.390056,-79.743931,0.807868,0.741404,-1.024139,-0.553689,-2.239022,-1.450046,-0.571944,-2.556022,-0.868347,-5.225490,-4.384454,-3.491597,0.462885,952,145.263672,1727,263.519287,1919,292.816162,2187,333.709717,-28573,-4359.893799,185,28.228760,-28378,-4330.139160,-28493,-4347.686768
100ml,VET6_8chips_raw_stream_20260528_205743.bin,2,-411.884998,-899.280968,-1002.437208,-719.174863,-314.289423,-93.591166,1.646480,-1.374877,-0.257877,-0.810285,-1.779617,-0.683107,-1.540659,-3.375350,-3.870448,-6.242297,-5.717787,-5.719188,-3.475490,-2434.056671,-1917.201733,-511.246317,-136.632975,-80.686352,-79.145165,0.530245,-0.312080,-0.870998,0.215072,-4.000158,-0.417072,-2.256060,-3.722689,-2.701681,-6.225490,-4.551120,-2.824930,-0.703782,952,145.263672,1726,263.366699,1925,293.731689,2193,334.625244,-28579,-4360.809326,185,28.228760,-28383,-4330.902100,-28498,-4348.449707
100ml,VET6_8chips_raw_stream_20260528_205743.bin,3,-413.897344,-898.268622,-1000.140912,-716.557579,-315.906707,-95.387462,2.440590,-1.599016,-0.373497,-1.310285,-1.071965,-2.390759,-1.244630,-3.208683,-3.537115,-6.575630,-5.051120,-4.885854,-3.142157,-2435.680128,-1913.078276,-512.351255,-135.830506,-80.488821,-78.743931,0.377840,0.965543,-0.908520,-0.822450,-2.516645,-0.775368,-0.756060,-2.389356,-1.535014,-6.558824,-3.217787,-1.158263,0.962885,952,145.263672,1733,264.434814,1912,291.748047,2190,334.167480,-28566,-4358.825684,176,26.855469,-28366,-4328.308105,-28483,-4346.160889
100ml,VET6_8chips_raw_stream_20260528_205743.bin,4,-410.082529,-898.083437,-1003.752023,-717.563751,-315.400534,-94.387462,0.732938,-0.963097,-0.757877,0.305335,-0.985507,1.078029,-0.948601,-3.375350,-3.870448,-6.075630,-5.717787,-5.719188,-2.808824,-2435.056671,-1918.201733,-512.450021,-135.929272,-80.890056,-79.645165,0.013758,0.482030,-0.792900,0.330692,-2.636077,-1.211182,-1.052089,-2.389356,-1.535014,-5.058824,-4.551120,-2.324930,-0.037115,957,146.026611,1735,264.739990,1918,292.663574,2191,334.320068,-28567,-4358.978271,187,28.533936,-28369,-4328.765869,-28484,-4346.313477
100ml,VET6_8chips_raw_stream_20260528_205743.bin,5,-407.582529,-895.583437,-999.943381,-718.569924,-314.894361,-94.189932,2.249425,-0.771932,0.510884,0.036574,-1.263130,-0.199594,-1.040659,-2.875350,-3.370448,-5.742297,-5.551120,-5.385854,-1.308824,-2432.957905,-1915.800498,-510.443848,-136.028037,-81.291291,-80.546400,-0.019215,-0.312080,-1.024139,-0.669308,-2.516645,0.138174,-1.460031,-2.722689,-1.201681,-6.392157,-3.217787,-1.658263,0.296218,956,145.874023,1742,265.808105,1920,292.968750,2177,332.183838,-28566,-4358.825684,175,26.702881,-28370,-4328.918457,-28484,-4346.313477
100ml,VET6_8chips_raw_stream_20260528_205743.bin,6,-410.384998,-897.780968,-1000.443381,-715.255109,-315.209176,-94.486228,1.216451,-0.963097,-0.373497,-0.194665,-0.866075,0.164487,-0.948601,-3.208683,-3.537115,-5.075630,-5.884454,-7.052521,-3.308824,-2436.772720,-1915.985683,-511.246317,-135.830506,-80.488821,-79.546400,0.616703,0.309114,-0.486618,-0.169308,-4.501919,-0.933559,-2.256060,-3.222689,-1.701681,-5.725490,-3.384454,-1.991597,-0.203782,954,145.568848,1729,263.824463,1916,292.358398,2192,334.472656,-28576,-4360.351562,177,27.008057,-28379,-4330.291748,-28495,-4347.991943
100ml,VET6_8chips_raw_stream_20260528_205743.bin,7,-406.199813,-889.966153,-998.035974,-718.761282,-317.203003,-94.782524,0.541773,-2.446610,0.010884,-0.541524,-1.746643,0.197461,-2.244630,-3.708683,-3.537115,-5.242297,-5.884454,-6.552521,-2.975490,-2438.482597,-1915.275807,-510.746317,-137.028037,-82.291291,-80.743931,1.927300,-0.120915,0.591480,-0.516167,-2.913700,-1.297640,-1.552089,-2.889356,-2.035014,-5.892157,-4.217787,-2.658263,0.296218,948,144.653320,1731,264.129639,1920,292.968750,2186,333.557129,-28566,-4358.825684,177,27.008057,-28369,-4328.765869,-28485,-4346.466064
100ml,VET6_8chips_raw_stream_20260528_205743.bin,8,-407.304752,-889.861215,-998.529801,-718.168690,-314.795596,-94.189932,1.097019,-2.479584,-0.526638,-0.810285,-0.866075,0.111003,-1.652573,-3.542017,-3.203782,-5.242297,-4.717787,-4.719188,-2.475490,-2435.390004,-1910.368399,-511.246317,-137.435445,-80.883883,-79.546400,0.616703,0.309114,-0.024139,0.330692,-3.310755,-0.020017,-1.644146,-2.389356,-1.535014,-5.725490,-4.217787,-2.658263,0.296218,960,146.484375,1741,265.655518,1934,295.104980,2197,335.235596,-28570,-4359.436035,180,27.465820,-28374,-4329.528809,-28491,-4347.381592
100ml,VET6_8chips_raw_stream_20260528_205743.bin,9,-408.613394,-889.052573,-998.128566,-718.761282,-317.203003,-95.183759,0.628231,-0.804906,0.279645,-1.616567,-0.660185,-1.041403,-0.652573,-3.375350,-3.870448,-5.575630,-6.717787,-6.719188,-3.475490,-2431.859140,-1914.399263,-511.647552,-136.935445,-80.383883,-79.447635,0.894326,0.482030,-0.755379,-1.400547,-3.534893,-2.363588,-1.479887,-4.222689,-2.701681,-5.225490,-4.384454,-2.991597,-0.537115,951,145.111084,1723,262.908936,1919,292.816162,2179,332.489014,-28575,-4360.198975,166,25.329590,-28379,-4330.291748,-28495,-4347.991943
100ml,VET6_8chips_raw_stream_20260528_205743.bin,10,-407.002282,-890.163684,-996.227332,-717.464986,-314.999300,-94.288697,-0.061172,-0.891364,-1.220355,-0.694665,-2.487268,-1.080162,-1.560515,-4.542017,-4.703782,-6.242297,-6.051120,-6.385854,-3.142157,-2436.087535,-1911.670868,-510.950021,-136.731741,-81.087587,-78.842696,0.894326,-0.326805,-0.639759,-1.169308,-4.191323,-2.694695,-2.348118,-2.889356,-1.535014,-4.558824,-3.551120,-2.324930,-0.703782,966,147.399902,1733,264.434814,1919,292.816162,2199,335.540771,-28579,-4360.809326,185,28.228760,-28379,-4330.291748,-28496,-4348.144531
100ml,VET6_8chips_raw_stream_20260528_205743.bin,11,-405.002282,-888.163684,-997.431035,-714.656344,-314.307942,-92.683759,0.144718,-1.240720,0.010884,-0.194665,-0.555478,0.131514,-1.040659,-2.875350,-3.370448,-5.075630,-5.884454,-7.052521,-3.642157,-2433.772720,-1912.985683,-511.252490,-135.626803,-81.192525,-79.342696,-0.416270,-0.709135,-1.024139,-0.784928,-3.397213,-0.258881,-2.164002,-3.556022,-1.868347,-5.225490,-2.717787,-1.658263,-0.203782,948,144.653320,1737,265.045166,1920,292.968750,2198,335.388184,-28575,-4360.198975,174,26.550293,-28378,-4330.139160,-28494,-4347.839355
100ml,VET6_8chips_raw_stream_20260528_205743.bin,12,-407.008455,-888.657511,-993.931035,-710.748937,-312.215349,-92.788697,1.455315,-1.360152,0.510884,0.074096,-0.866075,0.283919,-1.152573,-3.542017,-3.703782,-6.075630,-6.217787,-6.719188,-4.308824,-2433.680128,-1911.078276,-510.042613,-138.034210,-81.785118,-79.342696,-0.296838,-1.126700,-0.870998,0.405735,-4.588378,-1.038266,-3.256060,-4.389356,-3.035014,-6.225490,-4.051120,-2.324930,0.129552,943,143.890381,1732,264.282227,1918,292.663574,2177,332.183838,-28567,-4358.978271,179,27.313232,-28370,-4328.918457,-28483,-4346.160889
100ml,VET6_8chips_raw_stream_20260528_205743.bin,13,-402.798579,-886.867388,-995.122393,-712.748937,-314.215349,-93.986228,2.699964,-1.222472,1.357742,-0.194665,-1.110724,-0.629622,-1.520804,-2.042017,-2.703782,-5.575630,-5.384454,-5.552521,-1.808824,-2433.081362,-1910.177041,-511.246317,-136.632975,-80.686352,-78.743931,-0.138647,0.323839,-1.408520,0.868214,-2.913700,-0.244156,-1.460031,-3.222689,-2.201681,-6.392157,-4.051120,-2.324930,1.462885,960,146.484375,1735,264.739990,1923,293.426514,2189,334.014893,-28574,-4360.046387,181,27.618408,-28379,-4330.291748,-28492,-4347.534180
100ml,VET6_8chips_raw_stream_20260528_205743.bin,14,-404.008455,-885.657511,-994.017455,-714.458813,-313.505473,-93.689932,2.162967,-1.201961,0.010884,-0.847806,-1.382562,0.388626,-1.152573,-4.042017,-4.703782,-5.908964,-6.384454,-7.052521,-4.475490,-2435.069016,-1915.189387,-509.740144,-136.830506,-81.488821,-79.342696,-0.296838,-0.517970,-0.524139,-0.400547,-2.913700,-0.503530,-1.756060,-2.556022,-0.868347,-6.058824,-2.884454,-1.491597,-0.370448,953,145.416260,1738,265.197754,1919,292.816162,2188,333.862305,-28568,-4359.130859,172,26.245117,-28371,-4329.071045,-28487,-4346.771240
100ml,VET6_8chips_raw_stream_20260528_205743.bin,15,-401.792406,-887.373561,-994.498937,-720.273628,-315.690658,-93.887462,0.905854,-1.255445,0.126503,-0.079045,-1.143698,0.594516,-1.336688,-2.875350,-3.370448,-5.575630,-5.717787,-6.219188,-2.808824,-2433.587535,-1909.170868,-510.141379,-136.731741,-81.087587,-79.645165,-0.383297,1.482030,-0.908520,0.215072,-2.549618,-1.244156,-0.460031,-2.056022,-0.868347,-4.725490,-3.884454,-2.991597,-0.703782,963,146.942139,1740,265.502930,1921,293.121338,2194,334.777832,-28572,-4359.741211,178,27.160645,-28373,-4329.376221,-28490,-4347.229004
100ml,VET6_8chips_raw_stream_20260528_205743.bin,16,-404.903517,-887.762449,-990.202640,-716.964986,-314.499300,-95.393635,1.010561,-1.374877,-1.257877,-1.079045,-2.176672,-1.199594,-1.744630,-3.542017,-3.703782,-5.408964,-5.717787,-6.719188,-4.142157,-2431.470251,-1911.288152,-509.641379,-136.028037,-81.291291,-80.546400,0.822594,-0.186863,0.513382,-1.438069,-2.794268,-0.795878,-1.367973,-3.389356,-2.035014,-6.225490,-4.051120,-2.824930,-0.537115,957,146.026611,1740,265.502930,1915,292.205811,2186,333.557129,-28575,-4360.198975,176,26.855469,-28379,-4330.291748,-28494,-4347.839355
100ml,VET6_8chips_raw_stream_20260528_205743.bin,17,-404.798579,-888.867388,-993.819924,-713.650171,-314.814115,-95.288697,0.992312,-2.360152,0.279645,-0.194665,-1.283640,-0.596649,-2.132717,-3.208683,-3.537115,-6.408964,-5.551120,-5.885854,-2.308824,-2429.865313,-1910.893091,-509.740144,-136.632975,-80.686352,-79.145165,-1.640409,0.013242,-1.139759,0.752594,-2.794268,-0.641211,-1.571944,-3.389356,-1.535014,-6.058824,-2.884454,-2.491597,0.629552,959,146.331787,1743,265.960693,1919,292.816162,2184,333.251953,-28571,-4359.588623,173,26.397705,-28377,-4329.986572,-28491,-4347.381592
100ml,VET6_8chips_raw_stream_20260528_205743.bin,18,-404.397344,-888.768622,-995.813751,-716.761282,-315.203003,-95.591166,1.732938,-0.858391,0.010884,-0.079045,-1.970781,1.388626,-1.448601,-3.208683,-3.037115,-5.742297,-5.884454,-6.552521,-3.308824,-2429.852967,-1913.905436,-511.246317,-137.126803,-82.692525,-78.836523,-0.192132,1.189682,-1.792900,0.330692,-4.257270,-0.417072,-1.460031,-3.056022,-1.868347,-6.892157,-4.051120,-2.824930,-0.203782,961,146.636963,1726,263.366699,1925,293.731689,2190,334.167480,-28573,-4359.893799,180,27.465820,-28375,-4329.681396,-28489,-4347.076416
100ml,VET6_8chips_raw_stream_20260528_205743.bin,19,-401.397344,-885.768622,-996.424863,-717.366221,-314.598065,-93.788697,2.440590,-1.705985,-0.257877,0.305335,-2.660185,0.680974,-2.428746,-3.375350,-3.870448,-6.908964,-5.717787,-6.219188,-2.475490,-2438.908523,-1909.349881,-511.548786,-135.929272,-80.890056,-79.243931,0.237897,-0.001483,-1.677281,-0.284928,-3.669050,-0.933559,-1.756060,-2.722689,-1.201681,-5.558824,-3.884454,-2.991597,-1.037115,960,146.484375,1729,263.824463,1919,292.816162,2184,333.251953,-28577,-4360.504150,172,26.245117,-28379,-4330.291748,-28493,-4347.686768
100ml,VET6_8chips_raw_stream_20260528_205743.bin,20,-402.298579,-886.367388,-995.819924,-714.860048,-313.604238,-94.893635,1.422341,-1.533068,0.510884,-0.963426,-1.454295,1.116788,-1.652573,-4.375350,-4.870448,-6.075630,-5.884454,-6.052521,-3.308824,-2433.988770,-1909.269634,-510.542613,-136.330506,-80.988821,-78.441462,-0.502728,0.482030,-1.177281,0.599453,-2.636077,0.099415,-1.052089,-2.889356,-2.535014,-6.392157,-3.551120,-2.324930,0.296218,954,145.568848,1731,264.129639,1919,292.816162,2186,333.557129,-28568,-4359.130859,179,27.313232,-28373,-4329.376221,-28489,-4347.076416
100ml,VET6_8chips_raw_stream_20260528_205743.bin,21,-403.915863,-883.750104,-990.912517,-714.051406,-314.912880,-94.887462,1.025286,-1.374877,0.510884,-0.579045,-0.660185,0.508058,-1.040659,-2.708683,-3.037115,-5.742297,-5.551120,-5.885854,-2.642157,-2439.686300,-1915.572103,-511.246317,-136.626803,-82.192525,-79.540227,-0.932757,0.482030,-1.524139,-0.438069,-2.516645,0.138174,-1.052089,-2.389356,-1.535014,-6.058824,-3.217787,-2.158263,0.296218,944,144.042969,1727,263.519287,1922,293.273926,2190,334.167480,-28576,-4360.351562,178,27.160645,-28380,-4330.444336,-28494,-4347.839355
100ml,VET6_8chips_raw_stream_20260528_205743.bin,22,-405.922035,-884.243931,-993.319924,-715.860048,-314.604238,-93.887462,1.368857,-0.891364,-0.104736,-0.463426,-1.693158,0.508058,-1.152573,-3.375350,-3.370448,-6.408964,-6.717787,-6.219188,-3.142157,-2436.680128,-1914.078276,-512.147552,-136.830506,-81.488821,-78.941462,-0.296838,0.482030,-0.524139,-0.169308,-2.913700,-1.330614,-1.256060,-2.722689,-1.701681,-7.058824,-4.717787,-3.158263,-0.203782,958,146.179199,1736,264.892578,1915,292.205811,2185,333.404541,-28570,-4359.436035,178,27.160645,-28372,-4329.223633,-28487,-4346.771240
100ml,VET6_8chips_raw_stream_20260528_205743.bin,23,-404.817097,-884.348869,-999.134739,-713.755109,-313.709176,-94.189932,1.043535,-3.464859,-1.026638,-1.810285,-0.570203,-1.351999,-2.040659,-3.542017,-3.703782,-5.575630,-5.384454,-5.552521,-2.475490,-2434.087535,-1909.670868,-511.746317,-136.929272,-81.890056,-79.040227,-0.535702,1.189682,-1.639759,-0.438069,-3.621351,-0.655936,-1.256060,-2.222689,-0.701681,-5.558824,-3.051120,-1.824930,-0.203782,953,145.416260,1732,264.282227,1922,293.273926,2185,333.404541,-28569,-4359.283447,173,26.397705,-28371,-4329.071045,-28487,-4346.771240
