Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,-6048,2
5.00,-6050,3
10.00,-6040,2
15.00,-6045,1
20.00,-6048,1
25.00,-6048,2
30.00,-6054,3
35.00,-6044,2
40.00,-6048,4
45.00,-6047,3
50.00,-6048,3
55.00,-6044,5
60.00,-6044,3
65.00,-6047,5
70.00,-6045,2
75.00,-6044,2
80.00,-6047,1
85.00,-6041,2
90.00,-6037,1
95.00,-6044,2
100.00,-6048,2
105.00,-6050,3
110.00,-6048,3
115.00,-6033,1
120.00,-6046,4
125.00,-6041,1
130.00,-6040,2
135.00,-6044,1
140.00,-6042,3
145.00,-6040,4
150.00,-6047,2
155.00,-6043,2
160.00,-6035,2
165.00,-6039,5
170.00,-6036,1
175.00,-6042,2
180.00,-6046,3
185.00,-6045,2
190.00,-6047,3
195.00,-6048,2
200.00,-6043,2
205.00,-6039,2
210.00,-6042,2
215.00,-6046,4
220.00,-6050,3
225.00,-6049,3
230.00,-6040,4
235.00,-6032,4
240.00,-6043,3
245.00,-6052,3
250.00,-6033,4
255.00,-6036,2
260.00,-6038,5
265.00,-6042,1
270.00,-6044,3
275.00,-6052,4
280.00,-6053,2
285.00,-6042,4
290.00,-6039,3
295.00,-6048,2
300.00,-6051,3
305.00,-6043,3
310.00,-6042,3
315.00,-6048,3
320.00,-6045,4
325.00,-6043,3
330.00,-6042,3
335.00,-6043,2
340.00,-6049,4
345.00,-6044,3
350.00,-6043,4
355.00,-6053,2
360.00,-6050,3
365.00,-6054,2
370.00,-6049,2
375.00,-6039,2
380.00,-6044,4
385.00,-6055,4
390.00,-6047,4
395.00,-6048,3
400.00,-6051,2
405.00,-6044,4
410.00,-6049,3
415.00,-6055,1
420.00,-6049,4
425.00,-6031,3
430.00,-6042,2
435.00,-6047,2
440.00,-6038,1
445.00,-6044,3
450.00,-6040,4
455.00,-6041,2
460.00,-6040,1
465.00,-6037,0
470.00,-6040,2
475.00,-6039,3
480.00,-6041,4
485.00,-6048,4
490.00,-6054,2
495.00,-6042,2
500.00,-6040,3
505.00,-6048,3
510.00,-6038,2
515.00,-6049,4
520.00,-6041,4
525.00,-6048,2
530.00,-6047,4
535.00,-6037,2
540.00,-6040,5
545.00,-6044,5
550.00,-6040,3
555.00,-6039,6
560.00,-6025,2
565.00,-6038,3
570.00,-6037,3
575.00,-6038,0
580.00,-6044,2
585.00,-6043,4
590.00,-6043,4
595.00,-6047,2
600.00,-6047,4
605.00,-6041,4
610.00,-6041,1
615.00,-6044,5
620.00,-6040,2
625.00,-6042,2
630.00,-6041,3
635.00,-6047,2
640.00,-6054,3
645.00,-6053,3
650.00,-6044,2
655.00,-6043,2
660.00,-6041,2
665.00,-6041,3
670.00,-6044,5
675.00,-6041,3
680.00,-6040,1
685.00,-6037,2
690.00,-6041,3
695.00,-6047,3
700.00,-6044,2
705.00,-6039,4
710.00,-6035,3
715.00,-6054,2
720.00,-6044,2
725.00,-6029,2
730.00,-6036,3
735.00,-6041,2
740.00,-6051,5
745.00,-6038,2
750.00,-6031,4
755.00,-6033,4
760.00,-6034,3
765.00,-6026,3
770.00,-6041,4
775.00,-6036,2
780.00,-6036,5
785.00,-6037,2
790.00,-6036,2
795.00,-6039,4
800.00,-6040,4
805.00,-6041,2
810.00,-6045,2
815.00,-6040,2
820.00,-6054,2
825.00,-6037,2
830.00,-6047,2
835.00,-6053,3
840.00,-6045,1
845.00,-6059,-1
850.00,-6044,2
855.00,-6041,2
860.00,-6042,3
865.00,-6042,2
870.00,-6053,2
875.00,-6034,4
880.00,-6038,3
885.00,-6034,2
890.00,-6035,3
895.00,-6036,4
900.00,-6040,2
905.00,-6036,2
910.00,-6047,1
915.00,-6036,2
920.00,-6042,3
925.00,-6042,1
930.00,-6035,2
935.00,-6047,2
940.00,-6040,2
945.00,-6032,3
950.00,-6035,3
955.00,-6026,3
960.00,-6035,3
965.00,-6027,3
970.00,-6038,4
975.00,-6041,0
980.00,-6044,2
985.00,-6038,3
990.00,-6046,3
995.00,-6039,2
1000.00,-6041,2
1005.00,-6032,2
1010.00,-6032,6
1015.00,-6031,3
1020.00,-6030,3
1025.00,-6048,4
1030.00,-6037,1
1035.00,-6044,5
1040.00,-6039,4
1045.00,-6038,2
1050.00,-6040,4
1055.00,-6025,2
1060.00,-6041,3
1065.00,-6041,4
1070.00,-6039,1
1075.00,-6039,2
1080.00,-6039,3
1085.00,-6042,4
1090.00,-6044,2
1095.00,-6045,4
1100.00,-6040,4
1105.00,-6041,1
1110.00,-6049,5
1115.00,-6038,2
1120.00,-6041,2
1125.00,-6043,3
1130.00,-6048,2
1135.00,-6054,2
1140.00,-6052,3
1145.00,-6044,2
1150.00,-6043,1
1155.00,-6044,3
1160.00,-6043,3
1165.00,-6046,4
1170.00,-6043,4
1175.00,-6046,1
1180.00,-6042,3
1185.00,-6041,3
1190.00,-6050,1
1195.00,-6041,2
1200.00,-6039,4
1205.00,-6038,3
1210.00,-6053,2
1215.00,-6041,2
1220.00,-6038,3
1225.00,-6034,3
1230.00,-6049,2
1235.00,-6044,4
1240.00,-6046,2
1245.00,-6037,4
1250.00,-6033,4
1255.00,-6033,3
1260.00,-6050,2
1265.00,-6044,2
1270.00,-6055,4
1275.00,-6045,5
1280.00,-6047,5
1285.00,-6042,4
1290.00,-6045,3
1295.00,-6046,4
1300.00,-6036,2
1305.00,-6052,1
1310.00,-6052,1
1315.00,-6034,3
1320.00,-6045,2
1325.00,-6043,3
1330.00,-6038,2
1335.00,-6040,1
1340.00,-6041,5
1345.00,-6034,3
1350.00,-6039,3
1355.00,-6038,3
1360.00,-6048,2
1365.00,-6031,2
1370.00,-6035,3
1375.00,-6045,3
1380.00,-6038,2
1385.00,-6038,2
1390.00,-6040,2
1395.00,-6038,1
1400.00,-6046,3
1405.00,-6043,4
1410.00,-6047,5
1415.00,-6043,2
1420.00,-6036,2
1425.00,-6042,1
1430.00,-6034,2
1435.00,-6037,3
1440.00,-6049,4
1445.00,-6036,3
1450.00,-6046,2
1455.00,-6049,2
1460.00,-6055,4
1465.00,-6043,2
1470.00,-6037,5
1475.00,-6034,1
1480.00,-6050,2
1485.00,-6057,2
1490.00,-6042,3
1495.00,-6045,2
1500.00,-6051,3
1505.00,-6050,2
1510.00,-6049,4
1515.00,-6045,4
1520.00,-6052,6
1525.00,-6048,3
1530.00,-6047,2
1535.00,-6059,2
1540.00,-6055,0
1545.00,-6050,2
1550.00,-6055,2
1555.00,-6059,5
1560.00,-6059,2
1565.00,-6061,1
1570.00,-6056,5
1575.00,-6054,4
1580.00,-6056,4
1585.00,-6054,5
1590.00,-6058,1
1595.00,-6061,2
1600.00,-6054,3
1605.00,-6060,4
1610.00,-6063,4
1615.00,-6058,4
1620.00,-6068,2
1625.00,-6058,1
1630.00,-6059,3
1635.00,-6062,4
1640.00,-6058,3
1645.00,-6043,3
1650.00,-6041,3
1655.00,-6039,4
1660.00,-6049,2
1665.00,-6049,3
1670.00,-6052,3
1675.00,-6055,3
1680.00,-6055,2
1685.00,-6051,2
1690.00,-6043,4
1695.00,-6049,3
1700.00,-6048,0
1705.00,-6046,3
1710.00,-6057,5
1715.00,-6055,5
1720.00,-6040,5
1725.00,-6044,4
1730.00,-6050,2
1735.00,-6047,2
1740.00,-6059,1
1745.00,-6053,3
1750.00,-6054,2
1755.00,-6043,2
1760.00,-6041,2
1765.00,-6044,4
1770.00,-6049,2
1775.00,-6051,4
1780.00,-6043,3
1785.00,-6046,2
1790.00,-6047,2
1795.00,-6056,4
1800.00,-6050,5
1805.00,-6044,4
1810.00,-6042,4
1815.00,-6046,3
1820.00,-6044,4
1825.00,-6042,2
1830.00,-6053,1
1835.00,-6052,1
1840.00,-6049,4
1845.00,-6052,5
1850.00,-6056,2
1855.00,-6053,2
1860.00,-6051,4
1865.00,-6055,3
1870.00,-6048,3
1875.00,-6047,3
1880.00,-6050,5
1885.00,-6050,3
1890.00,-6056,4
1895.00,-6057,3
1900.00,-6045,3
1905.00,-6054,2
1910.00,-6051,2
1915.00,-6054,1
1920.00,-6062,3
1925.00,-6053,2
1930.00,-6045,4
1935.00,-6051,4
1940.00,-6047,3
1945.00,-6055,3
1950.00,-6059,3
1955.00,-6053,2
1960.00,-6058,2
1965.00,-6062,2
1970.00,-6042,1
1975.00,-6054,2
1980.00,-6050,3
1985.00,-6045,5
1990.00,-6050,3
1995.00,-6042,3
2000.00,-6050,1
2005.00,-6049,2
2010.00,-6054,2
2015.00,-6049,2
2020.00,-6045,5
2025.00,-6052,2
2030.00,-6042,4
2035.00,-6050,3
2040.00,-6053,4
2045.00,-6043,4
2050.00,-6046,6
2055.00,-6046,3
2060.00,-6046,2
2065.00,-6056,2
2070.00,-6056,0
2075.00,-6046,2
2080.00,-6056,3
2085.00,-6056,5
2090.00,-6060,2
2095.00,-6058,1
2100.00,-6053,5
2105.00,-6052,5
2110.00,-6055,4
2115.00,-6053,5
2120.00,-6057,2
2125.00,-6064,2
2130.00,-6058,4
2135.00,-6065,4
2140.00,-6060,3
2145.00,-6058,3
2150.00,-6062,2
2155.00,-6059,1
2160.00,-6060,3
2165.00,-6057,4
2170.00,-6055,3
2175.00,-6052,4
2180.00,-6067,2
2185.00,-6057,2
2190.00,-6070,3
2195.00,-6066,2
2200.00,-6066,3
2205.00,-6066,5
2210.00,-6063,1
2215.00,-6055,5
2220.00,-6050,2
2225.00,-6067,3
2230.00,-6062,3
2235.00,-6056,1
2240.00,-6066,2
2245.00,-6061,1
2250.00,-6055,2
2255.00,-6049,3
2260.00,-6049,2
2265.00,-6059,4
2270.00,-6044,2
2275.00,-6064,1
2280.00,-6059,2
2285.00,-6060,3
2290.00,-6049,4
2295.00,-6064,2
2300.00,-6058,2
2305.00,-6060,2
2310.00,-6053,2
2315.00,-6048,5
2320.00,-6056,0
2325.00,-6057,2
2330.00,-6067,6
2335.00,-6062,1
2340.00,-6058,1
2345.00,-6053,4
2350.00,-6055,3
2355.00,-6045,3
2360.00,-6061,2
