Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
58,15042,12026,15050,12031,15030,12026,15045,12018,15057,12012,15041,12018,15046,11929,15058,12035
59,16648,12027,16667,12029,16857,12028,16725,12015,16658,12007,16665,12017,16670,11927,16678,12031
60,23546,12023,23570,12027,23825,12022,23649,12011,23557,12003,23567,12011,23575,11923,23585,12025
61,31853,12025,31875,12026,32135,12021,31956,12013,31866,12007,31872,12013,31880,11925,31893,12027
62,32767,12028,32767,12034,32767,12029,32767,12018,32767,12010,32767,12016,32767,11929,32767,12034
63,32767,12027,32767,12032,32767,12031,32767,12020,32767,12008,32767,12018,32767,11929,32767,12032
64,30366,12027,30363,12033,30127,12031,30298,12019,30388,12010,30343,12019,30356,11932,30374,12036
65,21864,12026,21864,12034,21649,12031,21803,12020,21883,12010,21847,12019,21853,11932,21872,12035
66,15535,12028,15541,12034,15485,12029,15525,12020,15549,12012,15531,12019,15537,11930,15550,12036
67,15886,12027,15905,12030,16073,12025,15955,12014,15895,12011,15900,12017,15905,11929,15913,12031
68,30751,12025,30776,12029,31040,12023,30859,12014,30764,12008,30772,12014,30780,11926,30792,12030
69,32767,12026,32767,12033,32767,12028,32767,12017,32767,12013,32767,12016,32767,11927,32767,12033
70,32767,12029,32767,12033,32767,12029,32767,12019,32767,12009,32767,12017,32767,11931,32767,12033
71,32767,12029,32767,12035,32767,12033,32767,12020,32767,12013,32767,12022,32767,11934,32767,12035
72,31165,12032,31164,12040,30929,12034,31101,12025,31189,12012,31146,12022,31156,11935,31179,12039
73,22746,12030,22744,12037,22521,12034,22683,12022,22767,12013,22727,12023,22735,11934,22754,12039
74,16005,12031,16011,12037,15923,12034,15987,12020,16020,12014,15998,12023,16005,11934,16017,12039
75,15413,12026,15428,12029,15577,12027,15473,12014,15421,12009,15426,12017,15430,11926,15438,12030
76,21601,12025,21625,12028,21870,12024,21697,12014,21609,12006,21619,12014,21627,11924,21637,12028
77,29863,12027,29885,12031,30148,12025,29968,12017,29873,12009,29883,12015,29893,11927,29903,12031
78,32767,12025,32767,12028,32767,12025,32767,12013,32767,12006,32767,12015,32767,11926,32767,12029
79,32767,12028,32767,12035,32767,12031,32767,12021,32767,12010,32767,12019,32767,11931,32767,12034
80,32767,12026,32767,12037,32767,12034,32767,12020,32767,12012,32767,12019,32767,11933,32767,12036
81,32177,12029,32176,12034,31944,12035,32113,12020,32201,12012,32157,12019,32167,11934,32187,12036
82,23583,12028,23583,12036,23356,12033,23518,12021,23604,12012,23566,12023,23573,11935,23594,12036
83,16447,12026,16453,12035,16348,12031,16422,12019,16465,12010,16441,12018,16447,11932,16461,12036
84,15145,12026,15158,12032,15292,12028,15198,12017,15153,12009,15153,12016,15160,11928,15166,12033
85,20965,12023,20991,12029,21232,12023,21064,12014,20978,12007,20986,12012,20993,11925,21002,12029
86,29188,12025,29216,12028,29479,12025,29296,12014,29197,12009,29209,12015,29218,11925,29230,12028
87,32767,12024,32767,12032,32767,12028,32767,12014,32767,12008,32767,12015,32767,11929,32767,12032
88,32767,12028,32767,12033,32767,12028,32767,12017,32767,12009,32767,12017,32767,11932,32767,12035
89,32647,12032,32648,12039,32419,12039,32585,12025,32673,12015,32627,12024,32640,11938,32660,12043
90,24120,12001,24121,12010,23894,12007,24058,11993,24146,11985,24104,11993,24113,11909,24131,12009
91,16758,11742,16763,11750,16646,11746,16731,11735,16776,11726,16751,11738,16757,11665,16771,11751
92,15026,11810,15044,11815,15168,11812,15082,11798,15035,11794,15038,11799,15044,11725,15050,11815
93,20510,11816,20532,11819,20771,11812,20604,11803,20517,11798,20527,11804,20536,11726,20542,11820
94,28827,11821,28855,11821,29116,11819,28933,11808,28839,11800,28847,11809,28855,11731,28868,11823
95,32767,11818,32767,11822,32767,11819,32767,11808,32767,11802,32767,11808,32767,11729,32767,11821
96,32767,11824,32767,11827,32767,11822,32767,11813,32767,11806,32767,11812,32767,11734,32767,11828
97,32767,11824,32767,11828,32717,11827,32767,11815,32767,11805,32767,11813,32767,11737,32767,11831
98,24549,11825,24548,11831,24319,11829,24485,11817,24570,11808,24532,11816,24540,11739,24557,11833
99,17160,11825,17162,11830,17032,11828,17126,11815,17177,11809,17151,11817,17158,11737,17170,11833
100,14796,11820,14810,11827,14920,11821,14843,11812,14804,11804,14805,11810,14812,11733,14820,11827
101,19931,11823,19954,11827,20188,11821,20024,11812,19941,11805,19950,11814,19957,11732,19965,11828
102,28056,11823,28081,11827,28346,11822,28161,11812,28066,11806,28076,11812,28085,11731,28094,11827
103,32767,11822,32767,11824,32767,11821,32767,11811,32767,11807,32767,11811,32767,11729,32767,11824
104,32767,11826,32767,11829,32767,11827,32767,11812,32767,11808,32767,11814,32767,11733,32767,11830
105,32767,11829,32767,11834,32767,11832,32767,11821,32767,11812,32767,11819,32767,11739,32767,11835
106,32767,11820,32767,11829,32767,11828,32767,11816,32767,11806,32767,11815,32767,11735,32767,11831
