Index,TemperatureRaw16,VGNDRaw16,TemperatureBaselineRaw16,TemperatureRaw16_Filtered,TemperatureNoiseRaw16,VGNDBaselineRaw16,VGNDRaw16_Filtered,VGNDNoiseRaw16
93,37,-1,37,55.048870,0.088172,-1,-1.001595,0.139011
94,35,-4,37,53.048870,-1.911828,-1,-4.001595,-2.860989
95,32,0,37,50.048870,-4.911828,-1,-0.001595,1.139011
96,38,-2,37,56.048870,1.088172,-1,-2.001595,-0.860989
97,39,-1,37,57.048870,2.088172,-1,-1.001595,0.139011
98,34,0,37,52.048870,-2.911828,-1,-0.001595,1.139011
99,39,-2,37,57.048870,2.088172,-1,-2.001595,-0.860989
100,35,0,37,53.048870,-1.911828,-1,-0.001595,1.139011
101,35,-4,37,53.048870,-1.911828,-1,-4.001595,-2.860989
102,30,1,37,48.048870,-6.911828,-1,0.998405,2.139011
103,41,-1,37,59.048870,4.088172,-1,-1.001595,0.139011
104,35,-2,37,53.048870,-1.911828,-1,-2.001595,-0.860989
105,42,1,37,60.048870,5.088172,-1,0.998405,2.139011
106,37,-1,37,55.048870,0.088172,-1,-1.001595,0.139011
107,43,-2,37,61.048870,6.088172,-1,-2.001595,-0.860989
108,29,-2,37,47.048870,-7.911828,-1,-2.001595,-0.860989
109,38,-1,37,56.048870,1.088172,-1,-1.001595,0.139011
110,35,-1,37,53.048870,-1.911828,-1,-1.001595,0.139011
111,26,-2,37,44.048870,-10.911828,-1,-2.001595,-0.860989
112,38,-2,37,56.048870,1.088172,-1,-2.001595,-0.860989
113,38,-4,37,56.048870,1.088172,-1,-4.001595,-2.860989
114,35,-1,36,54.048870,-0.911828,-1,-1.001595,0.139011
115,36,-1,36,55.048870,0.088172,-1,-1.001595,0.139011
116,32,-1,36,51.048870,-3.911828,-1,-1.001595,0.139011
117,41,-1,36,60.048870,5.088172,-1,-1.001595,0.139011
118,41,1,36,60.048870,5.088172,-1,0.998405,2.139011
119,29,-1,36,48.048870,-6.911828,-1,-1.001595,0.139011
120,41,0,36,60.048870,5.088172,-1,-0.001595,1.139011
121,31,1,36,50.048870,-4.911828,-1,0.998405,2.139011
122,37,1,36,56.048870,1.088172,-1,0.998405,2.139011
123,35,0,36,54.048870,-0.911828,-1,-0.001595,1.139011
124,40,1,36,59.048870,4.088172,-1,0.998405,2.139011
125,35,-2,36,54.048870,-0.911828,-1,-2.001595,-0.860989
126,47,-2,36,66.048870,11.088172,-1,-2.001595,-0.860989
127,44,-1,35,64.048870,9.088172,-1,-1.001595,0.139011
128,37,-1,35,57.048870,2.088172,-1,-1.001595,0.139011
129,48,-2,35,68.048870,13.088172,-1,-2.001595,-0.860989
130,39,1,35,59.048870,4.088172,-1,0.998405,2.139011
131,35,1,35,55.048870,0.088172,-1,0.998405,2.139011
132,50,1,35,70.048870,15.088172,-1,0.998405,2.139011
133,39,-2,35,59.048870,4.088172,-1,-2.001595,-0.860989
134,38,-3,35,58.048870,3.088172,-1,-3.001595,-1.860989
135,26,-2,35,46.048870,-8.911828,-1,-2.001595,-0.860989
136,37,-2,35,57.048870,2.088172,-1,-2.001595,-0.860989
137,32,-1,35,52.048870,-2.911828,-1,-1.001595,0.139011
138,39,-2,35,59.048870,4.088172,-1,-2.001595,-0.860989
139,35,-2,35,55.048870,0.088172,-1,-2.001595,-0.860989
140,35,-1,35,55.048870,0.088172,-1,-1.001595,0.139011
141,44,-2,35,64.048870,9.088172,-1,-2.001595,-0.860989
142,38,0,35,58.048870,3.088172,-1,-0.001595,1.139011
143,29,-1,35,49.048870,-5.911828,-1,-1.001595,0.139011
144,35,-1,35,55.048870,0.088172,-1,-1.001595,0.139011
145,43,1,35,63.048870,8.088172,-1,0.998405,2.139011
146,47,-3,35,67.048870,12.088172,-1,-3.001595,-1.860989
147,41,-2,35,61.048870,6.088172,-1,-2.001595,-0.860989
148,43,-2,35,63.048870,8.088172,-1,-2.001595,-0.860989
149,35,-3,35,55.048870,0.088172,-1,-3.001595,-1.860989
150,42,0,35,62.048870,7.088172,-1,-0.001595,1.139011
151,37,0,35,57.048870,2.088172,-1,-0.001595,1.139011
152,30,1,35,50.048870,-4.911828,-1,0.998405,2.139011
153,46,1,35,66.048870,11.088172,-1,0.998405,2.139011
154,35,-2,35,55.048870,0.088172,-1,-2.001595,-0.860989
155,35,-1,35,55.048870,0.088172,-1,-1.001595,0.139011
156,46,0,35,66.048870,11.088172,-1,-0.001595,1.139011
157,32,-1,35,52.048870,-2.911828,-1,-1.001595,0.139011
158,38,-1,35,58.048870,3.088172,-1,-1.001595,0.139011
159,35,-2,35,55.048870,0.088172,-1,-2.001595,-0.860989
160,32,0,35,52.048870,-2.911828,-1,-0.001595,1.139011
161,37,-2,35,57.048870,2.088172,-1,-2.001595,-0.860989
162,38,-2,35,58.048870,3.088172,-1,-2.001595,-0.860989
163,36,-2,35,56.048870,1.088172,-1,-2.001595,-0.860989
164,32,-1,35,52.048870,-2.911828,-1,-1.001595,0.139011
165,31,0,35,51.048870,-3.911828,-1,-0.001595,1.139011
166,38,1,35,58.048870,3.088172,-1,0.998405,2.139011
167,27,-2,35,47.048870,-7.911828,-1,-2.001595,-0.860989
168,40,0,35,60.048870,5.088172,-1,-0.001595,1.139011
169,42,0,35,62.048870,7.088172,-1,-0.001595,1.139011
170,27,-3,35,47.048870,-7.911828,-1,-3.001595,-1.860989
171,38,0,35,58.048870,3.088172,-1,-0.001595,1.139011
172,41,-2,35,61.048870,6.088172,-1,-2.001595,-0.860989
173,26,0,35,46.048870,-8.911828,-1,-0.001595,1.139011
174,37,-2,35,57.048870,2.088172,-1,-2.001595,-0.860989
