Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
200ml,VET6_8chips_raw_stream_20260525_235507.bin,1,-233.748534,-560.059799,-1033.773560,-770.864017,-261.096399,-63.104630,0.528589,0.412518,-0.311980,-0.460066,-0.188067,-0.077803,0.088794,-0.836111,-0.459722,0.762500,0.104167,-0.556250,-0.469444,-680.875694,-806.165972,-705.843853,-939.017258,-1752.068158,-1544.789506,0.916565,-0.233748,-0.435702,0.620362,-0.179265,-0.314317,-0.265636,-0.315278,0.117361,-1.020139,-0.950694,-0.624306,1.032639,1033,157.623291,1679,256.195068,1924,293.579102,2195,334.930420,-28144,-4294.433594,191,29.144287,-27849,-4249.420166,998,152.282715
200ml,VET6_8chips_raw_stream_20260525_235507.bin,2,-234.143596,-561.664738,-1032.538992,-776.283771,-261.676646,-64.512037,-0.662576,0.158929,-0.311980,-0.613207,-0.585122,0.331715,-0.095322,-0.669444,-1.126389,-1.570833,-0.895833,-0.556250,-0.136111,-680.678164,-805.363503,-707.541384,-941.029604,-1751.055813,-1543.993210,1.328346,0.632095,0.986200,0.235982,-0.164540,-0.367801,0.234364,-0.148611,-0.049306,0.146528,-0.617361,-0.457639,-0.634028,1030,157.165527,1682,256.652832,1922,293.273926,2186,333.557129,-28140,-4293.823242,182,27.770996,-27846,-4248.962402,991,151.214600
200ml,VET6_8chips_raw_stream_20260525_235507.bin,3,-235.439892,-563.868441,-1030.150103,-771.771425,-260.188992,-62.808333,-0.456686,-0.032236,0.225542,-1.113207,-0.638606,-1.805965,-0.391351,-0.002778,0.206944,0.095833,-0.229167,0.277083,0.530556,-679.184336,-802.357330,-706.553729,-939.517258,-1752.568158,-1545.690741,-0.916303,0.473904,-0.282561,1.082841,-0.212239,0.876848,0.142306,0.351389,0.450694,0.813194,-0.117361,-0.457639,-0.134028,1021,155.792236,1683,256.805420,1916,292.358398,2201,335.845947,-28149,-4295.196533,196,29.907227,-27852,-4249.877930,1000,152.587891
200ml,VET6_8chips_raw_stream_20260525_235507.bin,4,-234.742361,-562.565972,-1031.051337,-771.573894,-259.386523,-63.012037,-0.179063,-0.103969,0.188020,-0.344446,1.036071,0.352226,0.404678,0.163889,0.040278,-0.070833,0.770833,0.777083,-0.136111,-680.276929,-805.264738,-708.245087,-940.233308,-1749.352109,-1543.999383,-0.394031,-0.096068,-1.166941,0.504743,-1.197514,0.082738,-0.765636,-0.815278,-0.382639,-0.186806,0.715972,0.209028,-0.300694,1036,158.081055,1694,258.483887,1922,293.273926,2201,335.845947,-28149,-4295.196533,194,29.602051,-27851,-4249.725342,1000,152.587891
200ml,VET6_8chips_raw_stream_20260525_235507.bin,5,-233.748534,-560.059799,-1029.952572,-773.172659,-261.287757,-64.209568,0.648021,0.087196,0.303639,-0.575685,0.208988,-0.408910,0.200707,-0.169444,-0.126389,0.429167,-0.395833,-0.056250,0.363889,-681.079398,-805.462269,-708.343853,-939.153061,-1743.432356,-1544.122840,0.328346,-0.353180,0.333059,0.235982,0.250763,-0.797830,-0.153723,0.351389,0.450694,-0.353472,0.715972,1.209028,0.699306,1023,156.097412,1670,254.821777,1926,293.884277,2189,334.014893,-28149,-4295.196533,185,28.228760,-27851,-4249.725342,988,150.756836
200ml,VET6_8chips_raw_stream_20260525_235507.bin,6,-234.149769,-560.158565,-1032.761214,-773.271425,-261.688992,-63.104630,0.045076,-0.276885,-0.580741,0.193076,-0.393957,-0.997130,-0.391351,-0.669444,-1.126389,1.095833,0.770833,0.277083,0.197222,-679.888040,-802.153627,-705.146322,-938.733308,-1747.852109,-1545.308025,-0.671654,-0.024335,-0.551322,-0.379638,-1.197514,-0.090178,-0.653723,-0.148611,-0.049306,-0.186806,-0.617361,-0.457639,-0.300694,1027,156.707764,1691,258.026123,1922,293.273926,2206,336.608887,-28145,-4294.586182,194,29.602051,-27849,-4249.420166,1002,152.893066
200ml,VET6_8chips_raw_stream_20260525_235507.bin,7,-232.853472,-557.954861,-1030.168621,-771.370190,-260.090226,-62.407099,1.355673,0.570709,0.034879,-0.075685,0.883666,0.107577,0.904678,0.163889,-0.459722,-0.737500,-0.062500,0.110417,0.030556,-683.474460,-809.067207,-709.232742,-941.134542,-1749.950874,-1544.098148,-0.188141,-0.042583,0.064298,0.235982,0.423680,0.790390,0.142306,0.684722,1.117361,-0.520139,0.215972,0.209028,-0.800694,1026,156.555176,1686,257.263184,1922,293.273926,2193,334.625244,-28146,-4294.738770,183,27.923584,-27849,-4249.420166,1005,153.350830
200ml,VET6_8chips_raw_stream_20260525_235507.bin,8,-234.748534,-561.059799,-1028.934053,-777.283771,-262.676646,-62.703395,-0.629602,0.603683,-0.196361,0.308695,0.089556,-0.203020,0.404678,-0.169444,-0.626389,0.595833,-0.062500,0.110417,-0.302778,-682.783102,-806.258565,-709.850026,-940.035777,-1748.549640,-1541.394444,0.466026,0.076849,-0.820083,0.004743,-0.331671,-0.433749,-0.061665,-0.148611,-0.049306,0.479861,0.549306,0.875694,0.532639,1030,157.165527,1686,257.263184,1926,293.884277,2196,335.083008,-28141,-4293.975830,182,27.770996,-27845,-4248.809814,996,151.977539
200ml,VET6_8chips_raw_stream_20260525_235507.bin,9,-233.649769,-559.658565,-1029.051337,-772.870190,-261.590226,-63.907099,0.925644,1.033712,-0.196361,0.424315,-0.895719,0.161061,-0.003264,-1.169444,-1.626389,0.095833,-0.562500,-0.889583,-0.469444,-680.480633,-804.561034,-709.751260,-939.251826,-1743.833591,-1540.209259,-0.188141,0.163307,-0.166941,-0.032779,-0.059833,0.240929,-0.061665,-0.315278,-0.382639,-0.353472,-0.284028,-0.290972,-0.300694,1032,157.470703,1685,257.110596,1925,293.731689,2187,333.709717,-28149,-4295.196533,191,29.144287,-27852,-4249.877930,1002,152.893066
200ml,VET6_8chips_raw_stream_20260525_235507.bin,10,-235.051003,-560.757330,-1025.335288,-772.975129,-260.485288,-62.407099,-0.543144,-0.342833,0.188020,-0.075685,1.313694,0.140551,0.608649,0.663889,0.540278,0.429167,0.270833,0.777083,0.697222,-682.573225,-808.468441,-713.547557,-940.134542,-1748.950874,-1545.104321,0.155429,0.354472,-0.551322,-0.417159,-0.125781,0.551526,0.234364,0.351389,0.950694,0.146528,-1.117361,-0.457639,-0.134028,1034,157.775879,1679,256.195068,1919,292.816162,2197,335.235596,-28146,-4294.738770,196,29.907227,-27848,-4249.267578,993,151.519775
