Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
200ml,VET6_8chips_raw_stream_20260527_221504.bin,1,12.269782,21.740767,3.521748,-5.275408,-1.169740,0.947961,-20.824128,-101.516653,-34.155748,-21.621343,-91.590826,-17.517991,-109.265107,1.823488,1.921238,-0.956399,0.512658,0.694093,0.314346,0.148174,0.647184,0.642809,1.211596,0.644945,0.823905,-15.551963,-131.278017,-26.161558,-90.493588,-87.057364,-64.546959,-114.653331,0.139241,0.263713,0.389592,1.158931,1.227145,1.045007,931,142.059326,1682,256.652832,1904,290.527344,2178,332.336426,-28484,-4346.313477,144,21.972656,-28174,-4299.011230,-28399,-4333.343506
200ml,VET6_8chips_raw_stream_20260527_221504.bin,2,11.171016,20.339532,1.120514,-4.479111,0.533964,0.941788,-21.432859,-104.814786,-34.002607,-22.968202,-94.868449,-18.550964,-112.949222,-0.676512,-0.578762,0.043601,0.012658,-0.305907,-0.852321,0.851878,0.443481,-0.252253,-0.393343,0.249883,0.021436,-15.393772,-130.278017,-26.699080,-89.877968,-86.090338,-64.063446,-113.561273,0.639241,0.763713,-0.443741,0.992264,1.393812,0.545007,934,142.517090,1685,257.110596,1910,291.442871,2176,332.031250,-28482,-4346.008301,139,21.209717,-28170,-4298.400879,-28397,-4333.038330
200ml,VET6_8chips_raw_stream_20260527_221504.bin,3,11.572251,20.438298,3.929156,-4.479111,0.533964,-1.064385,-20.447584,-104.537163,-34.886987,-22.352582,-94.987881,-17.207394,-112.745251,0.156821,0.587904,0.376934,-1.154008,-1.139241,-0.685654,-0.753060,0.048419,1.247747,0.514065,-0.657525,-0.274861,-15.877285,-133.952695,-27.199080,-92.109208,-87.919684,-66.460501,-116.633475,-0.194093,0.097046,-0.277075,-0.341069,-0.772855,-0.121660,926,141.296387,1682,256.652832,1904,290.527344,2179,332.489014,-28490,-4347.229004,134,20.446777,-28181,-4300.079346,-28404,-4334.106445
200ml,VET6_8chips_raw_stream_20260527_221504.bin,4,13.473485,22.037063,3.830390,-6.479111,-1.466036,0.947961,-20.982319,-105.230090,-33.502607,-21.815060,-93.214282,-17.431533,-112.449222,-0.176512,-0.078762,0.210267,0.345992,-0.139241,-0.185654,0.351878,-0.056519,1.445278,1.810361,1.546179,1.021436,-17.173157,-134.469182,-26.277178,-92.146729,-87.543139,-65.752849,-116.909648,0.972574,0.930380,0.556259,0.325598,0.060478,-0.121660,927,141.448975,1688,257.568359,1891,288.543701,2183,333.099365,-28490,-4347.229004,138,21.057129,-28179,-4299.774170,-28406,-4334.411621
200ml,VET6_8chips_raw_stream_20260527_221504.bin,5,12.072251,20.938298,3.126686,-4.775408,-0.669740,0.244257,-20.758181,-99.829511,-34.502607,-20.468202,-93.382674,-16.464506,-109.284962,-0.009845,-0.245429,0.043601,-0.820675,-0.972574,-0.685654,0.253112,-0.457754,0.148982,-0.590874,-0.552586,-0.577330,-17.313099,-131.722771,-27.045939,-91.415490,-87.693283,-64.012223,-114.949359,-0.194093,-0.402954,-0.443741,-0.507736,-0.106188,-0.621660,938,143.127441,1685,257.110596,1907,290.985107,2192,334.472656,-28492,-4347.534180,157,23.956299,-28179,-4299.774170,-28406,-4334.411621
200ml,VET6_8chips_raw_stream_20260527_221504.bin,6,13.473485,22.037063,3.422983,-6.182815,-0.262333,0.040553,-20.513532,-100.913708,-34.655748,-21.468202,-91.277967,-16.637423,-108.508789,-0.843179,-0.912096,0.210267,-0.987342,-0.805907,-0.185654,0.351878,-0.056519,0.346512,-0.492108,-0.151352,0.725139,-15.671395,-132.066342,-26.545939,-92.262349,-86.660309,-66.878066,-114.561273,-0.527426,-0.569620,-0.110408,0.158931,-0.272855,-0.288326,929,141.754150,1676,255.737305,1908,291.137695,2176,332.031250,-28485,-4346.466064,136,20.751953,-28176,-4299.316406,-28402,-4333.801270
200ml,VET6_8chips_raw_stream_20260527_221504.bin,7,13.769782,23.240767,2.620514,-5.380346,-0.064802,0.441788,-19.722945,-95.220781,-31.811944,-19.852582,-89.643310,-14.392773,-104.568356,-0.843179,-0.412096,-0.623066,0.345992,-0.139241,0.481013,0.950643,0.844715,1.050216,-0.090874,-0.052586,-0.478564,-16.187882,-133.092638,-26.930319,-90.456066,-88.421445,-66.048720,-116.633475,-0.194093,0.097046,0.889592,0.492264,0.393812,0.045007,932,142.211914,1692,258.178711,1912,291.748047,2181,332.794189,-28489,-4347.076416,153,23.345947,-28175,-4299.163818,-28401,-4333.648682
200ml,VET6_8chips_raw_stream_20260527_221504.bin,8,12.269782,21.740767,3.725452,-4.676642,-0.268505,-0.459447,-19.221183,-95.617836,-32.502607,-19.736963,-89.260980,-14.789828,-104.548500,0.156821,0.087904,0.210267,-0.487342,-0.805907,-1.018987,0.450643,0.344715,0.642809,0.711596,0.144945,0.323905,-16.498479,-133.555640,-26.545939,-90.377968,-88.164333,-64.513985,-116.725533,-0.360759,-0.736287,-0.610408,-2.007736,-1.606188,-1.121660,930,141.906738,1684,256.958008,1907,290.985107,2177,332.183838,-28486,-4346.618652,127,19.378662,-28173,-4298.858643,-28403,-4333.953857
200ml,VET6_8chips_raw_stream_20260527_221504.bin,9,13.374720,21.635829,2.324217,-6.077877,-1.367271,0.947961,-20.585264,-96.360724,-33.502607,-19.890104,-91.347438,-14.909260,-106.212760,0.990155,0.754571,-0.123066,-0.320675,-0.972574,-0.852321,-0.148122,-0.556519,-0.653488,0.007892,0.348648,-0.379799,-16.187882,-133.713831,-26.583460,-89.993588,-87.576113,-64.063446,-116.613619,0.639241,0.263713,0.556259,-0.674402,-0.939522,0.211674,927,141.448975,1682,256.652832,1897,289.459229,2172,331.420898,-28487,-4346.771240,143,21.820068,-28174,-4299.011230,-28402,-4333.801270
200ml,VET6_8chips_raw_stream_20260527_221504.bin,10,12.467313,22.543236,4.225452,-6.281580,-0.663567,-0.058212,-19.221183,-93.844237,-32.965085,-18.468202,-90.589825,-14.927509,-104.456443,-0.343179,-0.412096,-0.123066,0.012658,-0.805907,-0.852321,1.049409,1.245950,0.439105,0.310361,0.046179,0.725139,-16.140183,-131.952695,-25.508417,-89.877968,-86.627335,-63.666391,-114.949359,-0.194093,-0.402954,-0.610408,-1.507736,-1.606188,-0.954993,928,141.601562,1682,256.652832,1898,289.611816,2178,332.336426,-28485,-4346.466064,146,22.277832,-28173,-4298.858643,-28401,-4333.648682
200ml,VET6_8chips_raw_stream_20260527_221504.bin,11,12.263609,23.246940,3.422983,-5.979111,-0.966036,0.244257,-19.585264,-96.292514,-32.618226,-19.352582,-89.069815,-14.703370,-104.844529,0.323488,0.421238,-0.123066,0.512658,1.194093,-0.018987,0.148174,0.647184,0.346512,-1.393343,-0.750117,0.626374,-15.790827,-133.105101,-26.699080,-91.646729,-86.609087,-65.633417,-115.429504,0.472574,-0.069620,0.222925,0.492264,0.393812,-0.621660,929,141.754150,1688,257.568359,1904,290.527344,2180,332.641602,-28492,-4347.534180,149,22.735596,-28181,-4300.079346,-28407,-4334.564209
200ml,VET6_8chips_raw_stream_20260527_221504.bin,12,13.072251,21.938298,3.626686,-5.077877,-0.367271,1.546726,-20.188210,-94.288991,-33.733846,-19.390104,-91.225744,-13.995719,-104.752471,0.323488,0.921238,-0.289733,0.345992,0.860759,-1.185654,-0.450591,-0.254050,-0.554722,-0.393343,0.249883,-0.379799,-15.121934,-133.092638,-25.814699,-90.224827,-88.316738,-65.254611,-116.613619,0.305907,-0.402954,-0.277075,-0.507736,-0.606188,-0.954993,928,141.601562,1685,257.110596,1913,291.900635,2167,330.657959,-28489,-4347.076416,140,21.362305,-28181,-4300.079346,-28406,-4334.411621
