"model","best_val_loss","test_loss","acc","macro_f1","per_class_acc_low","per_class_acc_mid","per_class_acc_high"
"b0_physics",,,"0.4262295081967213","0.34259259259259256","0.125","0.16666666666666666","0.9523809523809523"
"b1_temp_only","1.135731861239574","1.135731861239574","0.4262295081967213","0.2740928270042194","0.0","0.9583333333333334","0.14285714285714285"
"b2_weighted_temp_only","1.0472869443111732","1.0472869443111732","0.4918032786885246","0.46836419753086417","1.0","0.20833333333333334","0.42857142857142855"
"b3_no_container_one_hot","1.142624659616439","1.142624659616439","0.3770491803278688","0.333164812942366","0.4375","0.5833333333333334","0.09523809523809523"
"b4_no_tau_hat","1.1246198376671213","1.1246198376671213","0.22950819672131148","0.18790849673202614","0.375","0.3333333333333333","0.0"
"b5_full_fusion","1.0851338886823811","1.0851338886823811","0.39344262295081966","0.299797111827187","0.0","0.4166666666666667","0.6666666666666666"
"b6_direct_pressure16_temp","1.2209606913269544","1.2209606913269544","0.3114754098360656","0.2518518518518518","0.375","0.0","0.6190476190476191"
