Index,Raw16,Visual_mV
0,2696,419.921875
1,2664,415.0390625
2,2680,417.48046875
3,2696,419.921875
4,2664,415.0390625
5,2680,417.48046875
6,2696,419.921875
7,2648,412.59765625
8,2680,417.48046875
9,2696,419.921875
10,2664,415.0390625
11,2680,417.48046875
12,2696,419.921875
13,2664,415.0390625
14,2680,417.48046875
15,2696,419.921875
16,2664,415.0390625
17,2680,417.48046875
18,2696,419.921875
19,2664,415.0390625
20,2680,417.48046875
21,2696,419.921875
22,2664,415.0390625
23,2680,417.48046875
24,2696,419.921875
25,2648,412.59765625
26,2680,417.48046875
27,2696,419.921875
28,2664,415.0390625
29,2680,417.48046875
30,2696,419.921875
31,2664,415.0390625
32,2680,417.48046875
33,2696,419.921875
34,2664,415.0390625
35,2680,417.48046875
36,2680,417.48046875
37,2664,415.0390625
38,2696,419.921875
39,2696,419.921875
40,2648,412.59765625
41,2680,417.48046875
42,2680,417.48046875
43,2664,415.0390625
44,2680,417.48046875
45,2680,417.48046875
46,2664,415.0390625
47,2680,417.48046875
48,2680,417.48046875
49,2664,415.0390625
50,2680,417.48046875
51,2696,419.921875
52,2648,412.59765625
53,2680,417.48046875
54,2696,419.921875
55,2664,415.0390625
56,2680,417.48046875
57,2680,417.48046875
58,2664,415.0390625
59,2680,417.48046875
60,2680,417.48046875
61,2664,415.0390625
62,2680,417.48046875
63,2696,419.921875
64,2664,415.0390625
65,2680,417.48046875
66,2696,419.921875
67,2664,415.0390625
68,2680,417.48046875
69,2680,417.48046875
70,2664,415.0390625
71,2664,415.0390625
72,2680,417.48046875
73,2664,415.0390625
74,2680,417.48046875
75,2680,417.48046875
76,2664,415.0390625
77,2680,417.48046875
78,2680,417.48046875
79,2664,415.0390625
80,2696,419.921875
81,2696,419.921875
82,2664,415.0390625
83,2680,417.48046875
84,2696,419.921875
85,2664,415.0390625
86,2680,417.48046875
87,2680,417.48046875
88,2664,415.0390625
89,2680,417.48046875
90,2680,417.48046875
91,2648,412.59765625
92,2680,417.48046875
93,2696,419.921875
94,2664,415.0390625
95,2680,417.48046875
96,2680,417.48046875
97,2664,415.0390625
98,2680,417.48046875
99,2680,417.48046875
100,2648,412.59765625
101,2680,417.48046875
102,2680,417.48046875
103,2664,415.0390625
104,2680,417.48046875
105,2680,417.48046875
106,2648,412.59765625
107,2680,417.48046875
108,2680,417.48046875
109,2648,412.59765625
110,2680,417.48046875
111,2680,417.48046875
112,2648,412.59765625
113,2680,417.48046875
114,2680,417.48046875
115,2664,415.0390625
116,2696,419.921875
117,2680,417.48046875
118,2648,412.59765625
119,2680,417.48046875
120,2680,417.48046875
121,2664,415.0390625
122,2680,417.48046875
123,2680,417.48046875
124,2664,415.0390625
125,2680,417.48046875
126,2680,417.48046875
127,2664,415.0390625
128,2680,417.48046875
129,2680,417.48046875
130,2648,412.59765625
131,2680,417.48046875
132,2680,417.48046875
133,2648,412.59765625
134,2680,417.48046875
135,2680,417.48046875
136,2664,415.0390625
137,2680,417.48046875
138,2680,417.48046875
139,2664,415.0390625
140,2680,417.48046875
141,2680,417.48046875
142,2664,415.0390625
143,2680,417.48046875
144,2680,417.48046875
145,2648,412.59765625
146,2680,417.48046875
147,2680,417.48046875
148,2648,412.59765625
149,2680,417.48046875
150,2680,417.48046875
151,2648,412.59765625
152,2680,417.48046875
153,2680,417.48046875
154,2648,412.59765625
155,2680,417.48046875
156,2680,417.48046875
157,2664,415.0390625
158,2680,417.48046875
159,2680,417.48046875
160,2648,412.59765625
161,2680,417.48046875
162,2680,417.48046875
163,2648,412.59765625
164,2680,417.48046875
165,2680,417.48046875
166,2648,412.59765625
167,2696,419.921875
168,2696,419.921875
169,2664,415.0390625
170,2680,417.48046875
171,2680,417.48046875
172,2648,412.59765625
173,2680,417.48046875
174,2680,417.48046875
175,2664,415.0390625
176,2680,417.48046875
177,2680,417.48046875
178,2648,412.59765625
179,2680,417.48046875
180,2680,417.48046875
181,2664,415.0390625
182,2680,417.48046875
183,2680,417.48046875
184,2664,415.0390625
185,2696,419.921875
186,2680,417.48046875
187,2664,415.0390625
188,2680,417.48046875
189,2680,417.48046875
190,2648,412.59765625
191,2680,417.48046875
192,2680,417.48046875
193,2648,412.59765625
194,2680,417.48046875
195,2680,417.48046875
196,2664,415.0390625
197,2680,417.48046875
198,2680,417.48046875
199,2664,415.0390625
200,2680,417.48046875
201,2680,417.48046875
202,2664,415.0390625
203,2680,417.48046875
204,2680,417.48046875
205,2648,412.59765625
206,2680,417.48046875
207,2680,417.48046875
208,2664,415.0390625
209,2680,417.48046875
210,2680,417.48046875
211,2664,415.0390625
212,2680,417.48046875
213,2680,417.48046875
214,2664,415.0390625
215,2680,417.48046875
216,2680,417.48046875
217,2664,415.0390625
218,2680,417.48046875
219,2680,417.48046875
220,2664,415.0390625
221,2680,417.48046875
222,2680,417.48046875
223,2664,415.0390625
224,2664,415.0390625
225,2680,417.48046875
226,2648,412.59765625
227,2680,417.48046875
228,2680,417.48046875
229,2648,412.59765625
230,2680,417.48046875
231,2680,417.48046875
232,2664,415.0390625
233,2680,417.48046875
234,2664,415.0390625
235,2664,415.0390625
236,2680,417.48046875
237,2680,417.48046875
238,2648,412.59765625
239,2680,417.48046875
240,2680,417.48046875
241,2664,415.0390625
242,2680,417.48046875
243,2680,417.48046875
244,2664,415.0390625
245,2680,417.48046875
246,2680,417.48046875
247,2664,415.0390625
248,2680,417.48046875
249,2680,417.48046875
250,2664,415.0390625
251,2680,417.48046875
252,2680,417.48046875
253,2648,412.59765625
254,2680,417.48046875
255,2680,417.48046875
256,2664,415.0390625
257,2680,417.48046875
258,2680,417.48046875
259,2664,415.0390625
260,2664,415.0390625
261,2680,417.48046875
262,2664,415.0390625
263,2680,417.48046875
264,2680,417.48046875
265,2664,415.0390625
266,2680,417.48046875
267,2680,417.48046875
268,2648,412.59765625
269,2680,417.48046875
270,2664,415.0390625
271,2648,412.59765625
272,2680,417.48046875
273,2680,417.48046875
274,2664,415.0390625
275,2664,415.0390625
276,2680,417.48046875
277,2664,415.0390625
278,2680,417.48046875
279,2680,417.48046875
280,2664,415.0390625
281,2680,417.48046875
282,2680,417.48046875
283,2648,412.59765625
284,2680,417.48046875
285,2680,417.48046875
286,2648,412.59765625
287,2680,417.48046875
288,2680,417.48046875
289,2648,412.59765625
290,2680,417.48046875
291,2680,417.48046875
292,2648,412.59765625
293,2680,417.48046875
294,2680,417.48046875
295,2648,412.59765625
296,2680,417.48046875
297,2680,417.48046875
298,2648,412.59765625
299,2664,415.0390625
300,2680,417.48046875
301,2648,412.59765625
302,2664,415.0390625
303,2680,417.48046875
304,2648,412.59765625
305,2680,417.48046875
306,2680,417.48046875
307,2648,412.59765625
308,2680,417.48046875
309,2680,417.48046875
310,2664,415.0390625
311,2680,417.48046875
312,2680,417.48046875
313,2648,412.59765625
314,2680,417.48046875
315,2680,417.48046875
316,2664,415.0390625
317,2680,417.48046875
318,2680,417.48046875
319,2664,415.0390625
320,2680,417.48046875
321,2664,415.0390625
322,2664,415.0390625
323,2680,417.48046875
324,2680,417.48046875
325,2648,412.59765625
326,2664,415.0390625
327,2680,417.48046875
328,2648,412.59765625
329,2680,417.48046875
330,2680,417.48046875
331,2632,410.15625
332,2680,417.48046875
333,2680,417.48046875
334,2648,412.59765625
335,2680,417.48046875
336,2680,417.48046875
337,2648,412.59765625
338,2664,415.0390625
339,2680,417.48046875
340,2648,412.59765625
341,2680,417.48046875
342,2680,417.48046875
343,2648,412.59765625
344,2664,415.0390625
345,2680,417.48046875
346,2648,412.59765625
347,2664,415.0390625
348,2664,415.0390625
349,2648,412.59765625
350,2680,417.48046875
351,2680,417.48046875
352,2648,412.59765625
353,2680,417.48046875
354,2680,417.48046875
355,2648,412.59765625
356,2680,417.48046875
357,2680,417.48046875
358,2648,412.59765625
359,2664,415.0390625
360,2680,417.48046875
361,2648,412.59765625
362,2680,417.48046875
363,2680,417.48046875
364,2648,412.59765625
365,2680,417.48046875
366,2680,417.48046875
367,2648,412.59765625
368,2664,415.0390625
369,2680,417.48046875
370,2648,412.59765625
371,2680,417.48046875
372,2680,417.48046875
373,2648,412.59765625
374,2680,417.48046875
375,2680,417.48046875
376,2648,412.59765625
377,2664,415.0390625
378,2696,419.921875
379,2648,412.59765625
380,2680,417.48046875
381,2680,417.48046875
382,2648,412.59765625
383,2680,417.48046875
384,2680,417.48046875
385,2664,415.0390625
386,2680,417.48046875
387,2680,417.48046875
388,2664,415.0390625
389,2680,417.48046875
390,2680,417.48046875
391,2648,412.59765625
392,2664,415.0390625
393,2680,417.48046875
394,2648,412.59765625
395,2664,415.0390625
396,2680,417.48046875
397,2648,412.59765625
398,2664,415.0390625
399,2680,417.48046875
400,2648,412.59765625
401,2680,417.48046875
402,2680,417.48046875
403,2648,412.59765625
404,2680,417.48046875
405,2680,417.48046875
406,2648,412.59765625
407,2664,415.0390625
408,2664,415.0390625
409,2648,412.59765625
410,2680,417.48046875
411,2680,417.48046875
412,2648,412.59765625
413,2680,417.48046875
414,2680,417.48046875
415,2664,415.0390625
416,2664,415.0390625
417,2680,417.48046875
418,2648,412.59765625
419,2664,415.0390625
420,2680,417.48046875
421,2648,412.59765625
422,2664,415.0390625
423,2680,417.48046875
424,2648,412.59765625
425,2664,415.0390625
426,2680,417.48046875
427,2648,412.59765625
428,2680,417.48046875
429,2696,419.921875
430,2648,412.59765625
431,2664,415.0390625
432,2680,417.48046875
433,2648,412.59765625
434,2680,417.48046875
435,2680,417.48046875
436,2648,412.59765625
437,2680,417.48046875
438,2680,417.48046875
439,2648,412.59765625
440,2680,417.48046875
441,2680,417.48046875
442,2664,415.0390625
443,2664,415.0390625
444,2680,417.48046875
445,2648,412.59765625
446,2664,415.0390625
447,2680,417.48046875
448,2648,412.59765625
449,2664,415.0390625
450,2680,417.48046875
451,2664,415.0390625
452,2664,415.0390625
453,2680,417.48046875
454,2648,412.59765625
455,2664,415.0390625
456,2680,417.48046875
457,2648,412.59765625
458,2664,415.0390625
459,2680,417.48046875
460,2648,412.59765625
461,2664,415.0390625
462,2680,417.48046875
463,2648,412.59765625
464,2664,415.0390625
465,2680,417.48046875
466,2648,412.59765625
467,2664,415.0390625
468,2680,417.48046875
469,2648,412.59765625
470,2664,415.0390625
471,2680,417.48046875
472,2632,410.15625
473,2664,415.0390625
474,2680,417.48046875
475,2648,412.59765625
476,2664,415.0390625
477,2680,417.48046875
478,2648,412.59765625
479,2664,415.0390625
480,2680,417.48046875
481,2648,412.59765625
482,2680,417.48046875
483,2680,417.48046875
484,2648,412.59765625
485,2680,417.48046875
486,2680,417.48046875
487,2664,415.0390625
488,2664,415.0390625
489,2680,417.48046875
490,2664,415.0390625
491,2664,415.0390625
492,2680,417.48046875
493,2664,415.0390625
494,2680,417.48046875
495,2680,417.48046875
496,2648,412.59765625
497,2664,415.0390625
498,2680,417.48046875
499,2664,415.0390625
500,2680,417.48046875
501,2680,417.48046875
502,2664,415.0390625
503,2664,415.0390625
504,2680,417.48046875
505,2664,415.0390625
506,2664,415.0390625
507,2680,417.48046875
508,2648,412.59765625
509,2664,415.0390625
510,2680,417.48046875
511,2664,415.0390625
512,2664,415.0390625
513,2680,417.48046875
514,2664,415.0390625
515,2664,415.0390625
516,2696,419.921875
517,2664,415.0390625
518,2664,415.0390625
519,2680,417.48046875
520,2648,412.59765625
521,2664,415.0390625
522,2680,417.48046875
523,2664,415.0390625
524,2664,415.0390625
525,2680,417.48046875
526,2664,415.0390625
527,2664,415.0390625
528,2680,417.48046875
529,2664,415.0390625
530,2664,415.0390625
531,2680,417.48046875
532,2664,415.0390625
533,2664,415.0390625
534,2680,417.48046875
535,2664,415.0390625
536,2664,415.0390625
537,2696,419.921875
538,2648,412.59765625
539,2664,415.0390625
540,2680,417.48046875
541,2664,415.0390625
542,2664,415.0390625
543,2696,419.921875
544,2664,415.0390625
545,2664,415.0390625
546,2696,419.921875
