Force_N,Loading_LSB,Unloading_LSB,Error_LSB,Error_percentFS
0.0,-2.863711001642036,-2.884359400998336,-0.02064839935630003,0.00027540239734696924
1.0,-1092.891699604743,-1067.7248840803709,25.16681552437217,0.3356677294642842
2.0,-1958.3641975308642,-1938.0685240963855,20.29567343447866,0.27069784069830166
3.0,-2814.5895170789163,-2811.70420624152,2.885310837396446,0.03848344406743207
4.0,-3562.705623901582,-3527.703196347032,35.00242755454974,0.46685228695683034
5.0,-4273.127182044887,-4245.383307573416,27.743874471471827,0.37003979869294124
6.0,-4956.7358630952385,-4941.471604938271,15.264258156967117,0.20359027436522092
7.0,-5552.8784846318795,-5535.439071566731,17.439413065148074,0.23260186339821243
8.0,-6087.148604269294,-6053.95684039088,33.19176387841435,0.44270217688814767
9.0,-6715.59670781893,-6693.087853323147,22.508854495782543,0.30021661159809204
10.0,-7500.401697312588,-7510.290980392157,-9.889283079568486,0.1319004064750909
