Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
9800,-9,7,1,-1,-3,1,-15,6,-5,0,-5,-1,-10,9,0,-2,-6,1,-9,8,0,-2,-3,-1,-10,9,0,-2,-4,1,-10,6,2,-1,-5,2,-2
9801,-9,7,0,-1,-4,1,-14,8,-3,-2,-3,1,-10,7,3,-1,-4,0,-9,7,3,1,-3,0,-8,8,1,1,-3,1,-8,9,0,-2,-3,0,-2
9802,-8,7,0,-3,-5,1,-11,7,-6,-1,-6,-2,-9,7,2,-2,-7,2,-9,7,-1,1,-4,2,-9,7,1,-3,-6,2,-7,6,0,-3,-3,1,-2
9803,-9,8,0,-1,-3,1,-11,8,-5,1,-5,-2,-8,7,1,-2,-4,1,-7,7,0,-2,-3,1,-12,5,2,-1,-2,1,-9,6,0,-2,-4,0,0
9804,-8,6,0,0,-4,-1,-10,8,-4,-1,-5,1,-8,6,0,-1,-4,1,-9,5,1,0,-6,-2,-8,6,0,-2,-3,1,-10,7,0,0,-3,0,0
9805,-10,8,-1,-2,-5,0,-14,7,-6,-2,-3,2,-8,8,1,-1,-4,0,-7,8,0,-2,-4,1,-10,8,-1,0,-4,-2,-7,9,1,-2,-6,1,0
9806,-10,6,1,-1,-3,0,-11,6,-4,-2,-4,-2,-10,6,1,0,-3,0,-10,6,1,-2,-4,1,-7,9,-1,0,-5,2,-9,9,1,0,-3,-2,-2
9807,-10,7,-3,-1,-4,-2,-13,6,-7,-1,-3,1,-9,6,0,-1,-5,-2,-8,6,0,0,-2,0,-8,6,0,0,-4,1,-8,8,0,0,-6,0,1
9808,-10,8,1,1,-3,-1,-11,7,-2,0,-5,-2,-10,7,1,-2,-4,2,-10,7,0,-2,-4,-1,-10,6,-1,1,-3,-3,-9,6,2,1,-3,2,-1
9809,-8,9,0,0,-4,1,-11,8,-6,0,-3,0,-8,5,-3,1,-3,0,-10,6,0,-2,-6,-2,-10,6,-1,1,-3,-1,-9,9,0,1,-3,0,1
9810,-7,7,2,-2,-6,-1,-13,7,-4,0,-3,1,-10,7,0,0,-3,1,-10,9,0,-1,-4,0,-8,7,0,-1,-4,-2,-10,8,0,-2,-5,1,0
9811,-10,6,-1,1,-4,1,-13,8,-6,0,-4,-1,-8,7,-1,0,-3,1,-8,8,-1,-1,-6,1,-8,5,0,0,-6,1,-8,6,2,0,-4,1,-1
9812,-10,7,1,-1,-6,0,-13,9,-4,-1,-3,2,-10,7,-2,-2,-5,1,-9,5,0,-3,-4,0,-10,8,1,0,-5,0,-10,6,0,0,-4,1,0
9813,-10,8,3,-2,-3,1,-11,8,-6,-2,-4,0,-11,6,1,1,-5,1,-9,7,-1,-2,-3,-1,-9,9,0,-1,-4,1,-8,5,1,-2,-4,0,-2
9814,-8,8,1,-2,-6,0,-11,6,-4,-1,-6,1,-7,6,0,-1,-3,1,-10,7,-3,-1,-3,0,-10,7,0,1,-3,-1,-9,6,3,-2,-4,0,-2
9815,-10,8,0,0,-3,0,-11,6,-5,-1,-2,-1,-7,6,0,-3,-3,-1,-10,8,2,-2,-6,1,-9,6,2,-1,-6,1,-8,7,3,0,-4,-1,-2
9816,-8,8,2,-1,-4,0,-10,8,-6,1,-3,1,-7,8,1,0,-3,0,-7,8,0,1,-6,1,-7,7,0,-2,-4,0,-9,6,0,-1,-3,-1,-2
9817,-7,7,0,0,-4,1,-13,7,-7,-2,-4,0,-10,8,0,-1,-6,-2,-10,6,1,1,-5,-1,-10,9,-3,-2,-3,1,-8,6,1,1,-6,1,0
9818,-9,8,0,-1,-5,0,-10,6,-6,-1,-3,1,-8,8,1,-2,-5,0,-10,7,3,0,-4,-2,-10,7,1,0,-5,-1,-8,9,-1,0,-4,0,-1
9819,-7,7,0,0,-3,1,-13,9,-6,-1,-6,-1,-8,7,2,-2,-3,-1,-7,6,1,0,-5,0,-9,7,1,1,-6,0,-10,7,1,-2,-3,1,0
9820,-9,6,3,0,-4,0,-12,6,-2,-3,-3,0,-9,8,1,1,-6,-2,-9,8,1,1,-5,-1,-8,9,2,-3,-4,-1,-9,6,0,0,-3,-1,-2
9821,-10,8,1,1,-3,2,-11,9,-6,-1,-4,0,-10,9,0,-1,-7,0,-7,8,0,-1,-6,1,-9,9,1,-1,-4,-1,-10,7,0,-2,-3,0,-4
9822,-8,9,0,-1,-5,0,-13,6,-6,0,-4,0,-6,8,0,-2,-4,1,-7,7,1,-1,-6,0,-9,7,0,-1,-3,-1,-9,9,2,-2,-4,-1,-3
9823,-10,8,-1,-3,-6,-2,-13,7,-5,-2,-3,1,-10,8,0,1,-4,-2,-8,6,0,-2,-6,1,-9,6,2,0,-4,1,-7,7,0,-2,-6,2,-1
9824,-10,8,0,-1,-4,0,-13,8,-5,-2,-4,0,-8,10,0,0,-3,1,-11,7,3,-1,-5,-1,-10,9,0,0,-3,1,-9,7,1,1,-4,1,-3
9825,-9,7,0,-2,-3,-1,-13,6,-6,-2,-6,0,-9,9,1,-1,-5,1,-10,6,3,0,-4,0,-9,8,-2,-2,-5,1,-10,7,2,-1,-5,1,-2
9826,-9,6,0,-1,-4,-2,-13,9,-4,-1,-5,-1,-9,8,1,0,-4,1,-8,7,1,-1,-6,1,-10,8,0,0,-4,0,-10,8,0,-3,-4,1,-2
9827,-9,9,-1,-1,-2,1,-13,6,-5,-1,-4,-1,-8,9,1,-1,-3,0,-10,6,3,2,-3,-2,-9,6,2,-2,-5,1,-9,6,-2,-2,-4,-1,0
9828,-10,6,0,0,-5,1,-10,9,-6,1,-5,0,-8,6,1,0,-3,1,-7,6,0,0,-6,1,-10,6,1,0,-5,-1,-6,7,-1,-2,-3,0,-2
9829,-9,7,-1,-1,-3,1,-10,8,-5,-1,-6,2,-9,6,0,-4,-3,3,-8,9,2,1,-6,1,-10,8,2,-2,-5,1,-8,8,0,-1,-4,-2,0
9830,-7,6,3,1,-6,1,-10,9,-6,-1,-6,1,-7,7,-1,1,-6,1,-10,8,0,1,-4,1,-8,9,-1,-2,-5,4,-8,8,2,-1,-5,4,-2
9831,-10,9,0,-1,-6,0,-12,6,-4,-2,-4,-2,-8,9,1,-2,-5,-1,-9,4,2,0,-3,-2,-7,8,0,-1,-4,0,-8,7,0,-1,-2,-2,-2
9832,-10,7,0,0,-3,1,-13,8,-5,-2,-4,-1,-10,9,0,-1,-5,0,-11,6,2,0,-3,-1,-8,9,0,1,-4,1,-10,9,3,-1,-4,0,-1
9833,-10,8,-1,0,-2,-1,-10,8,-4,-1,-5,0,-8,8,0,-2,-3,1,-7,7,1,-1,-4,1,-10,8,3,-1,-6,-2,-11,7,1,1,-3,0,0
9834,-8,5,1,-1,-6,1,-10,8,-4,-2,-3,-2,-9,9,2,1,-5,0,-8,8,1,-2,-5,1,-10,8,0,-2,-5,1,-10,6,1,-2,-5,-1,-1
9835,-10,7,0,-1,-4,0,-13,7,-6,1,-5,0,-9,8,1,-2,-8,1,-8,9,3,-1,-3,0,-9,9,0,-2,-3,0,-9,8,0,0,-5,1,0
9836,-7,8,0,-2,-4,1,-11,9,-3,-1,-6,1,-9,9,1,1,-4,1,-9,6,1,0,-3,1,-9,9,0,-2,-6,0,-7,9,1,0,-5,0,-1
9837,-9,7,0,-4,-4,-2,-12,7,-5,-1,-4,1,-9,7,2,-1,-6,-1,-8,7,0,-2,-3,1,-8,6,3,1,-3,0,-10,8,0,-1,-5,0,-1
9838,-9,9,1,-1,-4,1,-11,8,-4,-3,-3,-2,-8,6,3,0,-5,0,-9,9,0,-1,-3,-1,-9,8,-1,-1,-6,0,-10,7,3,-2,-6,-1,-1
9839,-8,6,0,0,-5,1,-13,9,-6,0,-6,0,-7,7,3,-1,-3,-1,-9,10,0,0,-4,1,-10,6,-1,1,-4,2,-8,7,1,1,-4,2,0
9840,-7,8,2,-1,-3,-1,-13,6,-4,-1,-4,-1,-8,8,2,-1,-2,-1,-11,9,2,-1,-5,-1,-7,8,3,-1,-6,1,-9,9,-1,-2,-5,1,-1
9841,-8,8,1,-1,-5,1,-13,9,-3,-2,-3,0,-8,6,-1,0,-4,-1,-10,7,0,-1,-6,-1,-9,6,1,0,-5,1,-7,6,2,0,-5,1,-1
9842,-10,6,3,-1,-5,1,-14,8,-6,0,-3,1,-10,6,-1,1,-3,0,-10,8,2,-1,-5,1,-9,8,3,-1,-5,1,-10,8,0,1,-3,-2,-2
9843,-8,9,0,0,-6,1,-11,7,-4,0,-6,-1,-9,5,2,-1,-3,-2,-10,7,0,-2,-4,1,-8,6,0,-1,-6,1,-8,6,-1,-1,-5,-1,-2
