Force_N,Loading_LSB,Unloading_LSB,Error_LSB,Error_percentFS
0.0,-1.5295566502463054,-1.5008319467554077,0.02872470349089773,0.00038313520331416807
1.0,-1088.3889328063242,-1066.3268933539412,22.062039452383033,0.2942674055379709
2.0,-1955.4753086419753,-1936.5368975903614,18.93841105161391,0.25260389444948156
3.0,-2811.718492343934,-2809.1451831750337,2.573309168900323,0.03432325530981574
4.0,-3557.565905096661,-3525.6681887366817,31.897716359979313,0.42545741322311537
5.0,-4268.985868661679,-4244.434312210201,24.551556451478064,0.32747302598604966
6.0,-4953.310267857143,-4939.438683127572,13.871584729570714,0.18502166392554417
7.0,-5550.396711937098,-5533.841392649903,16.555319287194834,0.220817792707253
8.0,-6082.875205254516,-6053.508143322476,29.367061932040087,0.3917030944335886
9.0,-6711.390946502058,-6691.099312452254,20.291634049804088,0.2706534234448041
10.0,-7498.805516265912,-7507.41725490196,-8.611738636048358,0.11486490136465276
