Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-6,5,1,0,-6,2,-7,3,2,1,-8,1,-5,3,3,1,-6,5,-7,-29,1,-2,-7,3,-7,4,2,-3,-6,4,-6,4,1,-1,-6,2,-1
1,-6,5,2,-1,-6,5,-5,5,2,-1,-6,2,-8,4,2,-1,-5,2,-7,-29,3,-2,-6,4,-7,5,1,0,-6,4,-7,2,3,-2,-8,3,-1
2,-7,3,-1,-3,-9,2,-7,1,2,-1,-5,6,-5,3,4,1,-6,4,-7,-29,2,-2,-6,3,-5,3,1,0,-5,3,-6,3,0,-1,-6,5,-2
3,-7,4,1,-2,-8,5,-6,4,0,-3,-6,1,-7,3,2,-2,-5,3,-6,-31,3,1,-6,7,-6,2,0,0,-7,1,-5,4,1,-2,-7,5,-1
4,-7,3,-2,-1,-6,4,-6,4,3,1,-6,4,-7,3,0,1,-6,4,-7,-29,1,0,-5,4,-7,3,2,-1,-7,4,-7,2,0,-1,-5,3,-2
5,-5,3,2,0,-7,4,-6,3,0,1,-7,4,-7,3,3,-2,-9,4,-8,-29,1,-4,-6,3,-7,3,3,0,-7,1,-8,3,2,-1,-7,4,-2
6,-7,4,0,-1,-6,4,-6,1,2,-2,-9,4,-7,3,0,-2,-6,4,-5,-29,2,-1,-6,1,-6,4,1,-2,-7,4,-7,2,0,0,-6,2,-1
7,-8,2,0,0,-6,6,-6,3,1,-2,-8,3,-6,5,0,-1,-6,1,-5,-29,3,-1,-8,4,-7,3,0,0,-5,2,-5,4,3,-1,-6,4,-2
8,-7,2,-2,-1,-7,5,-6,1,3,0,-6,2,-6,3,1,-3,-7,3,-6,-28,2,-2,-8,5,-6,3,2,2,-6,3,-7,1,1,-2,-7,4,-2
9,-6,3,0,-2,-8,4,-7,3,0,-1,-4,3,-5,3,3,-1,-8,3,-7,-32,0,-2,-6,2,-7,5,1,-2,-6,3,-7,3,1,0,-7,4,-2
10,-7,4,3,1,-6,1,-7,3,-1,1,-9,4,-5,3,3,-2,-4,2,-7,-29,3,-2,-6,4,-7,4,2,-1,-8,4,-6,3,2,0,-5,3,-2
11,-7,3,-1,-2,-7,3,-6,3,0,1,-6,3,-8,3,0,-2,-6,2,-6,-30,4,1,-6,1,-5,6,1,1,-5,4,-6,2,2,-2,-5,1,0
12,-7,3,2,-2,-6,6,-5,4,2,1,-7,2,-4,3,2,-1,-5,4,-7,-32,0,0,-9,4,-7,3,2,-1,-5,1,-5,4,3,1,-7,5,1
13,-6,3,3,-3,-7,4,-8,3,3,-2,-6,1,-6,1,1,-4,-7,3,-6,-29,3,-1,-6,3,-5,4,-2,0,-6,5,-7,4,2,-1,-6,4,-2
14,-6,1,0,0,-7,4,-7,4,3,-1,-7,4,-7,0,3,-2,-6,2,-6,-31,1,-2,-6,1,-6,6,1,-1,-6,4,-5,4,2,1,-6,2,-2
15,-4,5,2,-2,-7,7,-5,3,0,-1,-4,2,-5,3,3,-1,-8,5,-7,-29,2,1,-9,4,-7,4,0,0,-6,3,-5,2,2,0,-6,4,-1
16,-7,3,1,0,-7,4,-7,3,0,1,-6,3,-6,3,1,0,-9,4,-5,-28,0,0,-6,4,-6,5,3,-2,-6,4,-7,3,2,-1,-6,4,-2
17,-5,3,3,-2,-6,4,-5,3,1,1,-7,3,-6,5,3,-2,-6,3,-7,-30,2,-1,-6,4,-6,2,2,-1,-6,4,-6,2,-1,0,-6,3,-1
18,-5,4,1,-1,-7,4,-7,2,1,-2,-8,2,-5,3,2,1,-6,3,-5,-28,2,0,-6,4,-7,3,1,-2,-6,2,-5,2,2,-4,-7,3,-3
19,-9,2,2,-1,-8,2,-6,3,2,-1,-7,4,-7,3,1,1,-9,4,-7,-29,0,1,-6,4,-8,3,0,-2,-6,4,-7,3,1,-1,-6,3,-2
20,-7,3,0,-2,-7,2,-5,4,3,-2,-7,3,-6,0,-1,-2,-6,2,-8,-30,3,-2,-6,4,-6,0,1,1,-9,4,-5,5,2,-3,-7,4,1
21,-5,5,3,-1,-5,5,-6,2,1,-1,-8,2,-5,4,1,1,-5,1,-6,-30,2,-2,-9,4,-7,3,1,-1,-6,2,-6,1,2,0,-6,4,-1
22,-6,5,0,-2,-6,4,-8,4,2,-2,-6,1,-7,3,1,-2,-7,5,-5,-30,3,1,-4,5,-6,3,1,-1,-5,3,-7,0,-3,-2,-9,4,0
