Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
200ml,VET6_8chips_raw_stream_20260528_212149.bin,1,-8.735294,32.069328,-36.107143,-15.882353,13.918067,-10.308824,2.178571,-1.951681,0.483193,-0.329832,-1.046218,0.695378,-1.498950,-2.880252,-4.365546,-5.430672,-4.716387,-5.720588,-2.352941,-0.325630,-3.932773,-8.434874,-27.401261,-104.418067,-134.262605,-0.493697,0.002101,0.460084,0.464286,-4.287815,-0.149160,-2.142857,-5.243697,-2.180672,-5.363445,-5.277311,-1.598739,-0.006303,934,142.517090,1675,255.584717,1886,287.780762,2126,324.401855,-28523,-4352.264404,141,21.514893,-28374,-4329.528809,-28447,-4340.667725
200ml,VET6_8chips_raw_stream_20260528_212149.bin,2,-8.735294,33.069328,-36.607143,-16.382353,11.918067,-9.808824,2.178571,-1.451681,0.483193,0.170168,-1.546218,-1.804622,-1.498950,-2.880252,-3.365546,-5.430672,-5.716387,-6.720588,-0.352941,1.174370,-4.932773,-6.434874,-27.401261,-105.418067,-136.762605,1.006303,0.502101,-1.039916,-0.035714,-3.787815,-1.649160,-1.642857,-4.243697,-1.180672,-5.863445,-4.777311,0.401261,-0.506303,943,143.890381,1677,255.889893,1876,286.254883,2137,326.080322,-28543,-4355.316162,135,20.599365,-28388,-4331.665039,-28462,-4342.956543
200ml,VET6_8chips_raw_stream_20260528_212149.bin,3,-9.735294,31.569328,-36.607143,-15.382353,13.418067,-10.808824,1.678571,-1.451681,0.483193,-0.829832,-1.546218,-0.304622,-1.498950,-2.380252,-3.865546,-6.930672,-4.716387,-7.220588,-2.352941,-0.825630,-2.932773,-5.434874,-27.401261,-104.918067,-134.762605,0.506303,0.502101,-2.039916,-0.035714,-4.287815,-0.649160,-1.892857,-4.243697,0.319328,-4.363445,-4.277311,0.401261,-0.006303,938,143.127441,1667,254.364014,1874,285.949707,2124,324.096680,-28529,-4353.179932,144,21.972656,-28377,-4329.986572,-28450,-4341.125488
200ml,VET6_8chips_raw_stream_20260528_212149.bin,4,-6.735294,31.569328,-36.107143,-14.882353,12.918067,-9.808824,0.678571,-0.451681,0.983193,-0.329832,-2.546218,0.695378,-1.498950,-3.380252,-2.865546,-5.930672,-4.716387,-5.220588,-2.352941,0.174370,-3.432773,-6.934874,-27.901261,-104.418067,-134.262605,1.506303,0.002101,1.460084,1.464286,-3.787815,-1.149160,-1.892857,-4.243697,-0.680672,-4.863445,-3.777311,0.901261,1.993697,937,142.974854,1682,256.652832,1874,285.949707,2138,326.232910,-28534,-4353.942871,136,20.751953,-28380,-4330.444336,-28453,-4341.583252
200ml,VET6_8chips_raw_stream_20260528_212149.bin,5,-8.235294,34.069328,-36.607143,-14.382353,12.418067,-10.308824,1.178571,-0.951681,-0.016807,1.170168,-1.046218,0.195378,-0.998950,-2.380252,-4.365546,-6.930672,-5.716387,-7.220588,-1.852941,-0.325630,-5.432773,-7.434874,-29.401261,-105.918067,-133.262605,0.006303,0.502101,0.960084,-0.035714,-4.287815,-3.149160,-1.892857,-4.243697,-0.180672,-6.363445,-6.277311,-1.098739,-0.006303,940,143.432617,1669,254.669189,1880,286.865234,2129,324.859619,-28536,-4354.248047,135,20.599365,-28379,-4330.291748,-28453,-4341.583252
200ml,VET6_8chips_raw_stream_20260528_212149.bin,6,-9.235294,33.569328,-36.607143,-16.382353,12.418067,-9.808824,2.678571,-1.451681,-0.016807,-0.329832,-0.546218,-0.304622,-0.998950,-1.880252,-3.865546,-5.930672,-5.716387,-6.220588,0.147059,-0.325630,-2.932773,-6.934874,-29.401261,-103.918067,-132.762605,-1.993697,0.002101,0.460084,0.964286,-4.787815,-3.649160,-2.392857,-4.743697,-0.180672,-5.363445,-5.777311,0.901261,-0.006303,932,142.211914,1672,255.126953,1875,286.102295,2126,324.401855,-28533,-4353.790283,144,21.972656,-28376,-4329.833984,-28450,-4341.125488
200ml,VET6_8chips_raw_stream_20260528_212149.bin,7,-7.735294,32.069328,-37.107143,-14.882353,11.918067,-8.808824,1.178571,-2.451681,-1.016807,0.670168,-1.046218,0.695378,-1.748950,-4.380252,-5.365546,-6.430672,-4.716387,-6.720588,-0.852941,-0.325630,-2.932773,-7.434874,-27.401261,-104.418067,-135.262605,0.506303,-0.997899,0.960084,-1.035714,-4.287815,-1.149160,-2.642857,-5.243697,-1.680672,-7.863445,-4.777311,-2.098739,0.493697,934,142.517090,1669,254.669189,1882,287.170410,2126,324.401855,-28529,-4353.179932,143,21.820068,-28373,-4329.376221,-28448,-4340.820312
200ml,VET6_8chips_raw_stream_20260528_212149.bin,8,-9.235294,32.069328,-36.607143,-16.882353,12.418067,-9.808824,2.178571,0.048319,0.483193,1.170168,-0.546218,0.695378,-0.248950,-1.880252,-4.365546,-5.930672,-4.716387,-7.220588,-0.352941,-0.825630,-4.432773,-6.434874,-27.401261,-107.418067,-135.262605,-0.993697,0.502101,-1.039916,-0.035714,-4.287815,-1.649160,-1.892857,-3.743697,1.319328,-5.363445,-4.277311,-1.098739,-0.506303,926,141.296387,1666,254.211426,1877,286.407471,2123,323.944092,-28526,-4352.722168,125,19.073486,-28371,-4329.071045,-28446,-4340.515137
200ml,VET6_8chips_raw_stream_20260528_212149.bin,9,-7.735294,33.069328,-36.607143,-17.882353,12.918067,-8.808824,2.678571,-1.451681,-0.016807,0.670168,-2.046218,0.695378,-1.748950,-3.880252,-3.365546,-6.930672,-4.216387,-6.220588,-1.852941,-0.825630,-4.432773,-7.934874,-27.901261,-106.918067,-136.262605,0.006303,0.002101,-0.539916,0.464286,-3.787815,-2.149160,-1.892857,-4.243697,0.319328,-4.863445,-5.277311,-0.598739,0.493697,937,142.974854,1668,254.516602,1886,287.780762,2129,324.859619,-28532,-4353.637695,132,20.141602,-28376,-4329.833984,-28450,-4341.125488
200ml,VET6_8chips_raw_stream_20260528_212149.bin,10,-8.235294,32.069328,-37.107143,-17.382353,11.918067,-9.308824,1.178571,-0.951681,0.483193,0.170168,-1.046218,0.695378,-0.998950,-2.380252,-2.865546,-5.930672,-5.216387,-6.720588,-1.852941,-1.325630,-4.432773,-6.434874,-27.401261,-104.418067,-134.262605,-0.493697,-0.997899,0.960084,0.464286,-5.787815,-1.649160,-3.392857,-5.243697,-1.180672,-5.863445,-3.277311,-0.098739,0.993697,937,142.974854,1680,256.347656,1886,287.780762,2134,325.622559,-28530,-4353.332520,145,22.125244,-28381,-4330.596924,-28454,-4341.735840
200ml,VET6_8chips_raw_stream_20260528_212149.bin,11,-9.235294,31.069328,-38.107143,-16.882353,12.418067,-8.808824,2.178571,-0.951681,-1.516807,0.670168,-0.546218,0.695378,-0.748950,-3.880252,-4.865546,-6.930672,-6.216387,-7.720588,-1.852941,0.174370,-4.932773,-7.934874,-27.901261,-104.918067,-135.262605,-0.493697,0.002101,0.460084,-0.035714,-4.787815,-2.649160,-2.392857,-4.743697,-0.180672,-5.863445,-5.277311,-0.598739,0.993697,934,142.517090,1661,253.448486,1877,286.407471,2123,323.944092,-28530,-4353.332520,123,18.768311,-28375,-4329.681396,-28450,-4341.125488
200ml,VET6_8chips_raw_stream_20260528_212149.bin,12,-9.235294,32.069328,-40.107143,-16.382353,11.918067,-9.308824,1.178571,-0.451681,-1.016807,0.170168,-2.546218,-1.804622,-1.498950,-3.880252,-5.365546,-5.930672,-6.716387,-6.720588,0.647059,-0.325630,-3.932773,-6.434874,-29.401261,-103.918067,-134.762605,0.506303,-0.497899,-0.039916,0.964286,-2.787815,-0.649160,-1.642857,-3.743697,0.319328,-5.863445,-4.277311,0.401261,-0.506303,928,141.601562,1671,254.974365,1873,285.797119,2129,324.859619,-28539,-4354.705811,135,20.599365,-28386,-4331.359863,-28459,-4342.498779
200ml,VET6_8chips_raw_stream_20260528_212149.bin,13,-8.735294,31.069328,-38.107143,-15.882353,11.918067,-8.808824,1.678571,-1.451681,-0.516807,-0.829832,-2.046218,0.195378,-1.748950,-3.380252,-3.865546,-5.930672,-6.216387,-7.220588,-0.852941,-0.825630,-3.432773,-6.434874,-27.401261,-103.918067,-132.262605,1.006303,0.002101,0.460084,0.464286,-3.287815,-1.149160,-1.642857,-3.743697,-0.180672,-5.363445,-6.277311,-0.598739,0.493697,937,142.974854,1672,255.126953,1866,284.729004,2127,324.554443,-28532,-4353.637695,141,21.514893,-28376,-4329.833984,-28456,-4342.041016
200ml,VET6_8chips_raw_stream_20260528_212149.bin,14,-8.235294,31.569328,-38.607143,-16.882353,11.418067,-10.808824,4.178571,-0.451681,-0.016807,-0.829832,-1.546218,-0.304622,-0.998950,-3.880252,-4.865546,-5.930672,-4.716387,-6.720588,-0.352941,0.174370,-3.432773,-7.934874,-27.901261,-106.418067,-133.762605,0.006303,1.502101,0.960084,0.464286,-3.787815,-0.649160,-1.142857,-1.743697,0.819328,-5.863445,-4.777311,-1.098739,1.993697,942,143.737793,1669,254.669189,1882,287.170410,2126,324.401855,-28533,-4353.790283,132,20.141602,-28376,-4329.833984,-28450,-4341.125488
