Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
200ml,VET6_8chips_raw_stream_20260525_235809.bin,1,2.302083,-0.610417,-20.791667,-7.818750,-2.641667,1.158333,-98.235417,-2166.877083,-491.331250,-1072.475000,-1170.350000,-565.372917,-1668.613542,-3337.712500,-2030.583333,-204.054167,-6.235417,-16.716667,-39.095833,-0.464583,-0.077083,-0.518750,-0.531250,-0.054167,-1.916667,-10.639583,-0.058333,-13.189583,-1.147917,-6.622917,-0.110417,-3.340625,-7.247917,-2007.950000,-1133.431250,-0.277083,0.202083,0.197917,1047,159.759521,1697,258.941650,1954,298.156738,2210,337.219238,-28141,-4293.975830,211,32.196045,-27850,-4249.572754,1061,161.895752
200ml,VET6_8chips_raw_stream_20260525_235809.bin,2,3.802083,0.389583,-20.291667,-8.818750,-1.641667,-1.341667,-97.735417,-2168.377083,-491.831250,-1067.475000,-1170.850000,-571.372917,-1669.613542,-3340.212500,-2019.083333,-202.054167,-7.735417,-18.216667,-39.095833,0.535417,0.422917,0.481250,-0.031250,-1.054167,-1.916667,-18.139583,-0.558333,-11.689583,0.852083,-6.122917,-1.110417,-3.340625,-6.247917,-1998.450000,-1122.931250,-0.277083,0.202083,-0.302083,1053,160.675049,1693,258.331299,1949,297.393799,2201,335.845947,-28145,-4294.586182,200,30.517578,-27854,-4250.183105,1059,161.590576
200ml,VET6_8chips_raw_stream_20260525_235809.bin,3,0.802083,-4.110417,-19.791667,-8.818750,-0.641667,2.158333,-99.235417,-2167.377083,-491.831250,-1065.975000,-1172.850000,-569.372917,-1670.113542,-3340.212500,-2001.083333,-198.554167,-5.735417,-16.216667,-40.095833,0.035417,1.422917,-0.018750,0.468750,-0.054167,-0.416667,-18.139583,0.441667,-14.689583,-0.647917,-8.122917,-0.110417,-3.840625,-7.747917,-2008.950000,-1133.431250,-1.277083,0.202083,0.697917,1050,160.217285,1708,260.620117,1948,297.241211,2206,336.608887,-28137,-4293.365479,209,31.890869,-27846,-4248.962402,1061,161.895752
200ml,VET6_8chips_raw_stream_20260525_235809.bin,4,3.302083,-3.110417,-19.791667,-8.818750,-0.641667,-1.341667,-101.235417,-2172.877083,-500.331250,-1070.475000,-1175.850000,-565.372917,-1674.363542,-3347.712500,-2012.583333,-203.054167,-6.235417,-18.216667,-39.095833,0.035417,-0.577083,0.981250,-1.031250,-0.054167,1.083333,-16.639583,1.441667,-13.689583,0.852083,-8.122917,1.389583,-3.340625,-6.247917,-2021.950000,-1142.931250,-1.777083,0.202083,-0.802083,1048,159.912109,1690,257.873535,1949,297.393799,2209,337.066650,-28136,-4293.212891,209,31.890869,-27843,-4248.504639,1061,161.895752
200ml,VET6_8chips_raw_stream_20260525_235809.bin,5,1.802083,-3.110417,-18.791667,-7.818750,0.358333,0.158333,-104.735417,-2175.377083,-499.331250,-1072.975000,-1183.850000,-565.872917,-1679.613542,-3358.712500,-2028.583333,-200.554167,-6.735417,-16.716667,-38.595833,1.535417,0.922917,-0.518750,-2.031250,-1.054167,-0.416667,-18.139583,-0.058333,-13.189583,-1.147917,-6.622917,2.389583,-3.340625,-7.747917,-2012.450000,-1123.431250,-1.777083,0.702083,0.697917,1050,160.217285,1694,258.483887,1942,296.325684,2215,337.982178,-28138,-4293.518066,208,31.738281,-27846,-4248.962402,1071,163.421631
200ml,VET6_8chips_raw_stream_20260525_235809.bin,6,0.302083,-2.110417,-19.791667,-7.818750,-1.641667,0.658333,-106.235417,-2175.877083,-494.831250,-1072.475000,-1181.850000,-567.872917,-1678.863542,-3357.212500,-2021.083333,-200.054167,-7.235417,-17.216667,-40.595833,-0.464583,-1.077083,-1.018750,-0.531250,-0.554167,0.583333,-16.139583,0.941667,-13.689583,-0.147917,-6.622917,-0.110417,-2.840625,-6.747917,-2013.950000,-1123.431250,0.722917,-0.297917,-0.302083,1048,159.912109,1694,258.483887,1945,296.783447,2208,336.914062,-28140,-4293.823242,209,31.890869,-27848,-4249.267578,1064,162.353516
200ml,VET6_8chips_raw_stream_20260525_235809.bin,7,-1.697917,-2.610417,-19.291667,-8.318750,0.858333,0.658333,-106.235417,-2166.377083,-501.831250,-1069.975000,-1181.850000,-564.872917,-1674.113542,-3348.212500,-2038.083333,-199.054167,-5.235417,-15.716667,-39.095833,-2.464583,-0.077083,-1.018750,-0.031250,0.445833,-0.416667,-17.139583,0.941667,-13.689583,0.852083,-6.122917,-1.110417,-2.590625,-6.247917,-2025.450000,-1127.931250,-1.277083,-1.297917,1.197917,1043,159.149170,1693,258.331299,1944,296.630859,2209,337.066650,-28138,-4293.518066,203,30.975342,-27847,-4249.114990,1058,161.437988
200ml,VET6_8chips_raw_stream_20260525_235809.bin,8,-0.697917,-4.610417,-16.791667,-6.818750,-2.141667,-0.341667,-108.235417,-2163.377083,-497.831250,-1064.975000,-1184.850000,-564.872917,-1674.113542,-3348.212500,-2036.083333,-202.054167,-6.235417,-15.716667,-39.095833,-1.464583,-0.577083,-0.518750,-0.031250,-0.054167,0.583333,-17.639583,0.441667,-12.189583,1.352083,-8.122917,-0.110417,-3.840625,-6.747917,-2005.450000,-1121.431250,-0.277083,0.702083,1.197917,1050,160.217285,1698,259.094238,1949,297.393799,2212,337.524414,-28138,-4293.518066,209,31.890869,-27846,-4248.962402,1071,163.421631
200ml,VET6_8chips_raw_stream_20260525_235809.bin,9,-3.197917,-3.610417,-19.291667,-8.318750,-0.141667,1.158333,-108.735417,-2173.377083,-501.831250,-1069.975000,-1199.850000,-563.372917,-1686.613542,-3372.212500,-2041.083333,-202.054167,-6.735417,-15.716667,-40.095833,0.535417,0.922917,-0.018750,1.968750,-0.554167,0.083333,-19.639583,-0.058333,-13.189583,0.852083,-6.622917,0.389583,-3.340625,-7.247917,-1990.450000,-1119.431250,-0.777083,1.702083,-1.802083,1054,160.827637,1688,257.568359,1951,297.698975,2205,336.456299,-28138,-4293.518066,202,30.822754,-27846,-4248.962402,1060,161.743164
200ml,VET6_8chips_raw_stream_20260525_235809.bin,10,-2.197917,-2.110417,-20.291667,-8.818750,-0.141667,0.158333,-108.735417,-2171.377083,-503.831250,-1069.975000,-1198.850000,-564.872917,-1685.113542,-3370.212500,-2042.583333,-201.054167,-5.235417,-15.216667,-40.595833,-0.964583,-0.077083,-0.518750,0.468750,1.945833,-0.416667,-17.139583,0.941667,-12.189583,-0.147917,-7.622917,0.389583,-3.340625,-7.747917,-1986.950000,-1120.431250,0.722917,0.202083,0.697917,1056,161.132812,1699,259.246826,1947,297.088623,2211,337.371826,-28139,-4293.670654,214,32.653809,-27849,-4249.420166,1061,161.895752
