Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
200ml,VET6_8chips_raw_stream_20260525_235759.bin,1,-7.197917,-4.610417,-22.291667,-15.318750,-7.641667,0.658333,-25.235417,-2614.877083,-644.331250,-1041.475000,-1427.350000,-354.372917,-2021.113542,-4043.212500,-688.583333,-0.054167,-14.235417,-35.216667,-87.595833,-1.964583,0.422917,-0.518750,-0.031250,-0.054167,0.583333,-157.139583,-1.058333,-198.689583,-0.647917,-161.122917,-0.110417,-81.090625,-161.747917,-2190.450000,-322.431250,-1.277083,-0.297917,1.197917,1059,161.590576,1708,260.620117,1944,296.630859,2198,335.388184,-28142,-4294.128418,211,32.196045,-27849,-4249.420166,876,133.666992
200ml,VET6_8chips_raw_stream_20260525_235759.bin,2,-7.197917,-5.110417,-19.791667,-13.318750,-8.141667,0.158333,-24.235417,-2612.877083,-642.831250,-1049.975000,-1422.850000,-355.372917,-2017.863542,-4034.712500,-688.583333,0.945833,-13.235417,-36.216667,-86.595833,-0.464583,-0.577083,-0.018750,-0.531250,0.445833,1.083333,-156.139583,-0.058333,-199.189583,-1.147917,-160.622917,-0.110417,-80.340625,-160.747917,-2195.450000,-328.431250,0.222917,-0.797917,1.697917,1058,161.437988,1704,260.009766,1949,297.393799,2213,337.677002,-28140,-4293.823242,216,32.958984,-27847,-4249.114990,1110,169.372559
200ml,VET6_8chips_raw_stream_20260525_235759.bin,3,-7.697917,-7.110417,-20.791667,-13.318750,-8.141667,0.658333,-27.735417,-2600.377083,-645.331250,-1042.975000,-1420.350000,-352.872917,-2010.363542,-4021.212500,-680.583333,0.445833,-13.735417,-36.716667,-86.095833,-0.964583,0.422917,0.981250,0.968750,0.945833,1.083333,-156.139583,-0.058333,-197.189583,-0.147917,-155.622917,-0.110417,-77.840625,-156.247917,-2197.950000,-316.431250,-0.777083,-0.297917,1.197917,1057,161.285400,1705,260.162354,1946,296.936035,2194,334.777832,-28143,-4294.281006,213,32.501221,-27852,-4249.877930,1149,175.323486
200ml,VET6_8chips_raw_stream_20260525_235759.bin,4,-7.697917,-3.610417,-22.291667,-12.818750,-7.641667,2.158333,-23.235417,-2608.877083,-638.831250,-1043.975000,-1424.350000,-355.372917,-2016.613542,-4034.212500,-682.083333,-0.054167,-14.735417,-35.716667,-86.595833,-0.464583,-0.577083,-0.518750,0.468750,-1.054167,0.083333,-156.139583,-1.058333,-200.189583,0.852083,-160.122917,-0.610417,-80.590625,-160.747917,-2190.950000,-319.431250,-0.777083,0.702083,1.197917,1061,161.895752,1703,259.857178,1955,298.309326,2205,336.456299,-28142,-4294.128418,223,34.027100,-27847,-4249.114990,868,132.446289
200ml,VET6_8chips_raw_stream_20260525_235759.bin,5,-6.697917,-4.610417,-20.791667,-13.318750,-8.641667,0.158333,-23.235417,-2607.377083,-646.831250,-1044.475000,-1427.350000,-354.372917,-2017.363542,-4035.212500,-682.083333,-1.054167,-12.735417,-37.216667,-88.095833,-0.464583,-0.577083,-0.518750,-1.031250,-0.554167,-0.916667,-156.639583,-0.558333,-202.189583,-0.647917,-158.622917,-0.110417,-79.590625,-160.747917,-2189.950000,-319.931250,1.722917,-0.797917,-0.802083,1058,161.437988,1699,259.246826,1952,297.851562,2196,335.083008,-28140,-4293.823242,212,32.348633,-27852,-4249.877930,1118,170.593262
200ml,VET6_8chips_raw_stream_20260525_235759.bin,6,-7.697917,-4.610417,-20.791667,-12.818750,-7.141667,-0.341667,-28.235417,-2607.377083,-643.331250,-1047.475000,-1423.350000,-354.372917,-2015.363542,-4032.212500,-683.583333,1.445833,-13.735417,-35.216667,-84.595833,0.035417,0.422917,0.481250,-0.031250,-0.554167,-0.916667,-157.139583,-0.058333,-203.689583,-1.647917,-160.622917,0.389583,-80.340625,-161.247917,-2182.950000,-318.431250,0.722917,2.202083,1.197917,1065,162.506104,1711,261.077881,1953,298.004150,2211,337.371826,-28137,-4293.365479,215,32.806396,-27844,-4248.657227,1144,174.560547
200ml,VET6_8chips_raw_stream_20260525_235759.bin,7,-7.197917,-6.110417,-20.291667,-12.818750,-6.141667,-0.841667,-26.235417,-2614.377083,-642.331250,-1040.475000,-1425.850000,-353.372917,-2020.113542,-4041.712500,-684.083333,0.445833,-14.235417,-35.716667,-88.095833,1.535417,1.422917,0.481250,-2.031250,-0.554167,1.583333,-155.139583,-1.558333,-202.189583,-1.647917,-159.122917,0.389583,-80.340625,-161.247917,-2173.950000,-320.931250,0.222917,0.202083,-0.302083,1056,161.132812,1708,260.620117,1944,296.630859,2203,336.151123,-28142,-4294.128418,218,33.264160,-27849,-4249.420166,854,130.310059
200ml,VET6_8chips_raw_stream_20260525_235759.bin,8,-6.697917,-5.110417,-19.791667,-12.818750,-6.641667,-0.341667,-25.235417,-2613.377083,-644.331250,-1043.975000,-1425.350000,-354.872917,-2019.363542,-4039.212500,-683.583333,-0.054167,-13.735417,-35.216667,-86.095833,-0.464583,-0.577083,1.481250,-0.031250,-2.054167,-0.916667,-155.639583,-1.058333,-201.689583,0.352083,-160.122917,-0.610417,-80.590625,-160.247917,-2179.950000,-322.931250,-1.277083,1.702083,-0.802083,1057,161.285400,1711,261.077881,1949,297.393799,2203,336.151123,-28140,-4293.823242,213,32.501221,-27849,-4249.420166,1126,171.813965
200ml,VET6_8chips_raw_stream_20260525_235759.bin,9,-5.697917,-5.610417,-21.291667,-13.318750,-6.141667,1.658333,-23.235417,-2613.377083,-642.331250,-1043.475000,-1424.850000,-353.372917,-2019.113542,-4038.212500,-682.583333,1.445833,-14.235417,-35.716667,-85.595833,-0.464583,0.922917,-1.518750,0.468750,1.945833,0.583333,-156.139583,-0.558333,-202.689583,-1.147917,-160.622917,-0.110417,-80.590625,-161.747917,-2174.450000,-318.431250,-0.777083,0.202083,0.197917,1065,162.506104,1714,261.535645,1946,296.936035,2214,337.829590,-28140,-4293.823242,220,33.569336,-27848,-4249.267578,1147,175.018311
200ml,VET6_8chips_raw_stream_20260525_235759.bin,10,-7.197917,-4.110417,-20.291667,-15.318750,-7.641667,0.158333,-29.235417,-2610.877083,-643.831250,-1044.475000,-1426.350000,-352.872917,-2018.613542,-4038.212500,-684.583333,0.945833,-14.735417,-36.716667,-87.095833,0.535417,-0.077083,0.981250,0.968750,-1.054167,-0.916667,-156.639583,-0.058333,-203.189583,0.352083,-160.122917,-0.610417,-80.090625,-161.747917,-2184.450000,-320.931250,-0.277083,-0.797917,0.697917,1046,159.606934,1702,259.704590,1948,297.241211,2199,335.540771,-28145,-4294.586182,206,31.433105,-27850,-4249.572754,855,130.462646
