Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
200ml,VET6_8chips_raw_stream_20260527_225115.bin,1,-566.322785,-1456.666667,-1698.774262,-1258.116034,-102.829114,0.639241,0.938819,-0.949367,0.050633,0.018987,-0.065401,-0.459916,-0.507384,-0.774262,1.018987,0.217300,-0.668776,-0.124473,2.033755,0.985232,-821.689873,-1685.510549,-1002.603376,-529.040084,-1074.086498,-1.086498,-0.099156,0.046414,0.860759,-0.548523,0.398734,-0.323840,-0.485232,0.888186,0.879747,-0.409283,0.795359,-0.580169,963,146.942139,1708,260.620117,1916,292.358398,2169,330.963135,-28511,-4350.433350,170,25.939941,-28266,-4313.049316,-28433,-4338.531494
200ml,VET6_8chips_raw_stream_20260527_225115.bin,2,-557.322785,-1462.666667,-1694.274262,-1259.116034,-102.329114,0.139241,-0.061181,0.050633,0.050633,0.518987,-0.565401,-0.459916,-0.257384,-0.774262,0.518987,2.217300,-0.168776,-0.624473,-0.966245,-1.014768,-822.689873,-1690.010549,-1003.603376,-529.540084,-1076.086498,-0.086498,-0.599156,0.046414,0.360759,-0.548523,-1.101266,-0.573840,-1.485232,-1.111814,0.879747,2.590717,0.295359,-0.580169,959,146.331787,1705,260.162354,1914,292.053223,2172,331.420898,-28505,-4349.517822,173,26.397705,-28261,-4312.286377,-28424,-4337.158203
200ml,VET6_8chips_raw_stream_20260527_225115.bin,3,-563.322785,-1463.166667,-1702.774262,-1252.616034,-102.329114,0.639241,0.438819,-0.449367,0.050633,-0.481013,0.434599,0.040084,-0.007384,0.225738,-0.981013,-0.282700,0.331224,-1.624473,0.033755,1.485232,-822.689873,-1693.010549,-1004.103376,-529.540084,-1076.086498,-0.086498,0.400844,1.046414,0.360759,0.951477,-0.601266,0.676160,1.014768,-0.111814,-0.120253,1.090717,0.795359,-0.080169,965,147.247314,1695,258.636475,1910,291.442871,2162,329.895020,-28504,-4349.365234,157,23.956299,-28260,-4312.133789,-28423,-4337.005615
200ml,VET6_8chips_raw_stream_20260527_225115.bin,4,-560.822785,-1461.166667,-1703.774262,-1262.116034,-101.329114,-1.360759,-0.061181,0.550633,0.550633,0.018987,-0.065401,-0.959916,0.242616,0.225738,1.518987,0.217300,-0.168776,0.875527,1.033755,0.485232,-816.689873,-1687.510549,-1000.603376,-528.040084,-1066.586498,0.413502,-0.099156,-0.453586,0.360759,-0.548523,-1.601266,-0.323840,-0.485232,0.888186,0.379747,0.090717,-0.704641,0.919831,963,146.942139,1703,259.857178,1913,291.900635,2173,331.573486,-28504,-4349.365234,173,26.397705,-28258,-4311.828613,-28419,-4336.395264
200ml,VET6_8chips_raw_stream_20260527_225115.bin,5,-563.822785,-1464.166667,-1698.274262,-1259.616034,-103.329114,0.639241,-0.061181,0.050633,0.050633,-0.481013,-0.065401,0.540084,-0.007384,0.225738,1.018987,-0.282700,-0.168776,-0.124473,-0.466245,0.485232,-820.189873,-1696.010549,-1004.103376,-527.540084,-1075.086498,-0.086498,-0.599156,0.046414,0.360759,-0.548523,0.398734,-0.573840,-0.985232,-0.611814,-0.120253,-1.409283,-1.204641,-0.080169,969,147.857666,1699,259.246826,1908,291.137695,2168,330.810547,-28504,-4349.365234,165,25.177002,-28259,-4311.981201,-28421,-4336.700439
200ml,VET6_8chips_raw_stream_20260527_225115.bin,6,-563.822785,-1460.166667,-1702.774262,-1257.616034,-103.329114,0.639241,0.938819,0.050633,-0.449367,-0.481013,-0.065401,-0.959916,-0.007384,0.725738,0.518987,-0.782700,1.331224,-0.124473,1.533755,0.985232,-828.689873,-1695.010549,-1001.103376,-529.040084,-1073.586498,-0.586498,0.400844,-1.453586,-0.639241,0.451477,-0.101266,0.426160,1.014768,0.388186,-0.120253,0.090717,-0.704641,-0.080169,968,147.705078,1700,259.399414,1910,291.442871,2175,331.878662,-28507,-4349.822998,171,26.092529,-28262,-4312.438965,-28424,-4337.158203
200ml,VET6_8chips_raw_stream_20260527_225115.bin,7,-563.322785,-1468.166667,-1694.774262,-1260.616034,-102.329114,-1.860759,-0.561181,-0.449367,-1.449367,-1.481013,-1.065401,0.040084,-0.757384,-1.274262,0.018987,-0.782700,-0.668776,-1.124473,-1.466245,-0.514768,-820.689873,-1687.510549,-1005.603376,-528.040084,-1075.086498,-0.586498,0.400844,-0.453586,-1.139241,-0.548523,-0.601266,-0.073840,-0.485232,-1.111814,-0.120253,-0.909283,0.795359,-0.580169,972,148.315430,1705,260.162354,1910,291.442871,2176,332.031250,-28510,-4350.280762,173,26.397705,-28262,-4312.438965,-28426,-4337.463379
200ml,VET6_8chips_raw_stream_20260527_225115.bin,8,-560.822785,-1469.166667,-1696.774262,-1258.116034,-102.829114,-0.860759,0.438819,0.050633,-1.949367,0.018987,-0.065401,-0.459916,-0.007384,0.225738,0.518987,-0.282700,-0.668776,-0.124473,-0.466245,-0.014768,-823.689873,-1699.010549,-1006.603376,-528.540084,-1079.086498,-0.586498,0.400844,0.546414,-0.139241,0.451477,0.898734,0.426160,0.014768,0.388186,1.379747,0.090717,-1.204641,0.419831,962,146.789551,1704,260.009766,1922,293.273926,2170,331.115723,-28510,-4350.280762,164,25.024414,-28266,-4313.049316,-28427,-4337.615967
200ml,VET6_8chips_raw_stream_20260527_225115.bin,9,-557.822785,-1465.166667,-1695.274262,-1258.116034,-97.829114,0.639241,-0.561181,-1.949367,-0.449367,0.518987,0.434599,0.040084,-0.757384,-1.274262,0.518987,-0.282700,0.331224,0.375527,-0.466245,-0.514768,-832.189873,-1700.010549,-1003.603376,-529.540084,-1073.586498,-0.086498,0.400844,0.546414,0.860759,-0.548523,1.898734,-0.073840,-0.485232,0.888186,-1.620253,-0.409283,0.795359,-0.080169,959,146.331787,1703,259.857178,1910,291.442871,2165,330.352783,-28506,-4349.670410,176,26.855469,-28261,-4312.286377,-28427,-4337.615967
200ml,VET6_8chips_raw_stream_20260527_225115.bin,10,-562.322785,-1467.166667,-1695.274262,-1255.116034,-98.329114,0.139241,-0.061181,-0.949367,1.550633,-0.481013,0.434599,0.040084,-0.257384,0.225738,0.018987,0.217300,0.831224,0.375527,1.533755,1.485232,-826.189873,-1703.510549,-1003.103376,-530.040084,-1077.586498,-0.086498,0.400844,1.546414,1.860759,0.951477,0.898734,0.676160,0.014768,-1.611814,1.879747,-0.409283,-0.204641,1.419831,960,146.484375,1708,260.620117,1911,291.595459,2177,332.183838,-28513,-4350.738525,172,26.245117,-28265,-4312.896729,-28426,-4337.463379
