Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260525_234342.bin,1,-285.575694,-605.232639,-1377.625412,-1382.277598,-1016.182819,-559.765123,0.648021,0.206628,0.303639,-0.575685,0.208988,-0.838939,0.200707,-0.002778,0.206944,1.262500,-0.895833,-1.056250,-1.469444,-41.826312,-56.715355,-64.850026,-340.325900,-391.759516,-436.931481,0.188403,0.870959,-0.435702,0.235982,0.635355,-0.036694,0.938335,0.851389,0.950694,1.313194,0.715972,0.709028,0.032639,1040,158.691406,1640,250.244141,1872,285.644531,2159,329.437256,-28143,-4294.281006,169,25.787354,-27825,-4245.758057,1039,158.538818
50ml,VET6_8chips_raw_stream_20260525_234342.bin,2,-283.674460,-603.633873,-1381.230350,-1385.493647,-1015.466770,-565.789815,1.752728,-0.865105,-0.311980,0.577456,-1.274525,-0.116562,-1.207235,-1.336111,-0.459722,-0.237500,0.104167,0.443750,-0.136111,-42.227546,-56.814120,-63.843853,-337.622197,-389.963220,-429.412963,0.155429,-0.454363,-0.551322,-0.801540,-1.403404,0.498041,-0.857694,-0.315278,0.117361,0.479861,0.549306,0.375694,-0.800694,1050,160.217285,1643,250.701904,1869,285.186768,2151,328.216553,-28147,-4294.891357,165,25.177002,-27827,-4246.063232,1028,156.860352
50ml,VET6_8chips_raw_stream_20260525_234342.bin,3,-284.970756,-605.837577,-1382.230350,-1385.166487,-1021.793930,-567.870062,0.078050,0.293086,-0.349502,-0.728827,1.074830,-0.561316,0.812620,0.663889,0.040278,0.262500,0.437500,1.110417,1.197222,-41.431250,-55.110417,-66.751260,-339.220962,-391.864455,-426.999383,-0.313358,0.148582,0.486200,-0.570301,-0.886917,0.862122,-0.357694,-0.148611,-0.049306,-0.020139,-0.117361,0.542361,0.865972,1053,160.675049,1643,250.701904,1869,285.186768,2159,329.437256,-28146,-4294.738770,167,25.482178,-27827,-4246.063232,1025,156.402588
50ml,VET6_8chips_raw_stream_20260525_234342.bin,4,-284.470756,-605.337577,-1382.736523,-1384.666487,-1021.293930,-565.363889,0.164508,0.603683,-0.543219,0.424315,-1.188067,-0.203020,-0.299293,-0.502778,-0.293056,1.095833,0.937500,0.610417,-1.302778,-42.431250,-56.110417,-66.652495,-339.319727,-392.265689,-426.295679,0.877806,0.957417,0.948678,0.620362,1.184816,-0.314317,1.142306,0.851389,0.450694,0.479861,-0.117361,0.042361,0.199306,1049,160.064697,1643,250.701904,1863,284.271240,2157,329.132080,-28147,-4294.891357,171,26.092529,-27827,-4246.063232,1034,157.775879
50ml,VET6_8chips_raw_stream_20260525_234342.bin,5,-284.378164,-603.430170,-1378.946399,-1381.468956,-1017.491461,-562.567593,0.734479,-1.223401,0.688020,-0.575685,-0.017413,-1.170046,-0.779437,-0.502778,-1.293056,-0.237500,0.270833,0.777083,0.030556,-42.326312,-57.215355,-65.547557,-340.029604,-390.555813,-411.357407,0.725401,-0.215500,0.101820,1.235982,-1.250998,0.632199,-0.949752,-0.481944,-0.715972,-0.186806,0.215972,0.209028,0.532639,1047,159.759521,1643,250.701904,1870,285.339355,2149,327.911377,-28151,-4295.501709,159,24.261475,-27829,-4246.368408,1034,157.775879
50ml,VET6_8chips_raw_stream_20260525_234342.bin,6,-284.371991,-604.936343,-1382.242695,-1381.555376,-1020.905041,-564.660185,0.680995,-0.342833,0.303639,-0.844446,0.313694,-1.686533,0.108649,0.330556,0.373611,0.429167,0.437500,0.610417,0.197222,-42.826312,-57.715355,-66.251260,-339.128369,-389.957047,-423.696914,0.638943,0.784500,-0.051322,-0.417159,-0.403404,0.121497,0.142306,0.851389,1.450694,-1.020139,0.715972,1.209028,0.032639,1037,158.233643,1640,250.244141,1867,284.881592,2157,329.132080,-28151,-4295.501709,169,25.787354,-27829,-4246.368408,1036,158.081055
50ml,VET6_8chips_raw_stream_20260525_234342.bin,7,-283.267052,-605.041281,-1380.427881,-1384.178832,-1017.781584,-562.870062,-0.319005,0.293086,-0.349502,0.539934,0.677776,0.194035,0.608649,0.163889,-0.459722,0.429167,0.604167,0.443750,0.363889,-41.727546,-56.314120,-63.738915,-335.430838,-385.654578,-422.808025,0.208914,0.560362,-0.166941,0.273504,0.113083,-0.711372,0.326421,-0.481944,-0.215972,-0.186806,-0.117361,0.042361,0.199306,1035,157.928467,1635,249.481201,1873,285.797119,2153,328.521729,-28147,-4294.891357,161,24.566650,-27828,-4246.215820,1022,155.944824
50ml,VET6_8chips_raw_stream_20260525_234342.bin,8,-285.371991,-605.936343,-1381.921708,-1384.802289,-1012.658128,-561.086111,-0.298495,0.364819,-0.196361,-0.728827,0.328420,-0.495368,0.404678,-0.336111,-0.959722,0.262500,0.104167,-0.056250,0.197222,-39.530015,-53.511651,-63.140149,-338.134542,-387.450874,-422.703086,0.307835,1.095097,-0.166941,0.735982,-1.349920,0.479793,-0.061665,0.184722,0.617361,-1.186806,-0.950694,-1.124306,-0.634028,1052,160.522461,1642,250.549316,1869,285.186768,2163,330.047607,-28144,-4294.433594,158,24.108887,-27821,-4245.147705,1034,157.775879
50ml,VET6_8chips_raw_stream_20260525_234342.bin,9,-285.371991,-605.936343,-1383.427881,-1384.796116,-1014.164300,-562.684877,1.283940,0.173654,1.072400,-0.997588,0.519585,0.543391,0.404678,0.330556,0.373611,-0.070833,0.270833,0.277083,0.030556,-39.628781,-53.912886,-62.337680,-328.628369,-379.457047,-435.666049,1.122456,0.420419,0.101820,1.004743,-1.078082,0.566251,-0.561665,-0.981944,-1.215972,0.479861,0.215972,0.209028,-0.134028,1037,158.233643,1629,248.565674,1865,284.576416,2150,328.063965,-28146,-4294.738770,153,23.345947,-27825,-4245.758057,1022,155.944824
50ml,VET6_8chips_raw_stream_20260525_234342.bin,10,-285.563349,-608.244985,-1383.705658,-1388.802289,-1016.658128,-561.475000,0.250966,-0.635181,0.188020,-1.728827,-0.274525,-0.701258,-0.391351,-0.669444,-1.126389,-0.737500,-0.395833,-0.056250,0.363889,-38.344830,-48.696836,-61.535211,-326.412320,-381.173097,-436.659877,0.050723,-0.406664,0.948678,-0.648398,0.510138,0.121497,-0.061665,-0.315278,-0.382639,-0.520139,-0.284028,-0.790972,-0.634028,1046,159.606934,1646,251.159668,1868,285.034180,2166,330.505371,-28149,-4295.196533,166,25.329590,-27831,-4246.673584,1040,158.691406
