Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260525_234816.bin,1,2.128009,24.563657,8.670885,9.623637,7.915947,1.179321,-235.280919,-1877.066248,-703.829868,-1368.064342,-1767.427910,-1916.485783,-1937.104347,0.163889,0.040278,-0.070833,0.937500,1.110417,0.363889,-0.789275,-0.252392,-1.152495,0.766692,0.147891,0.056173,-1145.125582,-608.871595,-994.625929,-32.205117,-1053.111960,-6.955608,-876.879355,1.018056,0.784028,-0.020139,-0.284028,0.209028,0.699306,1022,155.944824,1685,257.110596,1906,290.832520,2185,333.404541,-28152,-4295.654297,186,28.381348,-27840,-4248.046875,987,150.604248
50ml,VET6_8chips_raw_stream_20260525_234816.bin,2,2.331713,23.859954,8.670885,9.031044,5.508539,0.586728,-235.677974,-1878.334562,-703.483010,-1371.448722,-1768.619075,-1920.267429,-1938.176549,0.830556,0.373611,-1.570833,-0.229167,-0.222917,-0.469444,-0.289275,0.247608,1.551209,0.569162,-0.654578,-0.141358,-1150.871993,-608.804386,-997.857168,-33.205117,-1058.008515,-7.591526,-879.543615,0.518056,-0.215972,-0.020139,0.382639,0.542361,0.032639,1021,155.792236,1685,257.110596,1899,289.764404,2179,332.489014,-28149,-4295.196533,179,27.313232,-27836,-4247.436523,976,148.925781
50ml,VET6_8chips_raw_stream_20260525_234816.bin,3,2.529244,24.662423,7.868416,8.321168,7.218416,0.278086,-236.054518,-1876.137612,-703.214249,-1373.142439,-1767.344975,-1923.583811,-1936.012289,0.663889,0.540278,1.262500,-0.062500,0.110417,0.030556,0.111960,0.346373,-0.350026,-1.239480,-0.345936,1.259877,-1151.806046,-610.730391,-999.550885,-35.280161,-1058.315588,-7.746194,-880.247586,0.518056,0.784028,0.813194,0.882639,0.042361,-0.134028,1024,156.250000,1689,257.720947,1901,290.069580,2188,333.862305,-28151,-4295.501709,182,27.770996,-27837,-4247.589111,982,149.841309
50ml,VET6_8chips_raw_stream_20260525_234816.bin,4,2.430478,24.261188,8.967181,10.333513,6.206070,0.284259,-233.779157,-1877.573426,-703.751771,-1372.179961,-1768.565590,-1920.750943,-1937.492434,0.830556,0.873611,-0.070833,-0.729167,-0.722917,0.030556,-0.986806,-1.054861,-0.047557,-0.134542,-0.450874,0.759877,-1150.009674,-611.569045,-996.282124,-32.551976,-1057.255426,-7.021555,-881.135672,-0.148611,-0.549306,0.979861,0.049306,-0.124306,0.365972,1029,157.012939,1691,258.026123,1910,291.442871,2189,334.014893,-28152,-4295.654297,190,28.991699,-27838,-4247.741699,988,150.756836
50ml,VET6_8chips_raw_stream_20260525_234816.bin,5,3.732948,24.958719,8.572119,9.228575,6.311008,-0.820679,-233.532246,-1880.334562,-702.098629,-1371.523766,-1769.439480,-1917.263906,-1940.156694,0.830556,0.873611,-0.237500,1.104167,0.943750,0.197222,-1.091744,0.050077,0.051209,-0.634542,-0.950874,-1.746296,-1150.493187,-610.440304,-996.666505,-32.973878,-1059.100758,-7.492605,-881.135672,-0.148611,-0.549306,-0.020139,0.215972,0.209028,-0.134028,1019,155.487061,1680,256.347656,1904,290.527344,2180,332.641602,-28149,-4295.196533,182,27.770996,-27837,-4247.589111,980,149.536133
50ml,VET6_8chips_raw_stream_20260525_234816.bin,6,4.436651,24.755015,9.269650,9.432279,5.607305,0.586728,-233.830379,-1881.230224,-702.676727,-1368.336157,-1770.143609,-1919.886361,-1941.564636,-0.502778,0.206944,-0.737500,-1.062500,-0.889583,0.697222,-0.388040,-0.153627,0.254913,-0.338246,0.252829,0.556173,-1150.493187,-607.987503,-996.782124,-33.011400,-1054.870834,-6.023817,-877.083326,0.018056,-0.715972,-0.020139,-0.617361,0.042361,1.032639,1026,156.555176,1682,256.652832,1903,290.374756,2195,334.930420,-28149,-4295.196533,185,28.228760,-27835,-4247.283936,990,151.062012
50ml,VET6_8chips_raw_stream_20260525_234816.bin,7,3.430478,25.261188,7.967181,8.932279,5.107305,0.889198,-233.417338,-1879.118471,-705.558053,-1370.258059,-1774.583839,-1920.318652,-1942.044780,-0.169444,-0.126389,0.095833,-0.729167,-0.722917,-0.969444,0.414429,0.043904,-0.751260,-0.239480,0.654064,0.654938,-1150.531946,-612.429102,-995.860222,-32.436357,-1057.944829,-7.352663,-881.747586,-1.148611,-1.049306,-1.520139,-1.117361,-0.957639,0.199306,1022,155.944824,1688,257.568359,1913,291.900635,2186,333.557129,-28148,-4295.043945,178,27.160645,-27831,-4246.673584,983,149.993896
50ml,VET6_8chips_raw_stream_20260525_234816.bin,8,3.732948,24.958719,9.072119,8.728575,5.811008,-0.518210,-232.188675,-1878.110423,-701.483010,-1371.679961,-1769.350760,-1919.076265,-1938.696405,-0.669444,-0.626389,-0.570833,-0.229167,0.277083,-1.136111,0.716898,-0.258565,-0.448791,-0.832073,-1.753344,-0.338889,-1149.684352,-608.861393,-995.128983,-31.051976,-1056.790161,-6.332152,-879.451557,0.518056,0.284028,0.313194,1.215972,1.709028,0.532639,1021,155.792236,1683,256.805420,1902,290.222168,2179,332.489014,-28151,-4295.501709,193,29.449463,-27837,-4247.589111,984,150.146484
50ml,VET6_8chips_raw_stream_20260525_234816.bin,9,1.831713,23.359954,7.973354,7.827341,5.212243,0.185494,-233.003296,-1874.413974,-701.867390,-1372.486244,-1770.829749,-1918.971558,-1937.012289,-0.002778,0.206944,-0.237500,-1.229167,-0.222917,-0.469444,-0.289275,0.247608,0.748740,0.871631,-0.957047,0.161111,-1151.758346,-609.688477,-997.782124,-31.051976,-1058.196156,-6.299178,-880.155528,-0.148611,-0.049306,0.313194,0.049306,-0.124306,0.365972,1019,155.487061,1682,256.652832,1911,291.595459,2186,333.557129,-28151,-4295.501709,181,27.618408,-27839,-4247.894287,976,148.925781
50ml,VET6_8chips_raw_stream_20260525_234816.bin,10,2.831713,24.359954,8.565947,10.228575,7.311008,1.383025,-232.883864,-1878.802981,-701.829868,-1375.020712,-1770.503166,-1916.970297,-1938.880520,-0.169444,-0.626389,-0.570833,0.104167,0.443750,0.530556,-0.486806,-0.554861,-0.652495,-0.233308,-0.852109,-0.141358,-1150.027922,-609.599757,-994.860222,-31.436357,-1053.634232,-6.782691,-877.971412,0.518056,0.284028,0.146528,1.215972,1.209028,0.865972,1028,156.860352,1690,257.873535,1908,291.137695,2183,333.099365,-28153,-4295.806885,187,28.533936,-27841,-4248.199463,980,149.536133
