Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260527_214728.bin,1,-809.791947,-1030.197505,-449.515289,-114.337136,-21.608012,0.620800,-0.222229,-0.778490,0.910133,-0.586875,0.031062,-0.901105,-0.550305,-0.176512,-0.078762,0.210267,-1.154008,-1.139241,-0.685654,-2204.351826,-1125.852816,-142.795463,-67.461244,-25.682216,-2.447700,-0.590507,-0.249148,-0.245764,-0.896293,0.449724,-0.298140,0.205875,0.305907,0.597046,0.889592,-0.507736,-1.106188,-1.954993,949,144.805908,1672,255.126953,1869,285.186768,2116,322.875977,-28501,-4348.907471,154,23.498535,-28163,-4297.332764,-28414,-4335.632324
50ml,VET6_8chips_raw_stream_20260527_214728.bin,2,-809.199354,-1027.790097,-449.817758,-114.744543,-20.200604,1.818331,0.279532,-0.262003,-0.243008,0.297505,-0.691315,-1.092270,-0.642363,0.323488,0.421238,-0.123066,0.012658,-0.305907,-0.185654,-2202.246888,-1124.957754,-145.097932,-67.967417,-24.676043,-2.151404,0.773575,0.300313,0.638616,0.372468,0.291533,0.391263,0.113817,-0.027426,-0.569620,0.222925,0.492264,0.393812,0.378340,954,145.568848,1666,254.211426,1857,283.355713,2108,321.655273,-28509,-4350.128174,147,22.430420,-28168,-4298.095703,-28420,-4336.547852
50ml,VET6_8chips_raw_stream_20260527_214728.bin,3,-806.088243,-1027.401209,-451.422696,-115.942074,-22.003073,2.626973,-0.168745,-0.089087,0.947655,1.335027,0.269926,-0.733974,-0.162219,-0.176512,0.421238,0.376934,0.179325,0.527426,0.981013,-2198.432073,-1124.772569,-144.400401,-68.566182,-25.577278,-0.743996,0.164844,0.386771,1.022997,-0.011913,0.846779,0.271831,0.613817,0.472574,-0.069620,-0.277075,0.492264,1.393812,1.711674,959,146.331787,1673,255.279541,1867,284.881592,2120,323.486328,-28501,-4348.907471,153,23.345947,-28158,-4296.569824,-28412,-4335.327148
50ml,VET6_8chips_raw_stream_20260527_214728.bin,4,-808.983305,-1031.506147,-454.132573,-116.738371,-23.706777,2.231911,0.055394,-0.017354,0.294514,-0.702495,-0.279535,0.323033,-0.162219,-1.009845,-1.245429,-0.623066,0.012658,-0.305907,-0.518987,-2210.160468,-1129.544174,-143.492994,-69.572355,-25.071105,-0.947700,0.648357,0.267339,1.060519,-1.396293,0.172101,-0.450546,0.205875,-0.027426,-0.069620,-1.110408,-0.674402,-0.939522,0.545007,957,146.026611,1667,254.364014,1862,284.118652,2099,320.281982,-28503,-4349.212646,150,22.888184,-28163,-4297.332764,-28412,-4335.327148
50ml,VET6_8chips_raw_stream_20260527_214728.bin,5,-807.884539,-1030.104912,-452.527635,-117.244543,-22.700604,2.528208,0.452449,-0.017354,0.525753,0.144364,0.031062,0.442465,-0.050305,0.656821,1.087904,0.876934,0.845992,0.360759,-0.018987,-2209.555530,-1130.149112,-144.301636,-67.664948,-24.978512,-1.046466,0.442467,-0.096742,0.522997,0.256848,-0.120247,-0.799901,-0.274269,0.472574,-0.069620,-0.110408,-0.341069,0.227145,0.545007,952,145.263672,1677,255.889893,1874,285.949707,2116,322.875977,-28503,-4349.212646,150,22.888184,-28162,-4297.180176,-28416,-4335.937500
50ml,VET6_8chips_raw_stream_20260527_214728.bin,6,-810.878366,-1034.611085,-457.237511,-117.448247,-21.996901,1.522035,0.022420,0.069104,0.410133,0.144364,0.547549,0.442465,0.245723,0.490155,0.754571,-0.623066,0.179325,0.027426,-0.018987,-2206.450591,-1128.254050,-144.301636,-68.066182,-25.077278,-2.651404,0.236577,-0.440313,-0.130144,-1.011913,1.124402,-0.331114,0.501904,0.305907,0.597046,-0.777075,-0.674402,-0.439522,0.545007,955,145.721436,1664,253.906250,1865,284.576416,2120,323.486328,-28500,-4348.754883,147,22.430420,-28162,-4297.180176,-28416,-4335.937500
50ml,VET6_8chips_raw_stream_20260527_214728.bin,7,-807.464786,-1034.524665,-456.737511,-117.645778,-22.799370,2.929442,1.557155,0.015620,0.256992,-0.586875,-0.398967,-0.901105,-0.254277,-0.009845,0.254571,0.043601,-0.820675,-0.972574,-1.685654,-2209.666641,-1127.538001,-143.196697,-67.763713,-25.379747,-3.151404,-0.193452,-0.977310,-0.130144,-0.011913,-0.206705,-0.125224,-0.866327,0.472574,-0.069620,-0.110408,0.658931,-0.272855,-0.121660,952,145.263672,1676,255.737305,1878,286.560059,2107,321.502686,-28502,-4349.060059,142,21.667480,-28161,-4297.027588,-28415,-4335.784912
50ml,VET6_8chips_raw_stream_20260527_214728.bin,8,-804.989478,-1025.999974,-455.435042,-118.047013,-22.898135,2.528208,-0.699957,-0.223244,-0.858628,0.028744,-0.365993,-0.715726,-0.346334,0.156821,0.087904,-0.289733,-0.154008,-0.139241,0.314346,-2205.555530,-1126.149112,-144.999167,-68.566182,-25.577278,-1.546466,0.561899,0.028475,0.907377,-0.743152,0.449724,-0.542789,0.409846,0.805907,1.097046,-0.277075,-1.007736,-0.106188,0.211674,950,144.958496,1671,254.974365,1860,283.813477,2102,320.739746,-28497,-4348.297119,150,22.888184,-28157,-4296.417236,-28409,-4334.869385
50ml,VET6_8chips_raw_stream_20260527_214728.bin,9,-807.106761,-1023.882690,-455.435042,-118.948247,-23.496901,1.626973,0.365991,0.427400,-0.089867,1.413125,0.308685,0.701840,0.245723,0.323488,0.421238,0.043601,-0.987342,-1.305907,-0.852321,-2204.641949,-1128.562692,-145.196697,-67.566182,-24.577278,-2.552638,0.925980,0.007965,0.791758,-0.127532,-1.416119,-0.092250,-0.886183,-0.360759,-0.236287,-1.110408,0.825598,0.560478,1.045007,947,144.500732,1671,254.974365,1873,285.797119,2114,322.570801,-28503,-4349.212646,141,21.514893,-28162,-4297.180176,-28415,-4335.784912
50ml,VET6_8chips_raw_stream_20260527_214728.bin,10,-810.106761,-1026.882690,-454.632573,-117.547013,-22.398135,2.225738,-0.064038,-0.500867,0.141372,-0.971256,-1.073644,-0.193454,-0.866190,-0.843179,0.087904,-0.123066,0.179325,0.027426,-0.018987,-2202.450591,-1124.254050,-144.604105,-67.368651,-23.774809,-1.151404,-1.092268,0.267339,0.791758,-1.165054,1.085643,-0.053491,0.613817,0.472574,-0.069620,0.389592,0.158931,0.727145,0.378340,958,146.179199,1664,253.906250,1865,284.576416,2116,322.875977,-28507,-4349.822998,148,22.583008,-28167,-4297.943115,-28418,-4336.242676
50ml,VET6_8chips_raw_stream_20260527_214728.bin,11,-805.903058,-1023.586394,-459.651091,-119.047013,-23.898135,1.126973,1.007695,0.293243,-0.127389,0.144364,0.117520,0.839520,0.153666,0.656821,0.587904,-0.289733,0.179325,-0.972574,-0.352321,-2205.660468,-1125.044174,-144.702870,-68.566182,-25.577278,-2.348935,1.117145,0.783826,-0.092623,0.488087,-0.257928,0.788318,0.297933,-0.194093,0.097046,0.722925,-0.174402,0.060478,0.045007,958,146.179199,1674,255.432129,1871,285.491943,2111,322.113037,-28507,-4349.822998,143,21.820068,-28165,-4297.637939,-28418,-4336.242676
50ml,VET6_8chips_raw_stream_20260527_214728.bin,12,-807.088243,-1028.401209,-455.638746,-117.244543,-22.700604,0.522035,-0.117522,-1.399684,-0.358628,-0.202495,0.102795,0.012436,-0.662219,-0.509845,0.254571,-0.123066,0.012658,0.194093,-0.185654,-2203.438246,-1128.266396,-143.795463,-68.066182,-25.077278,-1.046466,0.600658,-0.407339,-0.477003,-0.011913,-0.344386,1.065941,-0.406038,-0.527426,0.430380,-0.277075,0.325598,0.560478,0.878340,944,144.042969,1661,253.448486,1870,285.339355,2117,323.028564,-28499,-4348.602295,147,22.430420,-28156,-4296.264648,-28410,-4335.021973
50ml,VET6_8chips_raw_stream_20260527_214728.bin,13,-806.199354,-1024.790097,-457.138746,-118.651951,-22.293197,1.923269,0.676587,0.173811,-0.127389,0.259983,-0.518398,0.475439,-0.050305,-0.176512,-0.578762,0.543601,1.012658,0.694093,0.814346,-2206.876517,-1122.328124,-143.801636,-67.769886,-23.873574,-1.151404,-0.094530,-0.096742,-0.477003,0.141229,-1.099737,-0.005792,-0.498096,-0.694093,-0.402954,-1.110408,-0.841069,-0.272855,0.045007,961,146.636963,1672,255.126953,1875,286.102295,2119,323.333740,-28503,-4349.212646,161,24.566650,-28165,-4297.637939,-28413,-4335.479736
50ml,VET6_8chips_raw_stream_20260527_214728.bin,14,-807.594416,-1027.395036,-458.644918,-118.948247,-23.496901,1.225738,-0.064038,0.585591,0.141372,0.528744,0.514575,0.131868,0.541752,-0.009845,-0.245429,-0.123066,0.012658,-0.305907,-1.185654,-2197.228369,-1124.476272,-143.196697,-68.164948,-25.478512,-1.546466,0.687116,1.180881,0.022997,-1.165054,0.345017,0.707645,0.797933,0.139241,0.263713,0.056259,-0.674402,-0.939522,-0.454993,948,144.653320,1660,253.295898,1873,285.797119,2105,321.197510,-28502,-4349.060059,146,22.277832,-28161,-4297.027588,-28415,-4335.784912
50ml,VET6_8chips_raw_stream_20260527_214728.bin,15,-806.785774,-1028.703678,-463.058499,-117.750716,-21.694431,2.423269,-0.150496,0.552617,-0.243008,-0.624397,0.792198,0.203601,0.837781,0.490155,0.754571,0.543601,0.512658,0.194093,1.314346,-2197.530838,-1124.173803,-143.999167,-67.763713,-25.379747,-1.145231,-0.491585,0.473229,-0.361384,-1.011913,0.091428,-1.158197,0.501904,0.305907,0.597046,1.222925,-0.007736,-0.106188,0.545007,943,143.890381,1674,255.432129,1874,285.949707,2117,323.028564,-28505,-4349.517822,156,23.803711,-28163,-4297.332764,-28415,-4335.784912
50ml,VET6_8chips_raw_stream_20260527_214728.bin,16,-806.088243,-1027.401209,-459.749857,-118.047013,-22.898135,2.126973,-1.135771,0.346727,0.178894,-1.124397,0.117520,-0.279912,0.337781,-0.843179,-1.412096,-0.623066,-0.320675,-0.972574,-0.852321,-2199.827134,-1127.377507,-144.097932,-67.862479,-25.780981,-2.848935,-0.438101,-0.096742,-0.092623,1.488087,-0.947331,1.424237,-0.590154,-0.194093,0.097046,0.722925,0.492264,0.393812,0.045007,950,144.958496,1664,253.906250,1880,286.865234,2102,320.739746,-28496,-4348.144531,146,22.277832,-28159,-4296.722412,-28410,-4335.021973
50ml,VET6_8chips_raw_stream_20260527_214728.bin,17,-806.180836,-1029.308616,-465.465906,-120.145778,-25.299370,1.633146,-0.341661,-0.620299,0.294514,-0.740017,-0.365993,-0.954590,-0.550305,-0.343179,-0.412096,0.876934,0.012658,-0.305907,-0.518987,-2199.438246,-1124.266396,-144.604105,-68.763713,-26.379747,-1.743996,0.720090,0.750852,-0.092623,0.103707,0.052669,-0.489305,0.501904,0.472574,0.930380,-0.277075,-0.007736,0.893812,1.211674,953,145.416260,1668,254.516602,1875,286.102295,2112,322.265625,-28497,-4348.297119,146,22.277832,-28156,-4296.264648,-28409,-4334.869385
50ml,VET6_8chips_raw_stream_20260527_214728.bin,18,-806.285774,-1028.203678,-464.762202,-119.448247,-23.996901,1.929442,-0.117522,0.346727,-0.474247,-0.355636,-0.121344,-1.232213,0.337781,-0.343179,-0.412096,-1.289733,-0.820675,-0.472574,-0.685654,-2201.641949,-1125.562692,-143.894228,-69.368651,-25.774809,-2.348935,-0.384616,0.267339,0.176138,-0.011913,0.172101,0.701860,0.205875,0.305907,0.597046,-0.277075,-0.674402,-0.939522,-0.454993,959,146.331787,1669,254.669189,1869,285.186768,2113,322.418213,-28500,-4348.754883,141,21.514893,-28159,-4296.722412,-28412,-4335.327148
50ml,VET6_8chips_raw_stream_20260527_214728.bin,19,-808.366021,-1035.123431,-466.867141,-119.250716,-23.194431,2.126973,0.174826,0.466159,0.910133,0.259983,0.911630,-0.351645,0.745723,0.656821,0.587904,-0.456399,0.179325,1.027426,0.314346,-2204.160468,-1123.544174,-142.894228,-68.164948,-25.478512,-1.546466,-0.279910,-0.646203,-0.745764,-0.858771,-0.153221,-2.163983,-0.294125,0.139241,0.763713,-0.110408,0.325598,-0.439522,-0.121660,949,144.805908,1673,255.279541,1859,283.660889,2117,323.028564,-28496,-4348.144531,152,23.193359,-28159,-4296.722412,-28411,-4335.174561
50ml,VET6_8chips_raw_stream_20260527_214728.bin,20,-807.699354,-1026.290097,-465.867141,-119.651951,-23.293197,1.725738,0.228310,0.379701,1.063275,0.144364,0.356384,-0.351645,0.245723,0.490155,0.754571,0.210267,-0.154008,-0.639241,-1.685654,-2198.944418,-1122.260223,-142.492994,-67.862479,-25.780981,-1.243996,0.030687,1.007965,-1.130144,0.488087,-0.583250,-0.005792,0.225731,1.305907,1.097046,-0.110408,-1.007736,-1.106188,-1.121660,951,145.111084,1660,253.295898,1872,285.644531,2117,323.028564,-28501,-4348.907471,147,22.430420,-28161,-4297.027588,-28414,-4335.632324
50ml,VET6_8chips_raw_stream_20260527_214728.bin,21,-808.100589,-1026.388863,-467.577017,-119.244543,-24.700604,0.929442,0.968936,0.188536,0.794514,-0.355636,0.117520,0.290059,0.133810,-0.343179,0.087904,-0.289733,-0.820675,-0.972574,-0.352321,-2197.938246,-1122.766396,-142.894228,-68.368651,-24.774809,-1.750169,0.203603,0.386771,-0.477003,-0.896293,-0.344386,-0.761142,0.001904,0.305907,1.097046,-0.777075,-0.007736,-0.106188,-0.121660,952,145.263672,1664,253.906250,1867,284.881592,2120,323.486328,-28504,-4349.365234,148,22.583008,-28163,-4297.332764,-28415,-4335.784912
