Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260525_234857.bin,1,0.325540,23.366127,7.195576,1.605118,4.434465,0.784259,-93.398211,-908.136897,-278.549764,-228.123242,-374.045482,-89.621969,-676.057416,-360.836111,-189.959722,-0.737500,-0.395833,-0.056250,-47.302778,0.111960,0.346373,-0.350026,1.161754,1.752829,0.852469,-366.547270,-422.007284,-397.821828,-529.226496,-218.526512,-777.102821,-329.231340,-536.315278,-268.382639,-1.186806,-0.950694,-0.624306,-0.300694,1018,155.334473,1674,255.432129,1914,292.053223,2187,333.709717,-28152,-4295.654297,185,28.228760,-27836,-4247.436523,975,148.773193
50ml,VET6_8chips_raw_stream_20260525_234857.bin,2,2.029244,24.162423,5.386934,1.203884,4.335700,0.383025,-93.449434,-905.506394,-277.243481,-229.504568,-374.810141,-90.173692,-675.037560,-359.002778,-188.793056,2.262500,0.270833,-0.222917,-46.636111,-0.585571,-0.956096,-0.251260,0.167927,-0.753344,-0.542593,-366.705461,-422.404339,-396.937447,-524.998311,-217.732402,-774.200850,-329.027369,-536.315278,-268.882639,0.646528,0.382639,0.042361,-0.300694,1021,155.792236,1677,255.889893,1909,291.290283,2186,333.557129,-28152,-4295.654297,173,26.397705,-27841,-4248.199463,972,148.315430
50ml,VET6_8chips_raw_stream_20260525_234857.bin,3,1.128009,23.563657,7.294342,1.802649,5.236934,0.981790,-93.622350,-906.238080,-277.896622,-227.738862,-373.771382,-90.296647,-674.873300,-361.002778,-190.293056,0.595833,-0.395833,-0.056250,-46.636111,0.611960,0.846373,-1.152495,0.766692,0.147891,0.056173,-367.547270,-418.087957,-398.243730,-525.842116,-214.416020,-775.075633,-324.711485,-532.648611,-267.049306,-0.020139,-0.784028,-0.790972,-0.467361,1015,154.876709,1683,256.805420,1904,290.527344,2183,333.099365,-28147,-4294.891357,176,26.855469,-27833,-4246.978760,969,147.857666
50ml,VET6_8chips_raw_stream_20260525_234857.bin,4,1.430478,23.261188,6.695576,1.697711,6.341872,0.876852,-92.812253,-906.339263,-280.777949,-227.120188,-376.556183,-88.484289,-676.109762,-358.502778,-188.793056,1.595833,0.104167,-0.556250,-46.469444,-0.585571,-0.956096,-0.948791,-0.838246,-0.247171,0.056173,-368.096730,-418.762635,-397.818774,-529.839062,-212.000716,-774.040029,-323.987658,-530.815278,-265.882639,0.313194,0.049306,0.375694,1.032639,1018,155.334473,1668,254.516602,1912,291.748047,2192,334.472656,-28152,-4295.654297,183,27.923584,-27840,-4248.046875,986,150.451660
50ml,VET6_8chips_raw_stream_20260525_234857.bin,5,2.732948,23.958719,6.794342,1.901415,5.638169,0.278086,-92.379963,-905.231033,-279.202905,-228.620188,-378.341353,-91.523048,-676.866080,-356.836111,-187.959722,-0.237500,0.770833,1.277083,-46.136111,-0.986806,-1.054861,-1.152495,1.167927,0.246656,-0.345062,-367.938539,-418.849093,-399.743730,-527.610877,-215.884808,-775.983389,-326.027369,-534.148611,-267.549306,0.479861,1.382639,1.042361,0.032639,1022,155.944824,1676,255.737305,1908,291.137695,2188,333.862305,-28148,-4295.043945,176,26.855469,-27836,-4247.436523,974,148.620605
50ml,VET6_8chips_raw_stream_20260525_234857.bin,6,1.325540,24.366127,6.294342,1.500180,5.539403,1.481790,-94.538154,-911.304028,-280.665383,-231.160764,-377.078456,-89.830121,-678.853445,-362.336111,-190.459722,-0.070833,-1.062500,-0.389583,-46.636111,0.013194,-0.054861,1.254913,-0.634542,-0.950874,-0.141358,-370.646191,-421.025533,-399.971915,-529.379638,-213.311313,-776.494091,-325.823398,-533.815278,-267.382639,0.813194,-0.450694,-0.624306,-0.800694,1012,154.418945,1679,256.195068,1908,291.137695,2180,332.641602,-28148,-4295.043945,183,27.923584,-27835,-4247.283936,972,148.315430
50ml,VET6_8chips_raw_stream_20260525_234857.bin,7,1.331713,22.859954,6.893107,2.500180,6.539403,1.278086,-96.075151,-917.127956,-281.971666,-231.320013,-378.401516,-89.364857,-682.524925,-368.336111,-193.459722,0.762500,-0.062500,0.110417,-46.636111,-0.085571,-0.456096,0.452443,-1.437011,-1.148405,-0.141358,-366.469751,-419.386091,-400.359350,-530.185920,-218.664192,-773.278893,-327.935311,-536.148611,-269.049306,-0.353472,-0.284028,-0.290972,-0.300694,1023,156.097412,1672,255.126953,1908,291.137695,2186,333.557129,-28144,-4294.433594,176,26.855469,-27834,-4247.131348,966,147.399902
50ml,VET6_8chips_raw_stream_20260525_234857.bin,8,1.128009,23.563657,5.893107,1.611291,2.928292,1.592901,-93.637075,-911.271054,-279.087285,-230.738862,-375.323105,-90.815396,-678.241531,-361.669444,-190.626389,-0.070833,-0.562500,-0.389583,-46.136111,0.716898,-0.258565,0.051209,-0.838246,-0.247171,0.858642,-366.666702,-420.246148,-396.818774,-532.339062,-213.191881,-774.604215,-325.395600,-532.148611,-266.549306,0.313194,1.049306,0.875694,0.699306,1018,155.334473,1679,256.195068,1911,291.595459,2190,334.167480,-28151,-4295.501709,188,28.686523,-27839,-4247.894287,978,149.230957
50ml,VET6_8chips_raw_stream_20260525_234857.bin,9,1.529244,23.662423,7.195576,1.105118,3.934465,-0.116975,-93.502918,-914.618148,-277.281003,-231.932579,-374.030756,-88.519524,-679.024925,-365.836111,-191.959722,0.929167,1.437500,1.110417,-46.802778,-0.184336,-0.857330,-0.146322,-0.338246,0.252829,0.154938,-367.389079,-419.920826,-398.318774,-529.110877,-213.621910,-777.168769,-325.415456,-533.815278,-268.382639,0.646528,-0.117361,-0.457639,-0.467361,1022,155.944824,1677,255.889893,1907,290.985107,2185,333.404541,-28154,-4295.959473,176,26.855469,-27841,-4248.199463,972,148.315430
50ml,VET6_8chips_raw_stream_20260525_234857.bin,10,2.029244,24.162423,7.998045,1.901415,5.638169,1.481790,-92.914698,-894.818885,-278.049764,-226.229699,-374.339091,-87.241901,-668.774022,-352.002778,-185.793056,0.929167,0.937500,0.610417,-45.969444,0.914429,0.543904,-0.251260,0.161754,0.752829,-0.950000,-368.099885,-417.657928,-402.471915,-526.032779,-216.057724,-778.920965,-325.599571,-532.648611,-267.049306,0.813194,0.715972,0.709028,0.699306,1012,154.418945,1685,257.110596,1904,290.527344,2185,333.404541,-28147,-4294.891357,176,26.855469,-27831,-4246.673584,972,148.315430
