Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260525_235035.bin,1,0.825540,23.866127,8.275823,8.203884,11.335700,1.765741,-0.423712,-0.223401,0.456781,0.424315,0.830181,0.227009,0.312620,-228.002778,-456.793056,-2350.404167,-873.729167,-453.722917,-32.969444,0.111960,0.346373,-0.751260,-1.338246,-0.747171,-0.443827,0.552484,-0.592044,-0.551322,-0.532779,-0.212239,0.617473,-0.173579,-0.315278,0.617361,-455.353472,-1753.617361,-1073.957639,-132.300694,1027,156.707764,1683,256.805420,1927,294.036865,2195,334.930420,-28140,-4293.823242,188,28.686523,-27826,-4245.910645,987,150.604248
50ml,VET6_8chips_raw_stream_20260525_235035.bin,2,0.924306,24.267361,8.078292,7.506353,10.033230,3.475617,1.528589,0.794848,0.572400,-0.728827,-0.465690,-0.528342,0.108649,-227.836111,-455.959722,-2352.904167,-869.729167,-450.722917,-31.636111,-0.486806,-0.554861,0.952443,0.970396,-0.555813,-0.943827,0.328346,0.387446,0.333059,0.235982,-0.283972,-0.036694,-0.061665,-0.315278,-0.382639,-452.353472,-1746.284028,-1068.790972,-130.300694,1026,156.555176,1682,256.652832,1919,292.816162,2195,334.930420,-28137,-4293.365479,190,28.991699,-27825,-4245.758057,1000,152.587891
50ml,VET6_8chips_raw_stream_20260525_235035.bin,3,0.924306,24.267361,6.979527,7.203884,10.335700,2.370679,-0.232547,-1.223401,-0.427600,-0.344446,-1.360984,0.021119,-1.299293,-231.336111,-460.959722,-2357.237500,-870.895833,-451.556250,-32.802778,-0.486806,-0.554861,0.853678,0.569162,-0.654578,-0.141358,-0.122194,0.076849,-0.166941,-0.379638,0.271274,-0.156126,0.234364,0.184722,0.617361,-455.686806,-1751.784028,-1074.290972,-132.134028,1023,156.097412,1683,256.805420,1925,293.731689,2206,336.608887,-28136,-4293.212891,189,28.839111,-27824,-4245.605469,991,151.214600
50ml,VET6_8chips_raw_stream_20260525_235035.bin,4,0.825540,23.866127,7.775823,8.210057,9.829527,1.370679,0.820937,-0.032236,1.072400,-0.613207,0.274935,-1.289478,0.016591,-228.169444,-457.126389,-2359.237500,-873.062500,-452.889583,-33.302778,-0.184336,-0.857330,-0.245087,-0.739480,0.154064,0.154938,-0.862819,0.599121,0.217439,-0.301540,0.510138,0.617473,0.734364,0.351389,0.450694,-455.020139,-1755.117361,-1073.957639,-130.800694,1024,156.250000,1686,257.263184,1918,292.663574,2193,334.625244,-28140,-4293.823242,179,27.313232,-27828,-4246.215820,989,150.909424
50ml,VET6_8chips_raw_stream_20260525_235035.bin,5,1.529244,23.662423,6.775823,6.605118,9.434465,2.173148,0.734479,1.642442,0.688020,-1.381968,0.811933,-1.528342,1.404678,-228.669444,-458.626389,-2356.237500,-874.562500,-454.389583,-34.136111,0.414429,0.043904,0.748740,1.667927,0.746656,-0.246296,-1.379306,0.751527,-0.398180,-0.917159,-0.283972,0.035039,0.234364,-0.315278,-0.382639,-456.853472,-1756.284028,-1075.290972,-130.634028,1023,156.097412,1688,257.568359,1922,293.273926,2198,335.388184,-28140,-4293.823242,193,29.449463,-27827,-4246.063232,1007,153.656006
50ml,VET6_8chips_raw_stream_20260525_235035.bin,6,0.523071,24.168596,8.078292,7.907587,10.131996,1.068210,-0.629602,-1.184642,-0.311980,-2.650729,-0.083361,-0.199497,-0.391351,-229.336111,-458.459722,-2357.404167,-870.395833,-451.056250,-31.636111,0.111960,0.346373,-0.448791,-1.035777,-1.049640,-0.141358,-1.241626,-0.630803,-1.204463,0.120362,0.462439,0.757416,0.030393,0.018056,0.784028,-456.020139,-1752.950694,-1072.624306,-131.300694,1018,155.334473,1682,256.652832,1925,293.731689,2194,334.777832,-28134,-4292.907715,180,27.465820,-27819,-4244.842529,996,151.977539
50ml,VET6_8chips_raw_stream_20260525_235035.bin,7,0.819367,25.372299,7.973354,7.500180,11.539403,3.469444,1.250966,0.278361,1.072400,-0.844446,-0.068635,-1.686533,0.108649,-229.336111,-458.959722,-2353.404167,-872.729167,-451.722917,-31.636111,0.315664,-0.357330,0.452443,-0.035777,-0.049640,0.457407,-0.035735,0.837985,0.101820,1.120362,0.477164,-0.161911,0.826421,0.018056,0.284028,-453.353472,-1753.284028,-1072.790972,-130.967361,1026,156.555176,1688,257.568359,1922,293.273926,2202,335.998535,-28140,-4293.823242,189,28.839111,-27826,-4245.910645,997,152.130127
50ml,VET6_8chips_raw_stream_20260525_235035.bin,8,2.029244,24.162423,8.281996,7.407587,9.631996,2.574383,-0.146089,0.430766,-0.158839,0.155554,-1.379232,0.074603,-0.595322,-231.169444,-461.626389,-2359.570833,-873.062500,-452.389583,-33.302778,-0.388040,-0.153627,-0.350026,-0.437011,-0.148405,-0.746296,0.083697,0.043875,0.486200,0.698460,-0.179265,1.981554,-0.061665,0.518056,1.284028,-454.020139,-1751.617361,-1070.457639,-129.967361,1026,156.555176,1693,258.331299,1929,294.342041,2194,334.777832,-28138,-4293.518066,184,28.076172,-27825,-4245.758057,989,150.909424
50ml,VET6_8chips_raw_stream_20260525_235035.bin,9,2.029244,24.162423,6.677058,7.203884,10.335700,1.969444,-0.193788,-1.309859,-1.580741,-1.075685,-1.188067,0.298742,-1.207235,-230.669444,-459.126389,-2363.237500,-874.395833,-452.556250,-32.302778,-0.388040,-0.153627,0.051209,-0.134542,-0.450874,0.358642,0.433052,-0.075557,-0.935702,-0.417159,-0.212239,0.187444,0.030393,-0.481944,-0.215972,-458.686806,-1761.450694,-1076.624306,-130.467361,1023,156.097412,1685,257.110596,1930,294.494629,2198,335.388184,-28138,-4293.518066,185,28.228760,-27823,-4245.452881,998,152.282715
50ml,VET6_8chips_raw_stream_20260525_235035.bin,10,1.029244,23.162423,7.979527,7.907587,10.131996,3.074383,-0.749034,0.000738,-0.811980,0.308695,-0.704554,-0.964156,-0.299293,-231.169444,-461.626389,-2359.737500,-872.729167,-451.722917,-31.636111,-1.486806,-1.554861,-0.646322,0.365458,0.049126,0.457407,0.964265,-0.334932,1.101820,-0.148398,-0.456888,-0.884288,-0.541810,1.018056,1.284028,-456.853472,-1760.784028,-1077.290972,-132.134028,1027,156.707764,1680,256.347656,1920,292.968750,2196,335.083008,-28139,-4293.670654,183,27.923584,-27827,-4246.063232,991,151.214600
