Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260525_234349.bin,1,-287.359645,-610.948688,-1385.897016,-1388.493647,-1018.466770,-564.777469,-0.179063,-0.103969,0.188020,0.424315,0.155503,-0.600075,-0.095322,-0.669444,-1.126389,0.262500,0.104167,0.443750,0.197222,-44.776929,-71.764738,-62.238915,-323.412320,-378.173097,-397.950000,0.605969,1.268014,-0.051322,-0.148398,-0.197514,-0.553181,0.530393,-0.148611,-0.049306,-0.020139,-0.617361,-0.457639,0.032639,1041,158.843994,1652,252.075195,1874,285.949707,2159,329.437256,-28149,-4295.196533,162,24.719238,-27828,-4246.215820,1028,156.860352
50ml,VET6_8chips_raw_stream_20260525_234349.bin,2,-287.643596,-615.164738,-1387.088374,-1387.802289,-1015.658128,-563.684877,0.958618,0.054222,-0.196361,-1.344446,0.486611,-1.011855,0.496736,0.497222,1.206944,0.762500,0.770833,0.277083,-0.802778,-45.171991,-73.369676,-61.535211,-325.307382,-381.278035,-403.456173,-0.068709,0.354472,0.217439,0.967221,-0.456888,0.512767,-0.153723,0.351389,0.450694,0.313194,-0.450694,-0.124306,-0.134028,1038,158.386230,1645,251.007080,1872,285.644531,2151,328.216553,-28149,-4295.196533,153,23.345947,-27831,-4246.673584,1015,154.876709
50ml,VET6_8chips_raw_stream_20260525_234349.bin,3,-288.847299,-615.461034,-1386.687140,-1387.999820,-1016.460597,-565.086111,0.773238,0.054222,-0.465121,-0.997588,0.639016,0.179310,0.404678,0.497222,0.706944,0.262500,-0.062500,0.610417,0.697222,-46.178164,-72.863503,-62.133976,-326.609851,-381.975566,-403.956173,-0.068709,0.387446,0.217439,-0.032779,-0.767485,-0.553181,-0.357694,-0.315278,-0.382639,0.646528,0.549306,0.375694,0.865972,1033,157.623291,1647,251.312256,1870,285.339355,2161,329.742432,-28152,-4295.654297,159,24.261475,-27835,-4247.283936,1034,157.775879
50ml,VET6_8chips_raw_stream_20260525_234349.bin,4,-289.248534,-615.559799,-1391.569856,-1395.203524,-1022.756893,-565.870062,0.423882,-0.515749,0.956781,-0.344446,-0.035661,0.418173,-0.391351,-0.336111,-0.459722,-0.904167,-0.562500,-0.389583,-0.469444,-44.875694,-72.165972,-62.133976,-320.708616,-376.376800,-400.061111,0.997238,0.148582,0.986200,-0.148398,-1.370430,-0.487233,-0.653723,0.184722,0.617361,-0.853472,-0.784028,-0.790972,-0.800694,1046,159.606934,1636,249.633789,1877,286.407471,2159,329.437256,-28149,-4295.196533,159,24.261475,-27827,-4246.063232,1096,167.236328
50ml,VET6_8chips_raw_stream_20260525_234349.bin,5,-290.057176,-614.251157,-1390.489609,-1391.993647,-1021.966770,-566.271296,-0.662576,0.293086,-0.080741,0.308695,0.519585,-1.394185,0.404678,0.163889,0.040278,0.262500,0.937500,0.610417,0.030556,-44.678164,-71.363503,-60.831507,-323.708616,-379.376800,-397.443827,0.447778,1.115608,0.601820,0.235982,0.113083,0.029253,0.734364,-0.148611,-0.549306,-0.186806,-0.284028,-0.290972,0.699306,1041,158.843994,1648,251.464844,1877,286.407471,2166,330.505371,-28152,-4295.654297,173,26.397705,-27832,-4246.826172,1063,162.200928
50ml,VET6_8chips_raw_stream_20260525_234349.bin,6,-289.458410,-613.349923,-1388.390844,-1391.178832,-1024.781584,-565.857716,0.337424,0.155405,0.688020,0.424315,1.743723,-0.600075,0.996736,-0.002778,-0.293056,-0.070833,-0.729167,-0.222917,-0.636111,-45.480633,-71.561034,-62.035211,-323.208616,-378.876800,-402.159877,-0.188141,0.163307,-0.282561,-0.379638,0.510138,-1.347291,0.326421,-0.315278,0.117361,-0.020139,-0.450694,-0.124306,0.532639,1038,158.386230,1644,250.854492,1871,285.491943,2158,329.284668,-28146,-4294.738770,144,21.972656,-27827,-4246.063232,882,134.582520
50ml,VET6_8chips_raw_stream_20260525_234349.bin,7,-290.649769,-616.658565,-1386.464918,-1394.092413,-1024.368004,-565.160185,0.164508,0.761874,-0.311980,-0.344446,-0.221041,-0.375936,0.496736,-0.169444,-0.126389,-0.237500,0.604167,0.943750,0.030556,-44.678164,-71.363503,-62.337680,-323.412320,-378.173097,-398.752469,0.170155,-0.353180,0.986200,0.120362,-0.146292,-0.400775,-0.357694,-0.148611,-0.049306,0.813194,-0.284028,-0.290972,-0.634028,1044,159.301758,1643,250.701904,1875,286.102295,2164,330.200195,-28152,-4295.654297,170,25.939941,-27831,-4246.673584,1132,172.729492
50ml,VET6_8chips_raw_stream_20260525_234349.bin,8,-289.946065,-616.862269,-1387.674794,-1392.876363,-1027.084053,-567.555247,1.078050,-0.103969,0.072400,0.039934,0.313694,-0.719507,0.108649,-0.002778,-0.293056,0.429167,-0.895833,-1.056250,-0.802778,-44.776929,-71.764738,-62.936445,-325.011085,-380.074331,-404.363580,-0.035735,0.043875,0.101820,0.351602,0.701303,0.790390,0.438335,-0.148611,-0.549306,-0.186806,-0.117361,0.042361,-0.134028,1033,157.623291,1642,250.549316,1872,285.644531,2159,329.437256,-28150,-4295.349121,165,25.177002,-27831,-4246.673584,965,147.247314
50ml,VET6_8chips_raw_stream_20260525_234349.bin,9,-289.347299,-615.961034,-1391.384671,-1391.802289,-1019.658128,-564.475000,-1.059631,0.690141,-0.311980,0.539934,0.208988,-0.203020,0.496736,0.163889,0.540278,-0.070833,0.937500,1.110417,1.030556,-45.381867,-71.159799,-60.535211,-322.307382,-378.278035,-405.270988,0.552484,0.957417,-0.320083,-0.301540,0.668329,0.518552,0.938335,0.851389,0.950694,1.313194,0.382639,0.542361,0.699306,1035,157.928467,1641,250.396729,1878,286.560059,2156,328.979492,-28152,-4295.654297,157,23.956299,-27831,-4246.673584,902,137.634277
50ml,VET6_8chips_raw_stream_20260525_234349.bin,10,-287.242361,-615.065972,-1388.785905,-1390.876363,-1025.084053,-565.555247,-0.921950,-1.103969,-1.465121,-0.422544,-0.322224,-0.686533,-0.595322,-0.336111,0.040278,-0.237500,-0.562500,-0.389583,-1.136111,-43.579398,-69.962269,-62.238915,-321.708616,-377.376800,-402.666049,0.050723,0.249765,0.601820,-0.148398,0.510138,-0.156126,0.418479,-1.148611,-1.049306,-0.353472,-0.617361,-0.457639,0.032639,1037,158.233643,1648,251.464844,1872,285.644531,2165,330.352783,-28151,-4295.501709,166,25.329590,-27831,-4246.673584,1146,174.865723
