Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260525_234641.bin,1,0.757639,15.934028,3.584465,-0.549203,-8.911214,-5.382407,0.337424,-0.190427,0.572400,0.077456,-0.241552,-1.394185,-0.391351,-0.169444,-0.126389,0.929167,0.270833,-0.222917,-0.302778,-0.585571,-0.956096,0.149974,0.167927,-0.753344,-0.542593,0.447778,0.300987,0.717439,0.504743,-0.681027,0.082738,-0.357694,0.184722,0.617361,-0.020139,0.215972,0.709028,1.532639,1055,160.980225,1704,260.009766,1922,293.273926,2179,332.489014,-28147,-4294.891357,208,31.738281,-27832,-4246.826172,1028,156.860352
50ml,VET6_8chips_raw_stream_20260525_234641.bin,2,1.356404,16.835262,3.183230,-0.351672,-8.108745,-5.184877,0.370398,0.603683,0.572400,0.424315,0.208988,0.591090,0.404678,0.663889,1.040278,0.929167,0.937500,1.110417,-0.302778,1.013194,0.945139,0.853678,0.766692,0.147891,0.858642,-0.361057,0.700304,-1.051322,0.235982,1.065384,0.790390,1.214508,-0.481944,-0.215972,0.979861,0.049306,-0.124306,0.032639,1048,159.912109,1692,258.178711,1922,293.273926,2167,330.657959,-28146,-4294.738770,201,30.670166,-27832,-4246.826172,1034,157.775879
50ml,VET6_8chips_raw_stream_20260525_234641.bin,3,0.652701,17.038966,2.479527,-1.351672,-9.108745,-6.184877,0.442131,-0.739888,-0.696361,-0.691305,0.003098,-0.375936,-0.207235,-0.836111,-0.459722,1.429167,0.604167,0.443750,0.030556,-0.585571,-0.956096,0.254913,-0.233308,-0.852109,0.259877,0.466026,0.321498,-1.051322,0.198460,-0.815184,0.306876,-0.061665,-0.481944,-0.715972,-0.353472,-0.117361,0.042361,0.532639,1056,161.132812,1695,258.636475,1921,293.121338,2171,331.268311,-28145,-4294.586182,211,32.196045,-27831,-4246.673584,1031,157.318115
50ml,VET6_8chips_raw_stream_20260525_234641.bin,4,0.652701,17.038966,3.985700,-1.956610,-8.503807,-5.586111,0.734479,-0.515749,0.572400,-1.613207,-0.465690,0.059878,-0.503264,-0.669444,-0.126389,-0.404167,-1.229167,-0.222917,0.530556,-0.085571,-0.456096,-0.146322,-1.233308,-1.852109,-0.740123,-0.465764,1.268014,0.448678,1.504743,0.907193,-0.075453,1.050248,0.851389,-0.049306,0.146528,-0.617361,-0.957639,-1.300694,1047,159.759521,1692,258.178711,1908,291.137695,2168,330.810547,-28139,-4293.670654,207,31.585693,-27825,-4245.758057,1020,155.639648
50ml,VET6_8chips_raw_stream_20260525_234641.bin,5,1.652701,18.038966,4.183230,0.444624,-6.405041,-5.592284,-0.212036,0.120170,0.072400,0.924315,-0.829771,-0.083588,-0.595322,-0.336111,0.040278,0.095833,0.770833,0.777083,0.530556,-0.789275,-0.252392,0.051209,-0.634542,-0.950874,-0.943827,0.328346,0.957417,0.448678,0.735982,1.304248,0.876848,1.142306,1.018056,0.784028,0.479861,-0.617361,-0.457639,0.699306,1056,161.132812,1696,258.789062,1924,293.579102,2173,331.573486,-28146,-4294.738770,209,31.890869,-27831,-4246.673584,1030,157.165527
50ml,VET6_8chips_raw_stream_20260525_234641.bin,6,1.158873,16.032793,3.485700,-0.561548,-5.898868,-3.789815,0.528589,0.588957,-0.080741,-0.766349,-0.671580,0.576365,-0.075466,0.163889,-0.959722,0.429167,-0.562500,-0.889583,-0.469444,-0.486806,-0.554861,-0.448791,-0.437011,-0.148405,-1.147531,1.361320,-0.009609,0.870581,0.351602,-1.250998,-0.036694,-0.857694,-0.981944,-1.215972,-0.186806,-1.117361,-0.957639,-0.467361,1054,160.827637,1702,259.704590,1922,293.273926,2173,331.573486,-28149,-4295.196533,203,30.975342,-27832,-4246.826172,1017,155.181885
50ml,VET6_8chips_raw_stream_20260525_234641.bin,7,0.356404,15.835262,3.386934,-1.857845,-8.102572,-4.684877,0.092775,-0.118694,0.956781,-1.381968,0.122530,0.059878,0.016591,-0.169444,-1.126389,1.262500,0.604167,-0.056250,-0.302778,0.513194,0.445139,-0.047557,-1.035777,-1.049640,-0.141358,0.050723,0.545637,0.717439,-0.301540,0.113083,0.584499,0.346277,0.184722,-0.382639,-0.686806,-0.117361,0.042361,0.199306,1049,160.064697,1698,259.094238,1919,292.816162,2168,330.810547,-28154,-4295.959473,207,31.585693,-27840,-4248.046875,1018,155.334473
50ml,VET6_8chips_raw_stream_20260525_234641.bin,8,1.356404,16.835262,3.781996,-0.055376,-6.905041,-5.691049,-0.041382,0.364819,-0.965121,-0.613207,-0.426931,0.695796,0.200707,-0.669444,-1.126389,-0.070833,0.770833,0.277083,-0.136111,0.611960,0.846373,-0.251260,0.161754,0.752829,0.253704,-0.432790,0.679794,0.333059,0.351602,0.701303,-0.466723,0.642306,0.518056,0.284028,0.146528,-0.117361,-0.457639,-1.134028,1050,160.217285,1699,259.246826,1921,293.121338,2180,332.641602,-28147,-4294.891357,214,32.653809,-27833,-4246.978760,1031,157.318115
50ml,VET6_8chips_raw_stream_20260525_234641.bin,9,0.152701,16.538966,3.281996,-0.654141,-7.806276,-5.487346,0.012102,-0.342833,-0.580741,-1.381968,0.433126,0.059878,0.108649,0.330556,0.373611,-0.904167,-0.395833,-0.556250,-0.969444,0.309491,1.148843,-0.652495,-0.937011,-0.648405,-0.443827,0.433052,0.300987,-0.935702,0.504743,-1.316946,0.082738,-0.561665,-0.481944,-0.215972,0.479861,-0.117361,0.542361,0.199306,1044,159.301758,1691,258.026123,1922,293.273926,2171,331.268311,-28141,-4293.975830,198,30.212402,-27827,-4246.063232,1019,155.487061
50ml,VET6_8chips_raw_stream_20260525_234641.bin,10,1.856404,17.335262,3.386934,-1.357845,-7.602572,-5.789815,1.355673,1.000738,0.034879,0.924315,0.176014,-0.083588,0.700707,-0.169444,-0.626389,0.429167,0.437500,0.110417,0.197222,-1.690509,-0.851157,-0.251260,0.865458,0.549126,-0.246296,-0.916303,0.784500,-0.398180,0.735982,-0.919891,0.082738,-0.061665,0.184722,0.617361,0.479861,-0.284028,-0.790972,-0.634028,1046,159.606934,1699,259.246826,1916,292.358398,2174,331.726074,-28147,-4294.891357,210,32.043457,-27831,-4246.673584,1020,155.639648
