Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-7,3,3,1,-8,4,-6,5,1,1,-7,3,-7,2,-1,-3,-6,3,-7,-16,3,-1,-8,4,-6,3,3,0,-6,4,-7,1,1,-1,-7,1,-1
1,-7,2,2,-2,-7,3,-9,4,0,0,-4,2,-6,3,2,-2,-7,3,-6,-19,1,-2,-7,4,-7,3,1,-2,-8,1,-5,1,4,0,-6,2,-2
2,-5,3,2,-1,-7,4,-10,2,3,1,-6,4,-8,2,1,-3,-6,2,-6,-18,2,1,-6,3,-5,2,4,-2,-8,3,-9,3,0,-2,-5,2,-1
3,-5,3,0,0,-6,3,-5,3,3,-2,-9,4,-7,2,0,-2,-6,1,-7,-18,1,1,-6,1,-6,4,1,1,-6,5,-7,2,1,-2,-6,0,0
4,-7,3,2,-2,-6,3,-10,3,1,1,-8,2,-10,3,2,0,-3,4,-5,-17,-1,-2,-6,1,-8,1,0,0,-8,2,-5,4,3,1,-7,4,1
5,-7,6,3,0,-6,4,-5,3,1,1,-6,4,-8,3,0,-2,-6,4,-5,-16,0,2,-7,4,-5,4,1,-1,-7,7,-7,4,0,-1,-7,4,1
6,-7,2,0,-3,-8,3,-7,4,0,0,-8,4,-5,4,2,-1,-5,6,-7,-17,2,0,-8,2,-6,3,-1,0,-5,4,-6,6,-2,-1,-9,3,0
7,-7,2,5,1,-6,4,-7,1,0,-2,-5,1,-7,4,2,-1,-6,3,-5,-18,2,-2,-6,4,-7,1,1,-3,-4,2,-5,3,3,1,-6,4,-1
8,-7,4,0,-2,-6,5,-6,3,2,0,-6,1,-7,3,1,-3,-8,1,-7,-18,0,1,-9,2,-6,2,3,1,-8,5,-7,2,3,-2,-6,2,0
9,-7,3,1,-3,-7,1,-6,2,2,0,-8,2,-5,5,3,-2,-6,4,-5,-17,2,0,-8,3,-6,1,0,-4,-5,5,-3,4,1,0,-7,4,-2
10,-7,3,1,0,-8,2,-9,2,2,-1,-8,4,-6,3,-2,0,-7,3,-5,-16,1,1,-6,2,-5,6,3,-1,-6,5,-6,2,4,1,-7,4,-1
11,-8,3,1,-2,-6,2,-6,2,3,-2,-4,2,-5,5,3,-1,-6,3,-7,-18,2,-1,-8,4,-6,3,1,0,-8,2,-7,3,3,1,-6,1,-1
12,-7,4,2,-1,-6,3,-6,3,2,-2,-9,4,-7,4,-1,0,-9,3,-7,-17,3,1,-7,1,-6,2,0,-1,-7,4,-5,3,3,-2,-6,4,-1
13,-5,3,1,-2,-6,4,-6,3,2,1,-7,3,-7,4,2,0,-6,4,-6,-17,0,-1,-7,4,-5,4,1,1,-6,4,-7,3,4,0,-9,4,-2
14,-5,3,2,0,-5,3,-9,2,0,-2,-4,2,-5,3,1,-1,-7,2,-7,-17,1,1,-6,4,-5,4,0,-1,-6,1,-7,4,2,0,-8,5,1
15,-7,4,2,2,-5,4,-5,3,1,0,-5,5,-8,4,0,-1,-6,3,-5,-16,0,1,-5,5,-2,4,3,-1,-6,4,-6,4,0,-3,-8,5,1
16,-7,3,0,0,-6,1,-6,5,0,-2,-9,3,-5,3,1,0,-6,1,-6,-17,1,-2,-6,3,-7,3,2,-2,-7,2,-6,6,1,-1,-5,4,-2
17,-5,3,3,-2,-5,4,-7,3,0,-2,-6,2,-7,5,1,-2,-6,4,-3,-16,3,0,-6,4,-5,3,1,1,-5,2,-7,1,2,-1,-7,4,-1
18,-7,6,1,-2,-8,4,-4,4,3,1,-6,3,-7,6,2,-2,-6,4,-6,-18,0,-2,-6,1,-6,3,0,1,-5,2,-5,4,2,-2,-7,3,-2
19,-7,1,0,-1,-7,2,-8,3,3,-2,-6,3,-3,4,2,1,-6,3,-5,-16,2,-2,-6,2,-8,2,0,-2,-7,4,-7,3,2,-2,-9,3,-2
20,-4,3,0,1,-8,6,-7,4,0,-2,-6,5,-6,3,3,1,-8,6,-7,-18,0,1,-6,3,-6,5,1,0,-6,4,-7,2,2,-2,-6,2,0
21,-5,2,2,-2,-8,2,-5,5,3,0,-7,4,-5,0,3,-2,-6,4,-7,-16,0,0,-7,4,-7,3,0,2,-6,2,-5,6,0,-1,-6,4,-3
22,-5,4,2,-3,-6,4,-7,0,2,-2,-6,4,-5,4,2,-1,-8,4,-7,-15,2,-1,-7,6,-6,1,1,0,-8,2,-8,3,2,0,-9,3,-1
23,-6,3,4,-3,-7,6,-7,4,2,0,-6,3,-6,3,1,0,-8,4,-7,-17,2,1,-7,3,-7,3,1,-2,-8,3,-5,3,1,0,-6,2,-2
24,-7,3,2,-2,-5,1,-5,4,1,-2,-4,3,-5,4,3,1,-7,4,-7,-18,1,-2,-6,3,-9,3,2,-1,-5,4,-9,4,3,-1,-7,4,-2
25,-7,4,2,-1,-6,5,-7,3,2,1,-6,3,-5,2,3,-1,-5,4,-6,-21,2,-2,-4,6,-8,4,3,0,-7,4,-8,2,0,-1,-8,4,-2
26,-5,6,0,-2,-7,4,-6,3,0,0,-7,4,-7,2,1,0,-6,1,-6,-18,1,0,-7,3,-6,3,2,0,-7,2,-7,4,2,-2,-7,6,-2
27,-9,3,2,-2,-8,3,-4,1,3,0,-7,4,-6,4,3,-2,-6,4,-7,-18,2,1,-7,1,-7,2,0,-2,-8,3,-6,4,1,0,-6,4,-1
28,-7,5,2,-2,-6,4,-8,2,0,-2,-6,3,-7,3,3,0,-6,1,-5,-18,4,1,-7,6,-7,3,2,-2,-8,4,-8,2,1,-2,-6,2,-1
29,-5,4,1,0,-6,3,-6,5,1,1,-7,5,-7,3,0,0,-6,4,-7,-18,3,-2,-6,4,-7,5,3,0,-3,3,-4,2,3,0,-6,3,0
