Time(ms),TactileRaw(16bit),GroundRef(16bit)
1685.00,-580,3
1690.00,-587,4
1695.00,-583,3
1700.00,-586,5
1705.00,-583,3
1710.00,-581,2
1715.00,-586,2
1720.00,-584,3
1725.00,-589,3
1730.00,-585,3
1735.00,-586,6
1740.00,-590,4
1745.00,-589,2
1750.00,-589,5
1755.00,-587,5
1760.00,-585,5
1765.00,-589,4
1770.00,-591,2
1775.00,-593,3
1780.00,-590,3
1785.00,-589,3
1790.00,-595,3
1795.00,-588,4
1800.00,-582,4
1805.00,-585,3
1810.00,-586,3
1815.00,-589,2
1820.00,-588,5
1825.00,-586,3
1830.00,-586,2
1835.00,-589,3
1840.00,-584,3
1845.00,-585,3
1850.00,-584,3
1855.00,-585,5
1860.00,-588,5
1865.00,-590,4
1870.00,-590,2
1875.00,-589,3
1880.00,-589,2
1885.00,-590,5
1890.00,-589,4
1895.00,-587,4
1900.00,-587,4
1905.00,-594,1
1910.00,-587,5
1915.00,-588,3
1920.00,-586,4
1925.00,-586,3
1930.00,-589,5
1935.00,-592,3
1940.00,-588,4
1945.00,-590,5
1950.00,-586,5
1955.00,-583,3
1960.00,-584,5
1965.00,-589,3
1970.00,-588,4
1975.00,-584,5
1980.00,-579,4
1985.00,-583,2
1990.00,-585,6
1995.00,-585,4
2000.00,-589,2
2005.00,-585,5
2010.00,-586,7
2015.00,-589,5
2020.00,-587,1
2025.00,-583,4
2030.00,-586,3
2035.00,-584,3
2040.00,-584,4
2045.00,-586,5
2050.00,-590,5
2055.00,-596,5
2060.00,-597,5
2065.00,-595,4
2070.00,-589,3
2075.00,-592,3
2080.00,-594,2
2085.00,-595,5
2090.00,-596,2
2095.00,-593,5
2100.00,-585,5
2105.00,-590,4
2110.00,-591,2
2115.00,-590,3
2120.00,-589,5
2125.00,-592,2
2130.00,-590,4
2135.00,-592,4
2140.00,-589,3
2145.00,-592,5
2150.00,-587,3
2155.00,-595,3
2160.00,-588,4
2165.00,-590,5
2170.00,-589,4
2175.00,-592,3
2180.00,-589,5
2185.00,-587,5
2190.00,-591,5
2195.00,-587,2
2200.00,-585,4
2205.00,-589,2
