Force_N,Loading_LSB,Unloading_LSB,Error_LSB,Error_percentFS
0.0,-3.550903119868637,-3.4367720465890184,0.1141310732796188,0.0015223771193219379
1.0,-1094.5802371541502,-1065.3330757341575,29.247161419992608,0.39012346131036735
2.0,-1960.8401920438957,-1935.6340361445782,25.206155899317537,0.33622110004318423
3.0,-2814.9057714958776,-2811.518317503392,3.3874539924854616,0.045184736309989065
4.0,-3565.5483304042177,-3523.1377473363773,42.410583067840435,0.565708351146405
5.0,-4275.955943474647,-4243.705564142195,32.25037933245221,0.4301829306808596
6.0,-4958.020089285715,-4940.869958847737,17.150130437978078,0.22876299522916177
7.0,-5556.399571122231,-5534.515796260477,21.88377486175341,0.2919043620338525
8.0,-6090.170771756979,-6051.619706840391,38.551064916588075,0.5142268224423062
9.0,-6716.4658436213995,-6690.333842627961,26.13200099343885,0.3485708076804159
10.0,-7500.449787835926,-7511.734901960785,-11.28511412485841,0.1505304299603853
