SourceFile,True,Pred,TrueIndex,PredIndex
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\idw4\100ml\VET6_8chips_raw_stream_20260527_220046.csv,100ml,200ml,2,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\idw4\100ml\VET6_8chips_raw_stream_20260527_220054.csv,100ml,200ml,2,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\idw4\200ml\VET6_8chips_raw_stream_20260527_221352.csv,200ml,50ml,3,1
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\idw4\200ml\VET6_8chips_raw_stream_20260527_221437.csv,200ml,50ml,3,1
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\idw4\200ml\VET6_8chips_raw_stream_20260527_221607.csv,200ml,100ml,3,2
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\idw4\200ml\VET6_8chips_raw_stream_20260528_212413.csv,200ml,100ml,3,2
