ContainerModel,Ambient_C,Liquid_C,LevelClass,Volume,SourceFile,Index,L_P1_R1C1,L_P1_R1C2,L_P1_R1C3,L_P1_R1C4,L_P1_R1C5,L_P1_R1C6,L_P1_R2C1,L_P1_R2C2,L_P1_R2C3,L_P1_R2C4,L_P1_R2C5,L_P1_R2C6,L_P1_R3C1,L_P1_R3C2,L_P1_R3C3,L_P1_R3C4,L_P1_R3C5,L_P1_R3C6,L_P1_R4C1,L_P1_R4C2,L_P1_R4C3,L_P1_R4C4,L_P1_R4C5,L_P1_R4C6,L_P1_R5C1,L_P1_R5C2,L_P1_R5C3,L_P1_R5C4,L_P1_R5C5,L_P1_R5C6,L_P1_R6C1,L_P1_R6C2,L_P1_R6C3,L_P1_R6C4,L_P1_R6C5,L_P1_R6C6,L_P2_R1C1,L_P2_R1C2,L_P2_R1C3,L_P2_R1C4,L_P2_R1C5,L_P2_R1C6,L_P2_R2C1,L_P2_R2C2,L_P2_R2C3,L_P2_R2C4,L_P2_R2C5,L_P2_R2C6,L_P2_R3C1,L_P2_R3C2,L_P2_R3C3,L_P2_R3C4,L_P2_R3C5,L_P2_R3C6,L_P2_R4C1,L_P2_R4C2,L_P2_R4C3,L_P2_R4C4,L_P2_R4C5,L_P2_R4C6,L_P2_R5C1,L_P2_R5C2,L_P2_R5C3,L_P2_R5C4,L_P2_R5C5,L_P2_R5C6,L_P2_R6C1,L_P2_R6C2,L_P2_R6C3,L_P2_R6C4,L_P2_R6C5,L_P2_R6C6,L_P3a_R1C1,L_P3a_R1C2,L_P3a_R1C3,L_P3a_R1C4,L_P3a_R1C5,L_P3a_R1C6,L_P3a_R2C1,L_P3a_R2C2,L_P3a_R2C3,L_P3a_R2C4,L_P3a_R2C5,L_P3a_R2C6,L_P3a_R3C1,L_P3a_R3C2,L_P3a_R3C3,L_P3a_R3C4,L_P3a_R3C5,L_P3a_R3C6,L_P3a_R4C1,L_P3a_R4C2,L_P3a_R4C3,L_P3a_R4C4,L_P3a_R4C5,L_P3a_R4C6,L_P3a_R5C1,L_P3a_R5C2,L_P3a_R5C3,L_P3a_R5C4,L_P3a_R5C5,L_P3a_R5C6,L_P3a_R6C1,L_P3a_R6C2,L_P3a_R6C3,L_P3a_R6C4,L_P3a_R6C5,L_P3a_R6C6,L_P3b_R1C1,L_P3b_R1C2,L_P3b_R1C3,L_P3b_R1C4,L_P3b_R1C5,L_P3b_R1C6,L_P3b_R2C1,L_P3b_R2C2,L_P3b_R2C3,L_P3b_R2C4,L_P3b_R2C5,L_P3b_R2C6,L_P3b_R3C1,L_P3b_R3C2,L_P3b_R3C3,L_P3b_R3C4,L_P3b_R3C5,L_P3b_R3C6,L_P3b_R4C1,L_P3b_R4C2,L_P3b_R4C3,L_P3b_R4C4,L_P3b_R4C5,L_P3b_R4C6,L_P3b_R5C1,L_P3b_R5C2,L_P3b_R5C3,L_P3b_R5C4,L_P3b_R5C5,L_P3b_R5C6,L_P3b_R6C1,L_P3b_R6C2,L_P3b_R6C3,L_P3b_R6C4,L_P3b_R6C5,L_P3b_R6C6,R_P1_R1C1,R_P1_R1C2,R_P1_R1C3,R_P1_R1C4,R_P1_R1C5,R_P1_R1C6,R_P1_R2C1,R_P1_R2C2,R_P1_R2C3,R_P1_R2C4,R_P1_R2C5,R_P1_R2C6,R_P1_R3C1,R_P1_R3C2,R_P1_R3C3,R_P1_R3C4,R_P1_R3C5,R_P1_R3C6,R_P1_R4C1,R_P1_R4C2,R_P1_R4C3,R_P1_R4C4,R_P1_R4C5,R_P1_R4C6,R_P1_R5C1,R_P1_R5C2,R_P1_R5C3,R_P1_R5C4,R_P1_R5C5,R_P1_R5C6,R_P1_R6C1,R_P1_R6C2,R_P1_R6C3,R_P1_R6C4,R_P1_R6C5,R_P1_R6C6,R_P2_R1C1,R_P2_R1C2,R_P2_R1C3,R_P2_R1C4,R_P2_R1C5,R_P2_R1C6,R_P2_R2C1,R_P2_R2C2,R_P2_R2C3,R_P2_R2C4,R_P2_R2C5,R_P2_R2C6,R_P2_R3C1,R_P2_R3C2,R_P2_R3C3,R_P2_R3C4,R_P2_R3C5,R_P2_R3C6,R_P2_R4C1,R_P2_R4C2,R_P2_R4C3,R_P2_R4C4,R_P2_R4C5,R_P2_R4C6,R_P2_R5C1,R_P2_R5C2,R_P2_R5C3,R_P2_R5C4,R_P2_R5C5,R_P2_R5C6,R_P2_R6C1,R_P2_R6C2,R_P2_R6C3,R_P2_R6C4,R_P2_R6C5,R_P2_R6C6,R_P3a_R1C1,R_P3a_R1C2,R_P3a_R1C3,R_P3a_R1C4,R_P3a_R1C5,R_P3a_R1C6,R_P3a_R2C1,R_P3a_R2C2,R_P3a_R2C3,R_P3a_R2C4,R_P3a_R2C5,R_P3a_R2C6,R_P3a_R3C1,R_P3a_R3C2,R_P3a_R3C3,R_P3a_R3C4,R_P3a_R3C5,R_P3a_R3C6,R_P3a_R4C1,R_P3a_R4C2,R_P3a_R4C3,R_P3a_R4C4,R_P3a_R4C5,R_P3a_R4C6,R_P3a_R5C1,R_P3a_R5C2,R_P3a_R5C3,R_P3a_R5C4,R_P3a_R5C5,R_P3a_R5C6,R_P3a_R6C1,R_P3a_R6C2,R_P3a_R6C3,R_P3a_R6C4,R_P3a_R6C5,R_P3a_R6C6,R_P3b_R1C1,R_P3b_R1C2,R_P3b_R1C3,R_P3b_R1C4,R_P3b_R1C5,R_P3b_R1C6,R_P3b_R2C1,R_P3b_R2C2,R_P3b_R2C3,R_P3b_R2C4,R_P3b_R2C5,R_P3b_R2C6,R_P3b_R3C1,R_P3b_R3C2,R_P3b_R3C3,R_P3b_R3C4,R_P3b_R3C5,R_P3b_R3C6,R_P3b_R4C1,R_P3b_R4C2,R_P3b_R4C3,R_P3b_R4C4,R_P3b_R4C5,R_P3b_R4C6,R_P3b_R5C1,R_P3b_R5C2,R_P3b_R5C3,R_P3b_R5C4,R_P3b_R5C5,R_P3b_R5C6,R_P3b_R6C1,R_P3b_R6C2,R_P3b_R6C3,R_P3b_R6C4,R_P3b_R6C5,R_P3b_R6C6,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_Temperature_C,AD2_Temperature_C,AD3_Temperature_C,AD4_Temperature_C,AD5_Temperature_C,AD6_Temperature_C,AD7_Temperature_C,AD8_Temperature_C
100ml,24.6,64.6,LOW,100ml,ContainerModel100ml_Tamb24p6C_Tliquid64p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_221123.bin,1,1.649789,1.658228,1.506329,-1.544304,-1.392405,-1.341772,-0.303797,-1.392405,0.793249,-2.392405,2.658228,-1.303797,4.016878,5.848101,-0.084388,0.502110,0.864979,-0.236287,5.345992,15.822785,1.118143,1.333333,0.578059,0.189873,2.388186,-1.835443,0.506329,2.354430,0.320675,0.405063,11.881857,7.367089,-9.181435,-6.481013,-10.012658,-0.118143,0.472574,-0.700422,-2.367089,-6.751055,-0.645570,-1.603376,-0.957806,-1.797468,-1.814346,-1.839662,-0.776371,1.063291,-2.312236,-9.443038,-0.810127,-15.329114,-4.535865,-4.316456,-10.084388,-25.936709,-40.843882,-32.021097,-14.974684,-9.995781,-16.932489,-148.856540,-263.037975,-216.898734,-36.755274,-15.911392,-529.270042,-2020.164557,-2721.286920,-2523.194093,-1294.274262,-1542.172996,0.092827,1.198312,0.240506,1.147679,0.265823,0.156118,1.122363,0.092827,22.434599,8.924051,0.978903,-0.962025,-0.835443,0.075949,10.156118,0.940928,0.029536,1.189873,-1.565401,-0.510549,28.451477,11.991561,-0.417722,0.354430,0.126582,1.033755,5.202532,9.666667,0.016878,0.974684,1.265823,0.312236,-0.109705,0.962025,1.151899,-0.936709,1.295359,1.312236,-1.746835,0.164557,1.092827,-0.725738,1.000000,0.991561,1.033755,123.864979,16.717300,1.080169,3.244726,-0.818565,0.168776,2.383966,0.202532,-0.784810,0.308017,0.337553,0.308017,-2.700422,-0.734177,1.282700,-0.223629,0.776371,-1.101266,-1.101266,1.704641,-1.113924,0.004219,-0.004219,-2.033755,62.881857,36.046414,-1.983122,-1.869198,-0.860759,-0.877637,-0.831224,0.210970,0.088608,0.886076,-1.227848,-0.168776,-1.202532,-0.286920,-1.253165,1.928270,7.375527,-0.953586,5.780591,5.835443,2.240506,-0.540084,0.729958,0.396624,-0.367089,0.717300,3.565401,-0.915612,0.067511,-1.025316,-0.945148,1.130802,0.046414,-1.185654,-2.253165,-1.067511,-2.215190,-1.227848,-1.265823,0.156118,-2.126582,-0.953586,0.008439,1.147679,0.092827,2.957806,-1.113924,-0.936709,0.995781,0.004219,1.983122,-0.620253,0.527426,6.852321,5.924051,-0.556962,-0.544304,-0.687764,3.451477,0.240506,2.354430,1.223629,-0.637131,0.957806,2.021097,3.004219,0.037975,0.983122,0.940928,-877.704641,-151.502110,-363.691983,-1.632911,1.350211,-0.611814,-0.379747,0.447257,-1.383966,0.531646,0.594937,-1.405063,-0.130802,-0.160338,-1.295359,0.759494,0.780591,0.886076,0.658228,1.805907,0.789030,3.738397,2.805907,0.616034,-1.084388,-1.029536,-0.029536,-2.122363,-0.143460,0.932489,-0.299578,1.489451,-0.443038,-0.299578,-0.438819,0.620253,-2.084388,2.873418,-1.139241,1.751055,1.721519,-1.189873,-406.565401,-687.628692,-1599.590717,-1291.506329,-1799.628692,-532.531646,-11.109705,-17.223629,-52.236287,-48.257384,-60.156118,-16.244726,-1.856540,0.016878,-0.898734,0.135021,0.063291,0.270042,-2.751055,-0.628692,-0.624473,2.189873,-0.611814,-0.704641,-1.029536,1.080169,1.059072,-1.848101,-0.860759,-0.978903,2.029536,0.004219,0.084388,-0.949367,0.033755,-0.008439,5.615461,3.895088,-4.546153,-6.361827,-5.583320,-1.743397,-384.321526,-1391.187498,-837.585504,-675.144903,-1539.861342,-724.764832,-1552.221786,0.490155,0.254571,1.376934,0.345992,0.360759,-0.185654,-0.845653,-1.858988,-1.252253,-0.893343,-0.250117,-0.478564,-361.313413,-193.360034,-159.648033,-310.869679,-163.198961,-717.376439,-191.360912,-137.694093,-71.402954,-0.110408,-0.674402,-0.439522,0.211674,29.533215,34.116127,30.895089,32.519485,24.768907,30.968700,22.857578,24.753219
100ml,24.6,64.6,LOW,100ml,ContainerModel100ml_Tamb24p6C_Tliquid64p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_221123.bin,2,-1.350211,1.658228,0.506329,1.455696,1.607595,-0.341772,-0.303797,0.607595,1.793249,-0.392405,0.658228,0.696203,5.016878,7.848101,-1.084388,0.502110,0.864979,-0.236287,6.345992,12.822785,0.118143,0.333333,1.578059,-0.810127,-0.611814,2.164557,1.506329,2.354430,2.320675,-0.594937,9.881857,6.367089,-9.181435,-4.481013,-12.012658,-0.118143,-0.527426,-0.700422,-3.367089,-5.751055,-1.645570,1.396624,0.042194,-1.797468,-0.814346,-0.839662,0.223629,1.063291,-3.312236,-10.443038,-0.810127,-14.329114,-4.535865,-3.316456,-10.084388,-26.936709,-38.843882,-34.021097,-16.974684,-11.995781,-17.932489,-148.856540,-259.037975,-216.898734,-37.755274,-14.911392,-524.270042,-2021.164557,-2716.286920,-2524.194093,-1298.274262,-1529.172996,-0.907173,-1.801688,-1.759494,0.147679,0.265823,0.156118,1.122363,3.092827,23.434599,8.924051,1.978903,1.037975,-0.835443,-0.924051,8.156118,2.940928,0.029536,0.189873,-0.565401,-3.510549,30.451477,11.991561,-1.417722,0.354430,-0.873418,0.033755,1.202532,9.666667,0.016878,-1.025316,0.265823,0.312236,-1.109705,-1.037975,-0.848101,2.063291,-0.704641,-0.687764,0.253165,0.164557,0.092827,0.274262,2.000000,0.991561,2.033755,123.864979,14.717300,1.080169,0.244726,1.181435,1.168776,3.383966,0.202532,-0.784810,-0.691983,2.337553,-0.691983,0.299578,0.265823,0.282700,-1.223629,0.776371,0.898734,0.898734,-1.295359,-0.113924,0.004219,-1.004219,-1.033755,57.881857,32.046414,1.016878,0.130802,0.139241,1.122363,0.168776,0.210970,1.088608,-0.113924,-1.227848,-0.168776,-3.202532,-0.286920,0.746835,0.928270,9.375527,-0.953586,1.780591,3.835443,-0.759494,0.459916,0.729958,0.396624,0.632911,-1.282700,0.565401,0.084388,-0.932489,-0.025316,0.054852,0.130802,-1.953586,1.814346,-0.253165,-0.067511,-1.215190,-1.227848,-1.265823,1.156118,-0.126582,1.046414,-0.991561,-0.852321,0.092827,-0.042194,-1.113924,2.063291,0.995781,2.004219,0.983122,1.379747,0.527426,6.852321,3.924051,-2.556962,1.455696,1.312236,1.451477,-0.759494,-0.645570,-0.776371,1.362869,0.957806,1.021097,1.004219,1.037975,0.983122,0.940928,-884.704641,-153.502110,-367.691983,0.367089,-0.649789,-0.611814,1.620253,-1.552743,-1.383966,0.531646,0.594937,1.594937,-1.130802,0.839662,0.704641,-1.240506,0.780591,0.886076,0.658228,0.805907,-0.210970,-0.261603,-0.194093,-0.383966,0.915612,-0.029536,-2.029536,-2.122363,-0.143460,-0.067511,0.700422,-1.510549,-0.443038,-0.299578,-1.438819,-2.379747,3.915612,1.873418,-0.139241,-1.248945,-0.278481,-0.189873,-407.565401,-687.628692,-1599.590717,-1289.506329,-1801.628692,-526.531646,-11.109705,-15.223629,-52.236287,-45.257384,-59.156118,-14.244726,0.143460,-0.983122,-1.898734,1.135021,0.063291,-2.729958,1.248945,-1.628692,-0.624473,-0.810127,-0.611814,1.295359,-0.029536,0.080169,1.059072,0.151899,1.139241,1.021097,0.029536,-2.995781,-0.915612,1.050633,1.033755,1.991561,4.312992,3.197557,-4.848622,-5.454420,-6.490728,-0.835990,-382.819764,-1392.424100,-837.391787,-676.179371,-1538.081958,-719.393704,-1551.445612,0.323488,0.921238,0.376934,-0.487342,-0.805907,0.314346,1.154347,0.141012,0.247747,-1.090874,-1.052586,-0.676095,-364.265714,-193.547676,-160.879272,-311.754059,-163.661964,-717.549355,-191.545027,-137.027426,-71.069620,0.056259,-0.007736,-0.606188,-0.454993,29.403215,34.025127,30.882089,32.428485,24.690907,31.059700,22.753578,24.662219
100ml,24.6,64.6,LOW,100ml,ContainerModel100ml_Tamb24p6C_Tliquid64p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_221123.bin,3,-1.350211,1.658228,1.506329,1.455696,-0.392405,1.658228,1.696203,-1.392405,1.793249,-1.392405,-0.341772,-1.303797,2.016878,6.848101,-2.084388,0.502110,0.864979,-0.236287,3.345992,15.822785,2.118143,1.333333,4.578059,2.189873,1.388186,-0.835443,-0.493671,-0.645570,-0.679325,-0.594937,10.881857,4.367089,-8.181435,-4.481013,-12.012658,-1.118143,-0.527426,-3.700422,-4.367089,-4.751055,-2.645570,0.396624,-0.957806,-1.797468,-2.814346,1.160338,0.223629,-0.936709,-3.312236,-10.443038,0.189873,-14.329114,-4.535865,-5.316456,-11.084388,-26.936709,-39.843882,-35.021097,-14.974684,-11.995781,-17.932489,-148.856540,-261.037975,-218.898734,-35.755274,-14.911392,-520.270042,-2019.164557,-2704.286920,-2533.194093,-1301.274262,-1537.172996,0.092827,0.198312,-1.759494,0.147679,0.265823,-0.843882,-1.877637,1.092827,23.434599,8.924051,0.978903,1.037975,1.164557,-0.924051,9.156118,2.940928,0.029536,0.189873,0.434599,-0.510549,30.451477,12.991561,-0.417722,-2.645570,-1.873418,-0.966245,3.202532,9.666667,-1.983122,-1.025316,-0.734177,-1.687764,-3.109705,0.962025,-0.848101,-0.936709,0.295359,0.312236,1.253165,0.164557,-0.907173,1.274262,1.000000,-0.008439,2.033755,122.864979,15.717300,0.080169,2.244726,1.181435,-0.831224,3.383966,0.202532,-0.784810,-2.691983,0.337553,0.308017,0.299578,0.265823,-0.717300,0.776371,0.776371,1.898734,-1.101266,-1.295359,-0.113924,-0.995781,-0.004219,-0.033755,60.881857,37.046414,0.016878,-1.869198,-0.860759,-0.877637,0.168776,-1.789030,-0.911392,-0.113924,-1.227848,-1.168776,-1.202532,-0.286920,0.746835,-1.071730,7.375527,2.046414,1.780591,3.835443,3.240506,0.459916,-1.270042,0.396624,-1.367089,-0.282700,0.565401,0.084388,-1.932489,-1.025316,-1.945148,0.130802,-0.953586,-0.185654,-2.253165,-1.067511,0.784810,-2.227848,-0.265823,0.156118,0.873418,0.046414,-1.991561,2.147679,0.092827,1.957806,-0.113924,0.063291,0.995781,-0.995781,-1.016878,-0.620253,-0.472574,6.852321,5.924051,0.443038,-1.544304,0.312236,-1.548523,-0.759494,2.354430,-0.776371,-0.637131,0.957806,1.021097,1.004219,-0.962025,0.983122,0.940928,-882.704641,-153.502110,-363.691983,0.367089,0.350211,0.388186,1.620253,0.447257,1.616034,1.531646,-1.405063,0.594937,0.869198,-0.160338,-0.295359,-0.240506,-1.219409,-1.113924,-2.341772,0.805907,-0.210970,-0.261603,0.805907,-0.383966,-1.084388,-1.029536,-1.029536,-1.122363,-2.143460,-0.067511,1.700422,-2.510549,-0.443038,-0.299578,-0.438819,0.620253,-1.084388,2.873418,-0.139241,1.751055,-1.278481,-1.189873,-401.565401,-690.628692,-1606.590717,-1285.506329,-1799.628692,-528.531646,-10.109705,-17.223629,-52.236287,-47.257384,-61.156118,-18.244726,0.143460,0.016878,-1.898734,0.135021,-2.936709,-0.729958,0.248945,1.371308,2.375527,1.189873,0.388186,-0.704641,-0.029536,-0.919831,-0.940928,0.151899,-1.860759,1.021097,1.029536,-0.995781,0.084388,0.050633,-0.966245,-2.008439,4.220399,1.290150,-5.046153,-5.151951,-6.793197,-1.737225,-381.058628,-1394.921338,-836.276167,-677.757469,-1534.253612,-722.313032,-1550.557526,0.156821,0.587904,0.543601,-1.820675,-0.972574,-0.685654,-0.148122,-0.556519,-0.554722,-0.492108,-0.151352,-0.077330,-363.313413,-190.700081,-161.532413,-311.713483,-162.470799,-720.203522,-189.341056,-135.527426,-70.569620,-0.277075,0.158931,0.227145,0.045007,29.715215,34.116127,30.986089,32.597485,24.742907,31.033700,22.805578,24.727219
100ml,24.6,64.6,LOW,100ml,ContainerModel100ml_Tamb24p6C_Tliquid64p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_221123.bin,4,-0.350211,-0.341772,-1.493671,-0.544304,-2.392405,0.658228,-0.303797,-1.392405,0.793249,0.607595,1.658228,0.696203,0.016878,6.848101,-2.084388,-0.497890,3.864979,1.763713,5.345992,14.822785,0.118143,-0.666667,2.578059,0.189873,1.388186,1.164557,0.506329,-0.645570,1.320675,1.405063,10.881857,7.367089,-9.181435,-7.481013,-13.012658,0.881857,-0.527426,-1.700422,-2.367089,-5.751055,0.354430,-2.603376,0.042194,-1.797468,-1.814346,-0.839662,1.223629,1.063291,-3.312236,-10.443038,1.189873,-13.329114,-4.535865,-2.316456,-10.084388,-25.936709,-43.843882,-34.021097,-15.974684,-11.995781,-17.932489,-151.856540,-264.037975,-219.898734,-36.755274,-14.911392,-528.270042,-2020.164557,-2715.286920,-2534.194093,-1300.274262,-1537.172996,0.092827,0.198312,0.240506,1.147679,-0.734177,0.156118,-0.877637,-0.907173,21.434599,9.924051,-1.021097,-0.962025,0.164557,0.075949,11.156118,2.940928,0.029536,0.189873,-1.565401,-1.510549,32.451477,13.991561,0.582278,-0.645570,-2.873418,2.033755,19.202532,9.666667,1.016878,0.974684,-0.734177,0.312236,-0.109705,-1.037975,1.151899,-0.936709,0.295359,-0.687764,0.253165,0.164557,-0.907173,1.274262,0.000000,-0.008439,2.033755,123.864979,15.717300,0.080169,-0.755274,0.181435,0.168776,5.383966,0.202532,0.215190,1.308017,-1.662447,-1.691983,-0.700422,-2.734177,0.282700,-1.223629,-0.223629,-1.101266,1.898734,-1.295359,-1.113924,1.004219,-3.004219,-0.033755,62.881857,35.046414,0.016878,1.130802,0.139241,1.122363,-0.831224,-1.789030,-1.911392,1.886076,-0.227848,-1.168776,-0.202532,-0.286920,-0.253165,-1.071730,9.375527,0.046414,4.780591,4.835443,0.240506,0.459916,-0.270042,0.396624,-1.367089,-1.282700,-2.434599,-0.915612,2.067511,-0.025316,0.054852,0.130802,2.046414,-1.185654,-1.253165,1.932489,-3.215190,-0.227848,-1.265823,1.156118,-0.126582,0.046414,-1.991561,-1.852321,0.092827,1.957806,1.886076,1.063291,-0.004219,1.004219,-0.016878,0.379747,0.527426,6.852321,5.924051,0.443038,1.455696,-0.687764,-0.548523,0.240506,1.354430,-0.776371,-0.637131,2.957806,1.021097,2.004219,1.037975,0.983122,0.940928,-879.704641,-153.502110,-367.691983,-0.632911,3.350211,0.388186,0.620253,-1.552743,0.616034,0.531646,0.594937,1.594937,0.869198,-0.160338,-1.295359,-2.240506,-1.219409,-0.113924,0.658228,-0.194093,-0.210970,-0.261603,-0.194093,0.616034,1.915612,0.970464,0.970464,-0.122363,-1.143460,0.932489,0.700422,0.489451,1.556962,0.700422,-0.438819,-0.379747,-1.084388,0.873418,1.860759,0.751055,-0.278481,1.810127,-409.565401,-690.628692,-1604.590717,-1288.506329,-1790.628692,-527.531646,-8.109705,-17.223629,-53.236287,-46.257384,-61.156118,-14.244726,1.143460,0.016878,0.101266,2.135021,0.063291,0.270042,-0.751055,0.371308,-2.624473,1.189873,-0.611814,0.295359,0.970464,1.080169,-1.940928,1.151899,0.139241,0.021097,-0.970464,-0.995781,-0.915612,-0.949367,0.033755,0.991561,4.714226,3.296322,-4.644918,-6.559358,-6.385789,-1.940928,-384.043903,-1396.150001,-837.854265,-677.757469,-1538.430052,-722.743060,-1553.905901,-0.009845,-0.245429,-0.456399,0.179325,0.027426,-0.018987,-0.148122,-0.556519,0.352685,-2.294577,-1.348883,-0.676095,-362.280439,-194.261113,-160.301174,-311.485298,-163.748422,-719.150038,-192.248998,-137.360759,-70.736287,0.722925,0.158931,0.227145,0.378340,29.585215,34.077127,30.869089,32.441485,24.768907,30.968700,22.818578,24.753219
100ml,24.6,64.6,LOW,100ml,ContainerModel100ml_Tamb24p6C_Tliquid64p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_221123.bin,5,-2.350211,0.658228,-1.493671,-1.544304,0.607595,1.658228,2.696203,-0.392405,1.793249,0.607595,-0.341772,0.696203,2.016878,6.848101,-0.084388,1.502110,0.864979,-0.236287,5.345992,15.822785,0.118143,1.333333,-0.421941,4.189873,-0.611814,-0.835443,0.506329,0.354430,-1.679325,2.405063,12.881857,7.367089,-10.181435,-4.481013,-10.012658,-0.118143,0.472574,-0.700422,-3.367089,-7.751055,-2.645570,-1.603376,1.042194,1.202532,-2.814346,-1.839662,1.223629,0.063291,-4.312236,-10.443038,-0.810127,-12.329114,-6.535865,-3.316456,-10.084388,-26.936709,-38.843882,-33.021097,-13.974684,-10.995781,-17.932489,-146.856540,-262.037975,-218.898734,-36.755274,-14.911392,-519.270042,-2019.164557,-2711.286920,-2537.194093,-1299.274262,-1536.172996,1.092827,1.198312,-0.759494,1.147679,0.265823,0.156118,1.122363,0.092827,20.434599,9.924051,0.978903,1.037975,-2.835443,1.075949,9.156118,1.940928,0.029536,0.189873,1.434599,-1.510549,31.451477,12.991561,0.582278,0.354430,1.126582,-0.966245,9.202532,8.666667,0.016878,-0.025316,-0.734177,0.312236,-2.109705,-2.037975,1.151899,2.063291,-1.704641,-1.687764,0.253165,-0.835443,0.092827,-0.725738,3.000000,0.991561,-1.966245,124.864979,12.717300,0.080169,-0.755274,-0.818565,-1.831224,5.383966,0.202532,-0.784810,0.308017,0.337553,0.308017,0.299578,-0.734177,-0.717300,-1.223629,0.776371,0.898734,-0.101266,-1.295359,-1.113924,1.004219,1.995781,-1.033755,62.881857,35.046414,-0.983122,0.130802,-0.860759,1.122363,0.168776,-1.789030,0.088608,-0.113924,-0.227848,-0.168776,-1.202532,-1.286920,1.746835,-1.071730,5.375527,-1.953586,2.780591,6.835443,1.240506,0.459916,-2.270042,-0.603376,-1.367089,1.717300,0.565401,-0.915612,1.067511,2.974684,0.054852,0.130802,3.046414,0.814346,1.746835,1.932489,-1.215190,-0.227848,0.734177,0.156118,-3.126582,-1.953586,0.008439,0.147679,-0.907173,0.957806,-0.113924,1.063291,-1.004219,-0.995781,1.983122,0.379747,-0.472574,6.852321,2.924051,0.443038,-1.544304,3.312236,-0.548523,2.240506,0.354430,2.223629,1.362869,0.957806,-0.978903,1.004219,2.037975,-0.016878,-0.059072,-890.704641,-150.502110,-374.691983,-0.632911,1.350211,2.388186,-1.379747,-0.552743,0.616034,-1.468354,-1.405063,1.594937,-1.130802,0.839662,-2.295359,0.759494,-0.219409,-0.113924,-0.341772,-0.194093,-0.210970,-0.261603,0.805907,-0.383966,-2.084388,0.970464,-1.029536,-0.122363,1.856540,0.932489,-1.299578,-3.510549,0.556962,-0.299578,-0.438819,-0.379747,-1.084388,-1.126582,-3.139241,0.751055,3.721519,0.810127,-406.565401,-684.628692,-1599.590717,-1294.506329,-1797.628692,-530.531646,-9.109705,-16.223629,-52.236287,-47.257384,-60.156118,-18.244726,1.143460,2.016878,-0.898734,0.135021,0.063291,0.270042,0.248945,-3.628692,-0.624473,-1.810127,0.388186,-0.704641,0.970464,1.080169,0.059072,-1.848101,-1.860759,0.021097,0.029536,-0.995781,2.084388,0.050633,-0.966245,-0.008439,6.016695,3.993853,-5.151091,-6.158124,-6.287024,-1.940928,-380.264518,-1397.670011,-836.044928,-677.873088,-1536.981775,-722.378979,-1554.017814,0.156821,1.087904,0.043601,0.012658,-0.305907,0.814346,0.253112,-0.457754,0.044043,-0.492108,-0.151352,-0.077330,-367.421643,-193.914019,-161.188609,-309.369679,-166.169511,-715.826978,-193.709287,-136.527426,-70.569620,0.389592,0.492264,0.393812,0.378340,29.585215,34.116127,30.921089,32.571485,24.781907,31.150700,22.857578,24.727219
