Volume,SourceFile,Output,Rows,Batches,ParserErrors,ZeroFile,ZeroBatches
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232533.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232533.csv,25,25,2,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232534.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232534.csv,24,24,3,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232535.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232535.csv,25,25,1,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232537.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232537.csv,24,24,3,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232538.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232538.csv,24,24,3,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232539.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232539.csv,24,24,1,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232540.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232540.csv,24,24,1,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232322.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232322.csv,23,23,3,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232323.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232323.csv,23,23,2,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232324.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232324.csv,25,25,0,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232326.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232326.csv,25,25,0,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232327.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232327.csv,24,24,2,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232328.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232328.csv,25,25,1,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232329.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232329.csv,23,23,1,batch_2_15ml.bin,237
15ml,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232330.bin,ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232330.csv,24,24,2,batch_2_15ml.bin,237
