epoch=073 train_loss=0.0010 train_acc=1.000 val_loss=1.0470 val_acc=0.971
epoch=074 train_loss=0.0009 train_acc=1.000 val_loss=1.0496 val_acc=0.971
epoch=075 train_loss=0.0013 train_acc=1.000 val_loss=1.0521 val_acc=0.971
epoch=076 train_loss=0.0011 train_acc=1.000 val_loss=1.0543 val_acc=0.971
epoch=077 train_loss=0.0012 train_acc=1.000 val_loss=1.0575 val_acc=0.971
epoch=078 train_loss=0.0011 train_acc=1.000 val_loss=1.0613 val_acc=0.971
epoch=079 train_loss=0.0011 train_acc=1.000 val_loss=1.0653 val_acc=0.971
epoch=080 train_loss=0.0014 train_acc=1.000 val_loss=1.0693 val_acc=0.971
epoch=081 train_loss=0.0010 train_acc=1.000 val_loss=1.0731 val_acc=0.971
epoch=082 train_loss=0.0010 train_acc=1.000 val_loss=1.0766 val_acc=0.971
epoch=083 train_loss=0.0008 train_acc=1.000 val_loss=1.0798 val_acc=0.971
epoch=084 train_loss=0.0009 train_acc=1.000 val_loss=1.0828 val_acc=0.971
epoch=085 train_loss=0.0012 train_acc=1.000 val_loss=1.0858 val_acc=0.971
epoch=086 train_loss=0.0009 train_acc=1.000 val_loss=1.0887 val_acc=0.971
epoch=087 train_loss=0.0010 train_acc=1.000 val_loss=1.0917 val_acc=0.971
epoch=088 train_loss=0.0009 train_acc=1.000 val_loss=1.0947 val_acc=0.971
epoch=089 train_loss=0.0009 train_acc=1.000 val_loss=1.0978 val_acc=0.971
epoch=090 train_loss=0.0010 train_acc=1.000 val_loss=1.1009 val_acc=0.971
epoch=091 train_loss=0.0008 train_acc=1.000 val_loss=1.1042 val_acc=0.971
epoch=092 train_loss=0.0011 train_acc=1.000 val_loss=1.1076 val_acc=0.971
epoch=093 train_loss=0.0007 train_acc=1.000 val_loss=1.1108 val_acc=0.971
epoch=094 train_loss=0.0008 train_acc=1.000 val_loss=1.1142 val_acc=0.971
epoch=095 train_loss=0.0006 train_acc=1.000 val_loss=1.1175 val_acc=0.971
epoch=096 train_loss=0.0007 train_acc=1.000 val_loss=1.1204 val_acc=0.971
epoch=097 train_loss=0.0009 train_acc=1.000 val_loss=1.1229 val_acc=0.971
epoch=098 train_loss=0.0007 train_acc=1.000 val_loss=1.1253 val_acc=0.971
epoch=099 train_loss=0.0007 train_acc=1.000 val_loss=1.1276 val_acc=0.971
epoch=100 train_loss=0.0008 train_acc=1.000 val_loss=1.1296 val_acc=0.971
epoch=101 train_loss=0.0006 train_acc=1.000 val_loss=1.1317 val_acc=0.971
epoch=102 train_loss=0.0006 train_acc=1.000 val_loss=1.1338 val_acc=0.971
epoch=103 train_loss=0.0009 train_acc=1.000 val_loss=1.1361 val_acc=0.971
epoch=104 train_loss=0.0005 train_acc=1.000 val_loss=1.1384 val_acc=0.971
epoch=105 train_loss=0.0006 train_acc=1.000 val_loss=1.1404 val_acc=0.971
epoch=106 train_loss=0.0006 train_acc=1.000 val_loss=1.1423 val_acc=0.971
epoch=107 train_loss=0.0005 train_acc=1.000 val_loss=1.1442 val_acc=0.971
epoch=108 train_loss=0.0008 train_acc=1.000 val_loss=1.1449 val_acc=0.971
epoch=109 train_loss=0.0007 train_acc=1.000 val_loss=1.1449 val_acc=0.971
epoch=110 train_loss=0.0008 train_acc=1.000 val_loss=1.1454 val_acc=0.971
epoch=111 train_loss=0.0007 train_acc=1.000 val_loss=1.1458 val_acc=0.971
epoch=112 train_loss=0.0005 train_acc=1.000 val_loss=1.1465 val_acc=0.971
epoch=113 train_loss=0.0005 train_acc=1.000 val_loss=1.1474 val_acc=0.971
epoch=114 train_loss=0.0005 train_acc=1.000 val_loss=1.1485 val_acc=0.971
epoch=115 train_loss=0.0004 train_acc=1.000 val_loss=1.1498 val_acc=0.971
epoch=116 train_loss=0.0005 train_acc=1.000 val_loss=1.1511 val_acc=0.971
epoch=117 train_loss=0.0005 train_acc=1.000 val_loss=1.1526 val_acc=0.971
epoch=118 train_loss=0.0005 train_acc=1.000 val_loss=1.1541 val_acc=0.971
epoch=119 train_loss=0.0005 train_acc=1.000 val_loss=1.1558 val_acc=0.971
epoch=120 train_loss=0.0005 train_acc=1.000 val_loss=1.1577 val_acc=0.971
